datum,entries
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,0
2020-03-11,2
2020-03-12,0
2020-03-13,1
2020-03-14,3
2020-03-15,1
2020-03-16,5
2020-03-17,2
2020-03-18,4
2020-03-19,7
2020-03-20,2
2020-03-21,1
2020-03-22,0
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,2
2020-03-28,4
2020-03-29,2
2020-03-30,4
2020-03-31,5
2020-04-01,2
2020-04-02,2
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,3
2020-04-08,2
2020-04-09,1
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,1
2020-04-16,0
2020-04-17,2
2020-04-18,1
2020-04-19,0
2020-04-20,2
2020-04-21,2
2020-04-22,1
2020-04-23,1
2020-04-24,2
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,1
2020-04-30,1
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,1
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,1
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,1
2020-06-25,1
2020-06-26,1
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,2
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,1
2020-07-08,1
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,1
2020-07-13,0
2020-07-14,0
2020-07-15,1
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,1
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,1
2020-07-31,1
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,1
2020-08-08,0
2020-08-09,0
2020-08-10,2
2020-08-11,3
2020-08-12,1
2020-08-13,0
2020-08-14,1
2020-08-15,2
2020-08-16,0
2020-08-17,0
2020-08-18,2
2020-08-19,1
2020-08-20,2
2020-08-21,1
2020-08-22,1
2020-08-23,0
2020-08-24,2
2020-08-25,0
2020-08-26,0
2020-08-27,1
2020-08-28,0
2020-08-29,0
2020-08-30,1
2020-08-31,1
2020-09-01,1
2020-09-02,2
2020-09-03,0
2020-09-04,1
2020-09-05,0
2020-09-06,2
2020-09-07,1
2020-09-08,3
2020-09-09,3
2020-09-10,4
2020-09-11,1
2020-09-12,0
2020-09-13,1
2020-09-14,2
2020-09-15,2
2020-09-16,2
2020-09-17,3
2020-09-18,1
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,2
2020-09-24,3
2020-09-25,3
2020-09-26,0
2020-09-27,1
2020-09-28,5
2020-09-29,4
2020-09-30,5
2020-10-01,1
2020-10-02,7
2020-10-03,5
2020-10-04,0
2020-10-05,7
2020-10-06,6
2020-10-07,5
2020-10-08,4
2020-10-09,7
2020-10-10,9
2020-10-11,5
2020-10-12,10
2020-10-13,22
2020-10-14,18
2020-10-15,21
2020-10-16,18
2020-10-17,9
2020-10-18,14
2020-10-19,32
2020-10-20,38
2020-10-21,36
2020-10-22,41
2020-10-23,36
2020-10-24,17
2020-10-25,16
2020-10-26,60
2020-10-27,62
2020-10-28,48
2020-10-29,37
2020-10-30,36
2020-10-31,13
2020-11-01,14
2020-11-02,40
2020-11-03,64
2020-11-04,36
2020-11-05,35
2020-11-06,25
2020-11-07,6
2020-11-08,5
2020-11-09,80
2020-11-10,27
2020-11-11,28
2020-11-12,23
2020-11-13,23
2020-11-14,11
2020-11-15,7
2020-11-16,61
2020-11-17,31
2020-11-18,27
2020-11-19,22
2020-11-20,25
2020-11-21,6
2020-11-22,4
2020-11-23,59
2020-11-24,37
2020-11-25,20
2020-11-26,28
2020-11-27,34
2020-11-28,7
2020-11-29,6
2020-11-30,39
2020-12-01,45
2020-12-02,26
2020-12-03,37
2020-12-04,28
2020-12-05,8
2020-12-06,6
2020-12-07,54
2020-12-08,36
2020-12-09,33
2020-12-10,25
2020-12-11,31
2020-12-12,15
2020-12-13,3
2020-12-14,51
2020-12-15,28
2020-12-16,39
2020-12-17,26
2020-12-18,31
2020-12-19,13
2020-12-20,12
2020-12-21,40
2020-12-22,34
2020-12-23,23
2020-12-24,25
2020-12-25,3
2020-12-26,5
2020-12-27,9
2020-12-28,42
2020-12-29,33
2020-12-30,21
2020-12-31,14
2021-01-01,6
2021-01-02,17
2021-01-03,6
2021-01-04,0
