datum,entries
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,3
2020-03-05,0
2020-03-06,2
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,2
2020-03-11,3
2020-03-12,7
2020-03-13,5
2020-03-14,8
2020-03-15,5
2020-03-16,24
2020-03-17,25
2020-03-18,32
2020-03-19,14
2020-03-20,26
2020-03-21,15
2020-03-22,15
2020-03-23,42
2020-03-24,22
2020-03-25,24
2020-03-26,46
2020-03-27,20
2020-03-28,12
2020-03-29,12
2020-03-30,24
2020-03-31,22
2020-04-01,20
2020-04-02,21
2020-04-03,23
2020-04-04,13
2020-04-05,4
2020-04-06,10
2020-04-07,16
2020-04-08,17
2020-04-09,14
2020-04-10,7
2020-04-11,3
2020-04-12,6
2020-04-13,6
2020-04-14,5
2020-04-15,4
2020-04-16,14
2020-04-17,10
2020-04-18,9
2020-04-19,3
2020-04-20,6
2020-04-21,6
2020-04-22,7
2020-04-23,5
2020-04-24,8
2020-04-25,3
2020-04-26,5
2020-04-27,7
2020-04-28,5
2020-04-29,9
2020-04-30,2
2020-05-01,1
2020-05-02,0
2020-05-03,0
2020-05-04,2
2020-05-05,1
2020-05-06,3
2020-05-07,1
2020-05-08,0
2020-05-09,0
2020-05-10,1
2020-05-11,1
2020-05-12,0
2020-05-13,0
2020-05-14,3
2020-05-15,3
2020-05-16,2
2020-05-17,2
2020-05-18,4
2020-05-19,1
2020-05-20,2
2020-05-21,0
2020-05-22,1
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,1
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,1
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,1
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,1
2020-06-15,1
2020-06-16,1
2020-06-17,0
2020-06-18,1
2020-06-19,0
2020-06-20,3
2020-06-21,1
2020-06-22,1
2020-06-23,0
2020-06-24,1
2020-06-25,2
2020-06-26,0
2020-06-27,4
2020-06-28,1
2020-06-29,7
2020-06-30,2
2020-07-01,0
2020-07-02,5
2020-07-03,2
2020-07-04,1
2020-07-05,0
2020-07-06,2
2020-07-07,2
2020-07-08,3
2020-07-09,4
2020-07-10,5
2020-07-11,1
2020-07-12,5
2020-07-13,4
2020-07-14,8
2020-07-15,3
2020-07-16,6
2020-07-17,5
2020-07-18,0
2020-07-19,1
2020-07-20,6
2020-07-21,3
2020-07-22,2
2020-07-23,6
2020-07-24,3
2020-07-25,0
2020-07-26,0
2020-07-27,6
2020-07-28,9
2020-07-29,10
2020-07-30,7
2020-07-31,5
2020-08-01,1
2020-08-02,3
2020-08-03,11
2020-08-04,9
2020-08-05,9
2020-08-06,5
2020-08-07,8
2020-08-08,0
2020-08-09,1
2020-08-10,10
2020-08-11,5
2020-08-12,13
2020-08-13,18
2020-08-14,8
2020-08-15,4
2020-08-16,1
2020-08-17,4
2020-08-18,8
2020-08-19,2
2020-08-20,6
2020-08-21,7
2020-08-22,1
2020-08-23,4
2020-08-24,2
2020-08-25,10
2020-08-26,8
2020-08-27,9
2020-08-28,10
2020-08-29,5
2020-08-30,1
2020-08-31,6
2020-09-01,6
2020-09-02,6
2020-09-03,5
2020-09-04,4
2020-09-05,2
2020-09-06,3
2020-09-07,2
2020-09-08,5
2020-09-09,7
2020-09-10,9
2020-09-11,4
2020-09-12,2
2020-09-13,6
2020-09-14,6
2020-09-15,9
2020-09-16,9
2020-09-17,10
2020-09-18,12
2020-09-19,3
2020-09-20,5
2020-09-21,6
2020-09-22,6
2020-09-23,7
2020-09-24,2
2020-09-25,9
2020-09-26,4
2020-09-27,1
2020-09-28,6
2020-09-29,8
2020-09-30,13
2020-10-01,9
2020-10-02,11
2020-10-03,6
2020-10-04,5
2020-10-05,15
2020-10-06,28
2020-10-07,40
2020-10-08,45
2020-10-09,60
2020-10-10,42
2020-10-11,22
2020-10-12,79
2020-10-13,87
2020-10-14,92
2020-10-15,149
2020-10-16,113
2020-10-17,49
2020-10-18,74
2020-10-19,170
2020-10-20,181
2020-10-21,199
2020-10-22,232
2020-10-23,261
2020-10-24,107
2020-10-25,89
2020-10-26,367
2020-10-27,279
2020-10-28,312
2020-10-29,318
2020-10-30,334
2020-10-31,180
2020-11-01,74
2020-11-02,288
2020-11-03,292
2020-11-04,290
2020-11-05,281
2020-11-06,237
2020-11-07,148
2020-11-08,29
2020-11-09,280
2020-11-10,227
2020-11-11,255
2020-11-12,172
2020-11-13,211
2020-11-14,129
2020-11-15,57
2020-11-16,278
2020-11-17,223
2020-11-18,190
2020-11-19,191
2020-11-20,251
2020-11-21,34
2020-11-22,73
2020-11-23,186
2020-11-24,201
2020-11-25,197
2020-11-26,157
2020-11-27,180
2020-11-28,94
2020-11-29,57
2020-11-30,224
2020-12-01,180
2020-12-02,168
2020-12-03,224
2020-12-04,208
2020-12-05,104
2020-12-06,41
2020-12-07,308
2020-12-08,157
2020-12-09,295
2020-12-10,248
2020-12-11,285
2020-12-12,202
2020-12-13,83
2020-12-14,300
2020-12-15,297
2020-12-16,289
2020-12-17,213
2020-12-18,267
2020-12-19,118
2020-12-20,90
2020-12-21,259
2020-12-22,312
2020-12-23,222
2020-12-24,229
2020-12-25,76
2020-12-26,175
2020-12-27,55
2020-12-28,285
2020-12-29,246
2020-12-30,232
2020-12-31,168
2021-01-01,62
2021-01-02,176
2021-01-03,92
2021-01-04,2
