Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.0,0
2020-02-29,0,0.14,0
2020-03-01,0,0.57,0
2020-03-02,0,0.57,0
2020-03-03,1,0.86,0
2020-03-04,3,0.86,0
2020-03-05,0,1.0,0
2020-03-06,2,1.14,0
2020-03-07,0,1.29,0
2020-03-08,1,1.29,0
2020-03-09,1,2.29,0
2020-03-10,2,2.71,0
2020-03-11,3,3.86,0
2020-03-12,7,4.43,0
2020-03-13,5,7.71,0
2020-03-14,8,11.0,0
2020-03-15,5,15.14,0
2020-03-16,24,16.14,0
2020-03-17,25,19.14,0
2020-03-18,32,20.14,0
2020-03-19,14,21.57,0
2020-03-20,26,24.14,0
2020-03-21,15,23.71,0
2020-03-22,15,22.57,0
2020-03-23,42,27.14,0
2020-03-24,22,26.29,0
2020-03-25,24,25.86,0
2020-03-26,46,25.43,0
2020-03-27,20,22.86,0
2020-03-28,12,22.86,0
2020-03-29,12,22.29,0
2020-03-30,24,18.71,0
2020-03-31,22,19.14,0
2020-04-01,20,19.29,0
2020-04-02,21,18.14,0
2020-04-03,23,16.14,0
2020-04-04,13,15.29,0
2020-04-05,4,14.86,0
2020-04-06,10,13.86,0
2020-04-07,16,11.57,0
2020-04-08,17,10.14,0
2020-04-09,14,10.43,0
2020-04-10,7,9.86,0
2020-04-11,3,8.29,0
2020-04-12,6,6.43,0
2020-04-13,6,6.43,0
2020-04-14,5,6.86,0
2020-04-15,4,7.71,0
2020-04-16,14,7.29,0
2020-04-17,10,7.29,0
2020-04-18,9,7.43,0
2020-04-19,3,7.86,0
2020-04-20,6,6.57,0
2020-04-21,6,6.29,0
2020-04-22,7,5.43,0
2020-04-23,5,5.71,0
2020-04-24,8,5.86,0
2020-04-25,3,5.71,0
2020-04-26,5,6.0,0
2020-04-27,7,5.57,0
2020-04-28,5,4.57,0
2020-04-29,9,4.14,0
2020-04-30,2,3.43,0
2020-05-01,1,2.71,0
2020-05-02,0,2.14,0
2020-05-03,0,1.29,0
2020-05-04,2,1.14,0
2020-05-05,1,1.0,0
2020-05-06,3,1.0,0
2020-05-07,1,1.14,0
2020-05-08,0,1.0,0
2020-05-09,0,0.86,0
2020-05-10,1,0.43,0
2020-05-11,1,0.71,0
2020-05-12,0,1.14,0
2020-05-13,0,1.43,0
2020-05-14,3,1.57,0
2020-05-15,3,2.0,0
2020-05-16,2,2.14,0
2020-05-17,2,2.43,0
2020-05-18,4,2.0,0
2020-05-19,1,1.71,0
2020-05-20,2,1.43,0
2020-05-21,0,1.14,0
2020-05-22,1,0.57,0
2020-05-23,0,0.43,0
2020-05-24,0,0.29,0
2020-05-25,0,0.29,0
2020-05-26,0,0.14,0
2020-05-27,1,0.14,0
2020-05-28,0,0.14,0
