datum,entries
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,3
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,1
2020-03-11,1
2020-03-12,7
2020-03-13,4
2020-03-14,4
2020-03-15,3
2020-03-16,15
2020-03-17,7
2020-03-18,20
2020-03-19,5
2020-03-20,7
2020-03-21,1
2020-03-22,5
2020-03-23,12
2020-03-24,8
2020-03-25,8
2020-03-26,11
2020-03-27,3
2020-03-28,3
2020-03-29,0
2020-03-30,11
2020-03-31,7
2020-04-01,8
2020-04-02,2
2020-04-03,14
2020-04-04,5
2020-04-05,4
2020-04-06,8
2020-04-07,5
2020-04-08,17
2020-04-09,28
2020-04-10,3
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,4
2020-04-15,1
2020-04-16,2
2020-04-17,4
2020-04-18,3
2020-04-19,1
2020-04-20,4
2020-04-21,1
2020-04-22,3
2020-04-23,6
2020-04-24,2
2020-04-25,1
2020-04-26,0
2020-04-27,1
2020-04-28,6
2020-04-29,0
2020-04-30,2
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,1
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,1
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,1
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,1
2020-06-17,0
2020-06-18,0
2020-06-19,3
2020-06-20,1
2020-06-21,0
2020-06-22,4
2020-06-23,1
2020-06-24,3
2020-06-25,0
2020-06-26,6
2020-06-27,1
2020-06-28,1
2020-06-29,3
2020-06-30,7
2020-07-01,7
2020-07-02,1
2020-07-03,4
2020-07-04,0
2020-07-05,0
2020-07-06,5
2020-07-07,3
2020-07-08,1
2020-07-09,6
2020-07-10,3
2020-07-11,0
2020-07-12,0
2020-07-13,3
2020-07-14,5
2020-07-15,1
2020-07-16,0
2020-07-17,2
2020-07-18,0
2020-07-19,1
2020-07-20,2
2020-07-21,0
2020-07-22,5
2020-07-23,1
2020-07-24,0
2020-07-25,4
2020-07-26,0
2020-07-27,8
2020-07-28,3
2020-07-29,2
2020-07-30,4
2020-07-31,3
2020-08-01,1
2020-08-02,0
2020-08-03,4
2020-08-04,2
2020-08-05,0
2020-08-06,2
2020-08-07,5
2020-08-08,4
2020-08-09,0
2020-08-10,2
2020-08-11,1
2020-08-12,1
2020-08-13,4
2020-08-14,4
2020-08-15,2
2020-08-16,2
2020-08-17,5
2020-08-18,4
2020-08-19,7
2020-08-20,2
2020-08-21,4
2020-08-22,5
2020-08-23,0
2020-08-24,5
2020-08-25,7
2020-08-26,0
2020-08-27,1
2020-08-28,4
2020-08-29,3
2020-08-30,0
2020-08-31,1
2020-09-01,2
2020-09-02,4
2020-09-03,3
2020-09-04,4
2020-09-05,4
2020-09-06,1
2020-09-07,0
2020-09-08,7
2020-09-09,4
2020-09-10,11
2020-09-11,3
2020-09-12,0
2020-09-13,0
2020-09-14,3
2020-09-15,3
2020-09-16,1
2020-09-17,2
2020-09-18,4
2020-09-19,1
2020-09-20,0
2020-09-21,5
2020-09-22,4
2020-09-23,5
2020-09-24,2
2020-09-25,3
2020-09-26,0
2020-09-27,0
2020-09-28,11
2020-09-29,4
2020-09-30,11
2020-10-01,17
2020-10-02,21
2020-10-03,11
2020-10-04,6
2020-10-05,42
2020-10-06,56
2020-10-07,71
2020-10-08,57
2020-10-09,79
2020-10-10,39
2020-10-11,15
2020-10-12,122
2020-10-13,112
2020-10-14,98
2020-10-15,121
2020-10-16,122
2020-10-17,59
2020-10-18,22
2020-10-19,194
2020-10-20,117
2020-10-21,175
2020-10-22,167
2020-10-23,190
2020-10-24,79
2020-10-25,52
2020-10-26,224
2020-10-27,116
2020-10-28,136
2020-10-29,124
2020-10-30,151
2020-10-31,57
2020-11-01,49
2020-11-02,151
2020-11-03,84
2020-11-04,103
2020-11-05,71
2020-11-06,51
2020-11-07,19
2020-11-08,11
2020-11-09,93
2020-11-10,71
2020-11-11,56
2020-11-12,61
2020-11-13,56
2020-11-14,25
2020-11-15,21
2020-11-16,93
2020-11-17,58
2020-11-18,64
2020-11-19,64
2020-11-20,55
2020-11-21,29
2020-11-22,22
2020-11-23,87
2020-11-24,72
2020-11-25,60
2020-11-26,52
2020-11-27,71
2020-11-28,35
2020-11-29,24
2020-11-30,99
2020-12-01,76
2020-12-02,78
2020-12-03,75
2020-12-04,69
2020-12-05,49
2020-12-06,33
2020-12-07,111
2020-12-08,41
2020-12-09,155
2020-12-10,124
2020-12-11,109
2020-12-12,51
2020-12-13,40
2020-12-14,152
2020-12-15,123
2020-12-16,104
2020-12-17,105
2020-12-18,75
2020-12-19,66
2020-12-20,40
2020-12-21,166
2020-12-22,102
2020-12-23,106
2020-12-24,48
2020-12-25,36
2020-12-26,53
2020-12-27,58
2020-12-28,115
2020-12-29,95
2020-12-30,88
2020-12-31,65
2021-01-01,24
2021-01-02,34
2021-01-03,15
2021-01-04,0
