Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.29,0
2020-02-29,0,0.71,0
2020-03-01,0,0.71,0
2020-03-02,2,0.86,0
2020-03-03,3,0.86,0
2020-03-04,0,0.86,0
2020-03-05,1,0.86,0
2020-03-06,0,0.86,0
2020-03-07,0,0.57,0
2020-03-08,0,0.71,0
2020-03-09,2,1.57,0
2020-03-10,1,2.14,0
2020-03-11,1,2.71,0
2020-03-12,7,3.14,0
2020-03-13,4,5.0,0
2020-03-14,4,5.86,0
2020-03-15,3,8.57,0
2020-03-16,15,8.29,0
2020-03-17,7,8.71,0
2020-03-18,20,8.29,0
2020-03-19,5,8.57,0
2020-03-20,7,8.14,0
2020-03-21,1,8.29,0
2020-03-22,5,6.57,0
2020-03-23,12,7.43,0
2020-03-24,8,6.86,0
2020-03-25,8,7.14,0
2020-03-26,11,6.43,0
2020-03-27,3,6.29,0
2020-03-28,3,6.14,0
2020-03-29,0,6.14,0
2020-03-30,11,4.86,0
2020-03-31,7,6.43,0
2020-04-01,8,6.71,0
2020-04-02,2,7.29,0
2020-04-03,14,6.86,0
2020-04-04,5,6.57,0
2020-04-05,4,7.86,0
2020-04-06,8,11.57,0
2020-04-07,5,10.0,0
2020-04-08,17,9.57,0
2020-04-09,28,9.29,0
2020-04-10,3,8.43,0
2020-04-11,2,8.29,0
2020-04-12,2,6.0,0
2020-04-13,2,2.29,0
2020-04-14,4,2.43,0
2020-04-15,1,2.57,0
2020-04-16,2,2.43,0
2020-04-17,4,2.71,0
2020-04-18,3,2.29,0
2020-04-19,1,2.57,0
2020-04-20,4,3.14,0
2020-04-21,1,2.86,0
2020-04-22,3,2.57,0
2020-04-23,6,2.43,0
2020-04-24,2,2.0,0
2020-04-25,1,2.71,0
2020-04-26,0,2.29,0
2020-04-27,1,1.71,0
2020-04-28,6,1.43,0
2020-04-29,0,1.29,0
2020-04-30,2,1.29,0
2020-05-01,0,1.14,0
2020-05-02,0,0.29,0
2020-05-03,0,0.29,0
2020-05-04,0,0.14,0
2020-05-05,0,0.14,0
2020-05-06,0,0.14,0
2020-05-07,1,0.14,0
2020-05-08,0,0.29,0
2020-05-09,0,0.29,0
2020-05-10,0,0.29,0
2020-05-11,1,0.14,0
2020-05-12,0,0.14,0
2020-05-13,0,0.14,0
2020-05-14,0,0.14,0
2020-05-15,0,0.0,0
2020-05-16,0,0.0,0
2020-05-17,0,0.0,0
2020-05-18,0,0.0,0
2020-05-19,0,0.0,0
2020-05-20,0,0.0,0
2020-05-21,0,0.0,0
2020-05-22,0,0.0,0
2020-05-23,0,0.0,0
2020-05-24,0,0.0,0
2020-05-25,0,0.0,0
2020-05-26,0,0.0,0
2020-05-27,0,0.0,0
2020-05-28,0,0.0,0
