BFS-Nummer,index,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001.0,Aarau,21814.0,1715.0,40,41,7.861923535344275,40.0,3.0,http://i.imgur.com/JWqWyRS.png
4271.0,Aarburg,8471.0,876.0,26,37,10.341163971195845,26.0,2.0,http://i.imgur.com/6Voq865.png
4221.0,Abtwil,964.0,57.0,0-3,0-3,5.9128630705394185,0.0,0.0,http://i.imgur.com/quVNZ0U.png
4191.0,Ammerswil,721.0,28.0,0-3,0-3,3.8834951456310676,0.0,0.0,http://i.imgur.com/afyGrTN.png
4222.0,Aristau,1495.0,111.0,0-3,5,7.424749163879599,0.0,0.0,http://i.imgur.com/PIvaWFS.png
4061.0,Arni,1900.0,114.0,0-3,0-3,6.0,0.0,0.0,http://i.imgur.com/C3WOB3q.png
4091.0,Auenstein,1615.0,72.0,5,0-3,4.458204334365325,5.0,1.0,http://i.imgur.com/uT769MY.png
4223.0,Auw,2180.0,180.0,6,0-3,8.256880733944955,6.0,1.0,http://i.imgur.com/84retIE.png
4323.0,Bad Zurzach,4343.0,333.0,6,10,7.667510937140226,6.0,1.0,http://i.imgur.com/mjSPuPu.png
4021.0,Baden,19531.0,1540.0,20,53,7.884900926731862,20.0,2.0,http://i.imgur.com/in3AmXY.png
4301.0,Baldingen,273.0,,,,,,,http://i.imgur.com/BEwN8fD.png
4224.0,Beinwil (Freiamt),1203.0,73.0,0-3,0-3,6.068162926018288,0.0,0.0,http://i.imgur.com/1n5fQC2.png
4131.0,Beinwil am See,3377.0,251.0,8,7,7.432632514065738,8.0,1.0,http://i.imgur.com/CZhBYqU.png
4022.0,Bellikon,1533.0,103.0,0-3,0-3,6.718851924331376,0.0,0.0,http://i.imgur.com/EVrqPHP.png
4023.0,Bergdietikon,2875.0,161.0,0-3,0-3,5.6000000000000005,0.0,0.0,http://i.imgur.com/zqGmpsA.png
4062.0,Berikon,4753.0,358.0,6,0-3,7.532084998948033,6.0,1.0,http://i.imgur.com/3Xs5j19.png
4226.0,Besenbüren,627.0,38.0,0-3,0-3,6.0606060606060606,0.0,0.0,http://i.imgur.com/yiA3B1k.png
4227.0,Bettwil,662.0,47.0,8,0-3,7.099697885196375,8.0,1.0,http://i.imgur.com/OaApds5.png
4002.0,Biberstein,1580.0,101.0,0-3,0-3,6.392405063291139,0.0,0.0,http://i.imgur.com/Kt8HIfM.png
4024.0,Birmenstorf,2956.0,203.0,9,24,6.867388362652233,9.0,1.0,http://i.imgur.com/z7XUl5Q.png
4092.0,Birr,4605.0,488.0,9,30,10.597176981541802,9.0,1.0,http://i.imgur.com/8lubMLf.png
4093.0,Birrhard,747.0,54.0,0-3,0-3,7.228915662650602,0.0,0.0,http://i.imgur.com/vJnLuxW.png
4132.0,Birrwil,1153.0,69.0,6,0-3,5.9843885516045106,6.0,1.0,http://i.imgur.com/JoWL5vL.png
4192.0,Boniswil,1480.0,117.0,0-3,0-3,7.905405405405405,0.0,0.0,http://i.imgur.com/uBIcVt3.png
4228.0,Boswil,2870.0,179.0,4,0-3,6.2369337979094075,4.0,1.0,http://i.imgur.com/sxNfHIM.png
