BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,1764.0,20,28,8.086549922068397,20.0,2.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,888.0,7,5,10.482823751623185,7.0,1.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,57.0,0-3,0-3,5.9128630705394185,0.0,0.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,39.0,9,0-3,5.409153952843273,9.0,1.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,117.0,0-3,4,7.82608695652174,0.0,0.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,115.0,0-3,0-3,6.052631578947368,0.0,0.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,72.0,0-3,0-3,4.458204334365325,0.0,0.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,185.0,0-3,4,8.486238532110093,0.0,0.0,http://i.imgur.com/84retIE.png
4323,Bad Zurzach,4343.0,343.0,4,6,7.89776652083813,4.0,1.0,http://i.imgur.com/mjSPuPu.png
4021,Baden,19531.0,1582.0,23,19,8.099943679279095,23.0,2.0,http://i.imgur.com/in3AmXY.png
4301,Baldingen,273.0,,,,,,,http://i.imgur.com/BEwN8fD.png
4224,Beinwil (Freiamt),1203.0,72.0,0-3,0-3,5.985037406483791,0.0,0.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,255.0,0-3,0-3,7.551080840983121,0.0,0.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,104.0,0-3,0-3,6.784083496412263,0.0,0.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,164.0,0-3,0-3,5.7043478260869565,0.0,0.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,377.0,6,13,7.931832526825162,6.0,1.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,38.0,0-3,0-3,6.0606060606060606,0.0,0.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,48.0,0-3,0-3,7.250755287009064,0.0,0.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,103.0,0-3,0-3,6.518987341772152,0.0,0.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,210.0,0-3,6,7.104194857916103,0.0,0.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,497.0,5,4,10.792616720955483,5.0,1.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,55.0,0-3,0-3,7.362784471218206,0.0,0.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,72.0,0-3,0-3,6.2445793581960105,0.0,0.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,125.0,4,4,8.445945945945946,4.0,1.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,185.0,0-3,0-3,6.445993031358885,0.0,0.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,76.0,0-3,0-3,9.313725490196079,0.0,0.0,http://i.imgur.com/LKmgR6E.png
