BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,2855.0,217.0,130,13.087925185660584,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,1218.0,54.0,45,14.378467713375045,4.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,145.0,9.0,0-3,15.04149377593361,1.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,74.0,2.0,8,10.263522884882107,0.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,192.0,17.0,17,12.842809364548494,2.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,265.0,27.0,15,13.94736842105263,2.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,149.0,6.0,8,9.226006191950464,1.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,351.0,21.0,24,16.10091743119266,2.0,http://i.imgur.com/84retIE.png
4323,Bad Zurzach,4343.0,522.0,13.0,18,12.019341469030625,2.0,http://i.imgur.com/mjSPuPu.png
4021,Baden,19531.0,2524.0,208.0,133,12.923045414981313,4.0,http://i.imgur.com/in3AmXY.png
4301,Baldingen,273.0,,,,,,http://i.imgur.com/BEwN8fD.png
4224,Beinwil (Freiamt),1203.0,168.0,35.0,14,13.96508728179551,3.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,429.0,20.0,29,12.703583061889251,2.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,168.0,11.0,17,10.95890410958904,2.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,269.0,13.0,16,9.356521739130434,2.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,557.0,31.0,12,11.71891436987166,3.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,104.0,19.0,15,16.586921850079744,2.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,89.0,7.0,0-3,13.444108761329304,1.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,236.0,10.0,11,14.936708860759493,1.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,347.0,35.0,14,11.738836265223275,3.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,692.0,37.0,44,15.0271444082519,3.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,75.0,7.0,0-3,10.040160642570282,1.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,125.0,8.0,5,10.841283607979186,1.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,211.0,8.0,11,14.256756756756756,1.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,352.0,24.0,4,12.264808362369338,2.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,113.0,3.0,0-3,13.848039215686276,0.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,1152.0,66.0,46,13.846153846153847,4.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,375.0,27.0,18,9.469696969696969,2.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,1362.0,93.0,55,10.765947355940241,4.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,103.0,6.0,6,11.691259931895573,1.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,1191.0,69.0,35,14.854078323771514,4.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,147.0,4.0,6,14.511352418558737,1.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,126.0,10.0,10,10.16949152542373,1.0,http://i.imgur.com/yppnIDt.png
4302,Böbikon,165.0,,,,,,http://i.imgur.com/XdM34RQ.png
4303,Böttstein,3926.0,547.0,21.0,17,13.932755985736117,2.0,http://i.imgur.com/qhbXZHO.png
4124,Bözberg,1650.0,161.0,2.0,9,9.757575757575758,0.0,http://i.imgur.com/Z82TA8D.png
4094,Bözen,801.0,76.0,1.0,0-3,9.488139825218477,0.0,http://i.imgur.com/4vqxy3h.png
4229,Bünzen,1116.0,159.0,38.0,32,14.24731182795699,3.0,http://i.imgur.com/R25JhYh.png
4064,Büttikon,1015.0,188.0,14.0,16,18.52216748768473,2.0,http://i.imgur.com/ogYGHIu.png
4004,Densbüren,732.0,70.0,6.0,0-3,9.562841530054644,1.0,http://i.imgur.com/0PxOfpX.png
4231,Dietwil,1349.0,172.0,11.0,0-3,12.750185322461082,2.0,http://i.imgur.com/OzZ1nJd.png
4194,Dintikon,2273.0,299.0,24.0,17,13.154421469423669,2.0,http://i.imgur.com/lBAsq7b.png
4065,Dottikon,3904.0,660.0,33.0,29,16.90573770491803,3.0,http://i.imgur.com/0mUHtpT.png
4304,Döttingen,4181.0,638.0,23.0,26,15.259507294905525,2.0,http://i.imgur.com/vlYGFfx.png
4134,Dürrenäsch,1313.0,183.0,5.0,8,13.937547600913938,1.0,http://i.imgur.com/yvxFBnD.png
4096,Effingen,617.0,71.0,1.0,4,11.507293354943274,0.0,http://i.imgur.com/ZN8SrR2.png
4066,Eggenwil,1038.0,106.0,6.0,7,10.211946050096339,1.0,http://i.imgur.com/yYenINV.png
4195,Egliswil,1472.0,161.0,11.0,13,10.9375,2.0,http://i.imgur.com/vN2vVQd.png
4049,Ehrendingen,4849.0,585.0,62.0,20,12.064343163538874,4.0,http://i.imgur.com/fiW4ip1.png
4161,Eiken,2298.0,301.0,20.0,18,13.09834638816362,2.0,http://i.imgur.com/iCYKJYG.png
4097,Elfingen,296.0,,,,,,http://i.imgur.com/Zf9aMeU.png
4305,Endingen,2567.0,299.0,21.0,15,11.64783794312427,2.0,http://i.imgur.com/n2YkuRe.png
4026,Ennetbaden,3507.0,462.0,30.0,31,13.17365269461078,2.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,544.0,48.0,14,12.572220938294432,3.0,http://i.imgur.com/Ih3L9IJ.png
