BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,7041.0,602.0,529.0,32.27743650866416,602.0,529.0,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,2940.0,220.0,194.0,34.70664620469838,220.0,194.0,4.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,409.0,36.0,33.0,42.427385892116185,36.0,33.0,3.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,229.0,36.0,17.0,31.761442441054093,36.0,17.0,3.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,499.0,46.0,38.0,33.37792642140468,46.0,38.0,3.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,454.0,31.0,21.0,23.894736842105264,31.0,21.0,3.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,458.0,52.0,29.0,28.35913312693498,52.0,29.0,4.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,880.0,74.0,76.0,40.36697247706422,74.0,76.0,4.0,http://i.imgur.com/84retIE.png
4021,Baden,19531.0,6219.0,558.0,446.0,31.84168757360094,558.0,446.0,4.0,http://i.imgur.com/in3AmXY.png
4224,Beinwil (Freiamt),1203.0,383.0,23.0,31.0,31.83707398171239,23.0,31.0,2.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,1071.0,92.0,83.0,31.71453953212911,92.0,83.0,4.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,461.0,68.0,37.0,30.071754729288973,68.0,37.0,4.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,728.0,54.0,37.0,25.321739130434786,54.0,37.0,4.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,1471.0,130.0,72.0,30.948874395118875,130.0,72.0,4.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,211.0,16.0,7.0,33.652312599681025,16.0,7.0,2.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,252.0,29.0,16.0,38.066465256797585,29.0,16.0,2.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,472.0,40.0,28.0,29.873417721518987,40.0,28.0,3.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,898.0,67.0,43.0,30.378890392422193,67.0,43.0,4.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,1514.0,102.0,91.0,32.87730727470141,102.0,91.0,4.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,235.0,17.0,9.0,31.459170013386885,17.0,9.0,2.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,318.0,31.0,20.0,27.580225498699047,31.0,20.0,3.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,565.0,52.0,27.0,38.17567567567568,52.0,27.0,4.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,929.0,78.0,71.0,32.36933797909408,78.0,71.0,4.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,245.0,26.0,22.0,30.024509803921568,26.0,22.0,2.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,2760.0,230.0,178.0,33.17307692307692,230.0,178.0,4.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,1268.0,148.0,119.0,32.02020202020202,148.0,119.0,4.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,3619.0,341.0,228.0,28.60643427397044,341.0,228.0,4.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,317.0,17.0,10.0,35.98183881952327,17.0,10.0,2.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,2933.0,208.0,155.0,36.58019456223497,208.0,155.0,4.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,315.0,19.0,19.0,31.09575518262586,19.0,19.0,2.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,437.0,35.0,29.0,35.27037933817595,35.0,29.0,3.0,http://i.imgur.com/yppnIDt.png
4303,Böttstein,3926.0,1259.0,78.0,72.0,32.06826286296484,78.0,72.0,4.0,http://i.imgur.com/qhbXZHO.png
4124,Bözberg,1650.0,410.0,47.0,14.0,24.848484848484848,47.0,14.0,3.0,http://i.imgur.com/Z82TA8D.png
4185,Böztal,2719.0,773.0,50.0,35.0,28.429569694740714,50.0,35.0,3.0,https://i.imgur.com/zKagqOg.png
4229,Bünzen,1116.0,408.0,47.0,33.0,36.55913978494624,47.0,33.0,3.0,http://i.imgur.com/R25JhYh.png
4064,Büttikon,1015.0,408.0,24.0,43.0,40.19704433497537,24.0,43.0,2.0,http://i.imgur.com/ogYGHIu.png
4004,Densbüren,732.0,193.0,14.0,9.0,26.366120218579237,14.0,9.0,2.0,http://i.imgur.com/0PxOfpX.png
4231,Dietwil,1349.0,505.0,43.0,42.0,37.4351371386212,43.0,42.0,3.0,http://i.imgur.com/OzZ1nJd.png
4194,Dintikon,2273.0,795.0,62.0,47.0,34.97580290365156,62.0,47.0,4.0,http://i.imgur.com/lBAsq7b.png
4065,Dottikon,3904.0,1664.0,108.0,101.0,42.62295081967213,108.0,101.0,4.0,http://i.imgur.com/0mUHtpT.png
4304,Döttingen,4181.0,1360.0,96.0,48.0,32.5281033245635,96.0,48.0,4.0,http://i.imgur.com/vlYGFfx.png
4134,Dürrenäsch,1313.0,414.0,28.0,33.0,31.530845392231534,28.0,33.0,2.0,http://i.imgur.com/yvxFBnD.png
4066,Eggenwil,1038.0,280.0,15.0,18.0,26.97495183044316,15.0,18.0,2.0,http://i.imgur.com/yYenINV.png
4195,Egliswil,1472.0,486.0,44.0,39.0,33.016304347826086,44.0,39.0,3.0,http://i.imgur.com/vN2vVQd.png
4049,Ehrendingen,4849.0,1483.0,135.0,115.0,30.58362548979171,135.0,115.0,4.0,http://i.imgur.com/fiW4ip1.png
4161,Eiken,2298.0,783.0,36.0,24.0,34.07310704960835,36.0,24.0,3.0,http://i.imgur.com/iCYKJYG.png
4305,Endingen,2567.0,794.0,70.0,47.0,30.931047915855082,70.0,47.0,4.0,http://i.imgur.com/n2YkuRe.png
4026,Ennetbaden,3507.0,1042.0,92.0,85.0,29.71200456230396,92.0,85.0,4.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,1432.0,140.0,116.0,33.09452276403975,140.0,116.0,4.0,http://i.imgur.com/Ih3L9IJ.png
4196,Fahrwangen,2310.0,777.0,68.0,47.0,33.63636363636363,68.0,47.0,4.0,http://i.imgur.com/zB6yFbf.png
4067,Fischbach-Göslikon,1663.0,504.0,28.0,13.0,30.306674684305474,28.0,13.0,2.0,http://i.imgur.com/mWTvWia.png
4306,Fisibach,526.0,197.0,11.0,6.0,37.452471482889734,11.0,6.0,2.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,1897.0,144.0,84.0,33.83874420264003,144.0,84.0,4.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,321.0,28.0,15.0,30.484330484330485,28.0,15.0,2.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,1795.0,125.0,80.0,32.14541547277937,125.0,80.0,4.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,239.0,30.0,18.0,27.7262180974478,30.0,18.0,2.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,347.0,30.0,17.0,32.73584905660377,30.0,17.0,2.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,1690.0,111.0,105.0,30.744042204839,111.0,105.0,4.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,1032.0,80.0,33.0,27.7270284793122,80.0,33.0,4.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,564.0,52.0,47.0,26.392138511932618,52.0,47.0,4.0,http://i.imgur.com/Lclz6bM.png
4006,Gränichen,8039.0,2859.0,280.0,240.0,35.56412489115562,280.0,240.0,4.0,http://i.imgur.com/CIdzMjH.png
4099,Habsburg,418.0,,,,,,,,http://i.imgur.com/gdx3lLc.png
4197,Hallwil,902.0,322.0,38.0,26.0,35.69844789356985,38.0,26.0,3.0,http://i.imgur.com/HtG409v.png
4100,Hausen,3673.0,1129.0,118.0,75.0,30.737816498774844,118.0,75.0,4.0,http://i.imgur.com/xX4VwmR.png
4251,Hellikon,783.0,248.0,17.0,11.0,31.673052362707537,17.0,11.0,2.0,http://i.imgur.com/J5RSMbU.png
4198,Hendschiken,1320.0,455.0,34.0,37.0,34.46969696969697,34.0,37.0,3.0,http://i.imgur.com/gWXFvm5.png
4166,Herznach,1560.0,476.0,38.0,23.0,30.512820512820515,38.0,23.0,3.0,http://i.imgur.com/MhJEcTa.png
4007,Hirschthal,1646.0,501.0,48.0,38.0,30.43742405832321,48.0,38.0,3.0,http://i.imgur.com/EukYYJT.png
4199,Holderbank,1382.0,484.0,36.0,36.0,35.02170767004342,36.0,36.0,3.0,http://i.imgur.com/qsnl5Dc.png
4136,Holziken,1494.0,541.0,45.0,35.0,36.21151271753681,45.0,35.0,3.0,http://i.imgur.com/UX2nmJk.png
4200,Hunzenschwil,4106.0,1470.0,112.0,98.0,35.801266439357036,112.0,98.0,4.0,http://i.imgur.com/Vqj6WIx.png
4068,Hägglingen,2478.0,768.0,65.0,52.0,30.99273607748184,65.0,52.0,4.0,http://i.imgur.com/yrhxWfN.png
4084,Islisberg,643.0,236.0,12.0,8.0,36.70295489891136,12.0,8.0,2.0,http://i.imgur.com/xKYZkne.png
4071,Jonen,2190.0,688.0,52.0,33.0,31.41552511415525,52.0,33.0,4.0,http://i.imgur.com/ECk8cce.png
4252,Kaiseraugst,5533.0,1858.0,116.0,84.0,33.580336164829205,116.0,84.0,4.0,http://i.imgur.com/rTZ61AE.png
4169,Kaisten,2685.0,827.0,64.0,37.0,30.800744878957172,64.0,37.0,4.0,http://i.imgur.com/k2OMcvS.png
4233,Kallern,399.0,,,,,,,,http://i.imgur.com/xKNEKBa.png
4030,Killwangen,2050.0,688.0,44.0,27.0,33.5609756097561,44.0,27.0,3.0,http://i.imgur.com/1mK0CwS.png
4275,Kirchleerau,882.0,273.0,22.0,19.0,30.952380952380953,22.0,19.0,2.0,http://i.imgur.com/VUYTPz1.png
4309,Klingnau,3523.0,1078.0,73.0,81.0,30.598921373829125,73.0,81.0,4.0,http://i.imgur.com/VoJQHvN.png
4310,Koblenz,1690.0,484.0,26.0,21.0,28.63905325443787,26.0,21.0,2.0,http://i.imgur.com/NUihGv5.png
4276,Kölliken,4561.0,1561.0,94.0,77.0,34.224950668713,94.0,77.0,4.0,http://i.imgur.com/82JAxdf.png
4031,Künten,1814.0,502.0,57.0,38.0,27.67364939360529,57.0,38.0,4.0,http://i.imgur.com/5mVDyI2.png
4008,Küttigen,6286.0,1959.0,200.0,105.0,31.164492523067132,200.0,105.0,4.0,http://i.imgur.com/p524AOA.png
4170,Laufenburg,3668.0,1239.0,90.0,94.0,33.778625954198475,90.0,94.0,4.0,http://i.imgur.com/0q2DzDX.png
4311,Leibstadt,1344.0,378.0,34.0,26.0,28.125,34.0,26.0,3.0,http://i.imgur.com/nDEg55x.png
4137,Leimbach,480.0,,,,,,,,http://i.imgur.com/TX9Scww.png
4312,Lengnau,2768.0,861.0,63.0,44.0,31.10549132947977,63.0,44.0,4.0,http://i.imgur.com/jtVn2cE.png
4201,Lenzburg,10899.0,3667.0,314.0,248.0,33.64528855858336,314.0,248.0,4.0,http://i.imgur.com/hwKNDNt.png
4313,Leuggern,2166.0,596.0,64.0,39.0,27.516158818097875,64.0,39.0,4.0,http://i.imgur.com/jwxM3DD.png
4138,Leutwil,744.0,211.0,26.0,18.0,28.360215053763444,26.0,18.0,2.0,http://i.imgur.com/L9D6Thz.png
4104,Lupfig,3152.0,923.0,81.0,79.0,29.28299492385787,81.0,79.0,4.0,http://i.imgur.com/GsvlHnm.png
4253,Magden,3886.0,1166.0,126.0,81.0,30.00514668039115,126.0,81.0,4.0,http://i.imgur.com/RjlsGjO.png
4105,Mandach,331.0,,,,,,,,http://i.imgur.com/9A7gzrY.png
4202,Meisterschwanden,2937.0,911.0,83.0,88.0,31.0180456247872,83.0,88.0,4.0,http://i.imgur.com/5oMnSnx.png
4314,Mellikon,227.0,,,,,,,,http://i.imgur.com/nxzSlN6.png
4033,Mellingen,5803.0,1844.0,145.0,104.0,31.7766672410822,145.0,104.0,4.0,http://i.imgur.com/ygzUtMm.png
4139,Menziken,6507.0,2231.0,160.0,131.0,34.286153373290304,160.0,131.0,4.0,http://i.imgur.com/uIpPosE.png
4234,Merenschwand,3680.0,1288.0,104.0,89.0,35.0,104.0,89.0,4.0,http://i.imgur.com/VUV5NO6.png
4184,Mettauertal,2046.0,465.0,68.0,39.0,22.727272727272727,68.0,39.0,4.0,http://i.imgur.com/gALhRfi.png
4277,Moosleerau,893.0,291.0,20.0,27.0,32.586786114221724,20.0,27.0,2.0,http://i.imgur.com/tY7Fvn4.png
4009,Muhen,3939.0,1256.0,92.0,77.0,31.886265549631887,92.0,77.0,4.0,http://i.imgur.com/bL0cP46.png
4255,Mumpf,1563.0,506.0,48.0,26.0,32.37364043506078,48.0,26.0,3.0,http://i.imgur.com/4FvMR7y.png
4279,Murgenthal,2997.0,884.0,78.0,45.0,29.496162829496164,78.0,45.0,4.0,http://i.imgur.com/vQIoXmy.png
4236,Muri,8244.0,2847.0,267.0,246.0,34.53420669577875,267.0,246.0,4.0,http://i.imgur.com/djI91Qx.png
4032,Mägenwil,2128.0,757.0,59.0,35.0,35.57330827067669,59.0,35.0,4.0,http://i.imgur.com/i6P6JMV.png
4254,Möhlin,11060.0,3813.0,289.0,247.0,34.47558770343581,289.0,247.0,4.0,http://i.imgur.com/dODOirk.png
4106,Mönthal,398.0,,,,,,,,http://i.imgur.com/Yxxsjjp.png
4203,Möriken-Wildegg,4491.0,1466.0,121.0,124.0,32.64306390558895,121.0,124.0,4.0,http://i.imgur.com/0EUBHOL.png
4235,Mühlau,1210.0,384.0,31.0,26.0,31.735537190082646,31.0,26.0,3.0,http://i.imgur.com/RsXBeqQ.png
4107,Mülligen,1088.0,319.0,28.0,21.0,29.31985294117647,28.0,21.0,2.0,http://i.imgur.com/9f1bnFE.png
4172,Münchwilen,1003.0,295.0,23.0,17.0,29.411764705882355,23.0,17.0,2.0,http://i.imgur.com/28quAhM.png
4034,Neuenhof,8989.0,2886.0,156.0,111.0,32.105907219935474,156.0,111.0,4.0,http://i.imgur.com/yrqjhgc.png
4204,Niederlenz,4812.0,1674.0,130.0,125.0,34.78802992518703,130.0,125.0,4.0,http://i.imgur.com/8PjOy30.png
4035,Niederrohrdorf,4195.0,1406.0,134.0,158.0,33.51609058402861,134.0,158.0,4.0,http://i.imgur.com/FIcVun6.png
4072,Niederwil,2810.0,1078.0,72.0,67.0,38.362989323843415,72.0,67.0,4.0,http://i.imgur.com/W6rKm9n.png
4010,Oberentfelden,8534.0,2826.0,200.0,166.0,33.11460042184204,200.0,166.0,4.0,http://i.imgur.com/eNr44Vb.png
4173,Oberhof,589.0,146.0,9.0,5.0,24.78777589134126,9.0,5.0,1.0,http://i.imgur.com/z0ORwr7.png
4140,Oberkulm,2736.0,917.0,70.0,57.0,33.51608187134503,70.0,57.0,4.0,http://i.imgur.com/P5AI07c.png
4073,Oberlunkhofen,2036.0,655.0,65.0,41.0,32.17092337917485,65.0,41.0,4.0,http://i.imgur.com/KcFNdhq.png
4256,Obermumpf,1051.0,303.0,23.0,20.0,28.82968601332065,23.0,20.0,2.0,http://i.imgur.com/lZjt1pO.png
4037,Oberrohrdorf,4046.0,1102.0,99.0,52.0,27.23677706376668,99.0,52.0,4.0,http://i.imgur.com/9yN4UPe.png
4237,Oberrüti,1540.0,557.0,47.0,32.0,36.16883116883117,47.0,32.0,3.0,http://i.imgur.com/pRsDklD.png
4038,Obersiggenthal,8688.0,2654.0,182.0,149.0,30.547882136279924,182.0,149.0,4.0,http://i.imgur.com/uJJH5dZ.png
4074,Oberwil-Lieli,2489.0,692.0,57.0,47.0,27.8023302531137,57.0,47.0,4.0,http://i.imgur.com/WgLIb5X.png
4175,Oeschgen,1066.0,364.0,26.0,11.0,34.146341463414636,26.0,11.0,2.0,http://i.imgur.com/A9axLHn.png
4280,Oftringen,14198.0,4961.0,357.0,275.0,34.94154106212142,357.0,275.0,4.0,http://i.imgur.com/yKfDk3D.png
4257,Olsberg,356.0,,,,,,,,http://i.imgur.com/vmb4c6O.png
4205,Othmarsingen,2979.0,1065.0,80.0,79.0,35.750251762336354,80.0,79.0,4.0,http://i.imgur.com/534vMUa.png
4141,Reinach,8824.0,2768.0,186.0,206.0,31.368993653671808,186.0,206.0,4.0,http://i.imgur.com/Iyt0GB9.png
4281,Reitnau,1523.0,529.0,34.0,28.0,34.73407747866054,34.0,28.0,3.0,http://i.imgur.com/yEt9ppb.png
4039,Remetschwil,2021.0,600.0,45.0,38.0,29.688273132112812,45.0,38.0,3.0,http://i.imgur.com/3bWmPXL.png
