bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2601.0,Solothurn,Solothurn,7430,28,16859,44.07141586096447,http://i.imgur.com/JHN85pd.png
2465.0,Bucheggberg,Buchegg,977,6,3511,27.82682996297351,http://i.imgur.com/yrxc1LY.png
2464.0,Bucheggberg,Lüsslingen-Nennigkofen,571,1,1115,51.210762331838566,http://i.imgur.com/N8MtfcB.png
2455.0,Bucheggberg,Lüterkofen-Ichertswil,383,0,908,42.180616740088105,http://i.imgur.com/YJgUnxE.png
2457.0,Bucheggberg,Messen,591,4,1474,40.09497964721845,http://i.imgur.com/2uxYEzV.png
2461.0,Bucheggberg,Schnottwil,450,0,1139,39.50834064969271,http://i.imgur.com/pEng2IM.png
2471.0,Dorneck,Bättwil,489,1,1162,42.08261617900172,http://i.imgur.com/LLvYalH.png
2472.0,Dorneck,Büren,427,0,1047,40.783190066857685,http://i.imgur.com/PnBxaSz.png
2473.0,Dorneck,Dornach,3006,15,6870,43.75545851528384,http://i.imgur.com/COHmoqb.png
2474.0,Dorneck,Gempen,379,2,908,41.740088105726876,http://i.imgur.com/HzEspur.png
2475.0,Dorneck,Hochwald,476,1,1257,37.867939538583926,http://i.imgur.com/kIBMZAQ.png
2476.0,Dorneck,Hofstetten-Flüh,1155,4,3299,35.01060927553804,http://i.imgur.com/V2VR9yi.png
2477.0,Dorneck,Metzerlen-Mariastein,367,0,957,38.349007314524556,http://i.imgur.com/i4ILrgV.png
2478.0,Dorneck,Nuglar-St. Pantaleon,533,2,1539,34.63287849252762,http://i.imgur.com/MGm5Ywo.png
2479.0,Dorneck,Rodersdorf,470,0,1406,33.428165007112376,http://i.imgur.com/p4uw0r9.png
2480.0,Dorneck,Seewen,385,1,1055,36.492890995260666,http://i.imgur.com/0JB6Mb5.png
2481.0,Dorneck,Witterswil,529,1,1466,36.084583901773534,http://i.imgur.com/0JrQ5Xw.png
2401.0,Gäu,Egerkingen,1613,4,4214,38.27717133364974,http://i.imgur.com/wyoEuip.png
2402.0,Gäu,Härkingen,665,0,1730,38.4393063583815,http://i.imgur.com/PQdyoSw.png
2403.0,Gäu,Kestenholz,734,5,1874,39.167556029882604,http://i.imgur.com/ITC2whV.png
2404.0,Gäu,Neuendorf,924,3,2342,39.453458582408196,http://i.imgur.com/aAcIy85.png
2405.0,Gäu,Niederbuchsiten,474,5,1284,36.915887850467286,http://i.imgur.com/cetMZcH.png
2406.0,Gäu,Oberbuchsiten,818,3,2300,35.56521739130435,http://i.imgur.com/GMgfP9q.png
2407.0,Gäu,Oensingen,2506,7,6484,38.64898210980876,http://i.imgur.com/nxrng2H.png
2408.0,Gäu,Wolfwil,946,7,2388,39.61474036850921,http://i.imgur.com/rWT56QU.png
2503.0,Gösgen,Erlinsbach,1238,5,3594,34.44629938786867,http://i.imgur.com/PUlb6uL.png
2492.0,Gösgen,Kienberg,178,1,497,35.8148893360161,http://i.imgur.com/wLtAkKX.png
2493.0,Gösgen,Lostorf,1408,4,4052,34.748272458045406,http://i.imgur.com/zAcNSRM.png
2495.0,Gösgen,Niedergösgen,1521,4,4057,37.4907567167858,http://i.imgur.com/AllQYDU.png
2497.0,Gösgen,Obergösgen,872,10,2402,36.30308076602831,http://i.imgur.com/H29uxzr.png
2499.0,Gösgen,Stüsslingen,496,3,1236,40.1294498381877,http://i.imgur.com/ZbMWoK9.png
2500.0,Gösgen,Trimbach,2546,8,6663,38.21101605883236,http://i.imgur.com/WoSpmww.png
2501.0,Gösgen,Winznau,714,3,1964,36.354378818737274,http://i.imgur.com/XzWXfuU.png
2542.0,Lebern,Bellach,2102,2,5389,39.00538133234367,http://i.imgur.com/ltCzE3I.png
2543.0,Lebern,Bettlach,1917,7,4965,38.61027190332326,http://i.imgur.com/iR6Ksbc.png
,Lebern,Feldbrunnen,305,1,1004,30.378486055776893,
2545.0,Lebern,Flumenthal,450,2,1037,43.39440694310511,http://i.imgur.com/h8frbs5.png
2546.0,Lebern,Grenchen,6798,22,18010,37.745696835091614,http://i.imgur.com/HPgVrQu.png
