,date,Neue Fälle
0,2020-02-26,1
1,2020-02-27,0
2,2020-02-28,0
3,2020-02-29,2
4,2020-03-01,1
5,2020-03-02,3
6,2020-03-03,0
7,2020-03-04,3
8,2020-03-05,1
9,2020-03-06,1
10,2020-03-07,2
11,2020-03-08,0
12,2020-03-09,1
13,2020-03-10,3
14,2020-03-11,2
15,2020-03-12,7
16,2020-03-13,3
17,2020-03-14,3
18,2020-03-15,10
19,2020-03-16,13
20,2020-03-17,13
21,2020-03-18,27
22,2020-03-19,38
23,2020-03-20,41
24,2020-03-21,48
25,2020-03-22,12
26,2020-03-23,10
27,2020-03-24,38
28,2020-03-25,35
29,2020-03-26,49
30,2020-03-27,40
31,2020-03-28,37
32,2020-03-29,41
33,2020-03-30,21
34,2020-03-31,48
35,2020-04-01,42
36,2020-04-02,35
37,2020-04-03,42
38,2020-04-04,29
39,2020-04-05,34
40,2020-04-06,27
41,2020-04-07,30
42,2020-04-08,39
43,2020-04-09,21
44,2020-04-10,27
45,2020-04-11,21
46,2020-04-12,8
47,2020-04-13,7
48,2020-04-14,14
49,2020-04-15,15
50,2020-04-16,17
51,2020-04-17,26
52,2020-04-18,19
53,2020-04-19,8
54,2020-04-20,2
55,2020-04-21,9
56,2020-04-22,11
57,2020-04-23,15
58,2020-04-24,17
59,2020-04-25,8
60,2020-04-26,10
61,2020-04-27,5
62,2020-04-28,6
63,2020-04-29,7
64,2020-04-30,6
65,2020-05-01,12
66,2020-05-02,5
67,2020-05-03,4
68,2020-05-04,2
69,2020-05-05,6
70,2020-05-06,4
71,2020-05-07,4
72,2020-05-08,4
73,2020-05-09,2
74,2020-05-10,7
75,2020-05-11,4
76,2020-05-12,2
77,2020-05-13,5
78,2020-05-14,4
79,2020-05-15,4
80,2020-05-16,2
81,2020-05-17,3
82,2020-05-18,2
83,2020-05-19,7
84,2020-05-20,1
85,2020-05-21,0
86,2020-05-22,2
87,2020-05-23,1
88,2020-05-24,0
89,2020-05-25,0
90,2020-05-26,2
91,2020-05-27,1
92,2020-05-28,1
93,2020-05-29,7
94,2020-05-30,0
95,2020-05-31,3
96,2020-06-01,0
97,2020-06-02,0
98,2020-06-03,1
99,2020-06-04,2
100,2020-06-05,0
101,2020-06-06,2
102,2020-06-07,0
103,2020-06-08,0
104,2020-06-09,2
105,2020-06-10,0
106,2020-06-11,3
107,2020-06-12,3
108,2020-06-13,1
109,2020-06-14,2
110,2020-06-15,1
111,2020-06-16,1
112,2020-06-17,0
113,2020-06-18,3
114,2020-06-19,2
115,2020-06-20,3
116,2020-06-21,0
117,2020-06-22,2
118,2020-06-23,0
119,2020-06-24,7
120,2020-06-25,5
121,2020-06-26,10
122,2020-06-27,5
123,2020-06-28,4
124,2020-06-29,6
125,2020-06-30,23
126,2020-07-01,15
127,2020-07-02,13
128,2020-07-03,4
129,2020-07-04,3
130,2020-07-05,2
131,2020-07-06,7
132,2020-07-07,8
133,2020-07-08,7
134,2020-07-09,6
135,2020-07-10,13
136,2020-07-11,14
137,2020-07-12,3
138,2020-07-13,6
139,2020-07-14,15
140,2020-07-15,14
141,2020-07-16,9
142,2020-07-17,14
143,2020-07-18,7
144,2020-07-19,2
145,2020-07-20,7
146,2020-07-21,17
147,2020-07-22,9
148,2020-07-23,15
149,2020-07-24,15
150,2020-07-25,6
151,2020-07-26,2
152,2020-07-27,4
153,2020-07-28,16
154,2020-07-29,11
155,2020-07-30,23
156,2020-07-31,10
157,2020-08-01,16
158,2020-08-02,2
159,2020-08-03,5
160,2020-08-04,15
161,2020-08-05,16
162,2020-08-06,18
163,2020-08-07,10
164,2020-08-08,8
165,2020-08-09,3
166,2020-08-10,9
167,2020-08-11,29
168,2020-08-12,24
169,2020-08-13,20
170,2020-08-14,13
171,2020-08-15,19
172,2020-08-16,11
173,2020-08-17,9
174,2020-08-18,27
175,2020-08-19,30
176,2020-08-20,15
177,2020-08-21,17
178,2020-08-22,19
179,2020-08-23,15
180,2020-08-24,9
181,2020-08-25,29
182,2020-08-26,34
183,2020-08-27,27
184,2020-08-28,23
185,2020-08-29,23
186,2020-08-30,9
187,2020-08-31,7
188,2020-09-01,18
189,2020-09-02,20
190,2020-09-03,27
191,2020-09-04,27
192,2020-09-05,20
193,2020-09-06,5
194,2020-09-07,15
195,2020-09-08,20
196,2020-09-09,19
197,2020-09-10,30
198,2020-09-11,19
199,2020-09-12,23
200,2020-09-13,13
201,2020-09-14,7
202,2020-09-15,28
203,2020-09-16,37
204,2020-09-17,22
205,2020-09-18,28
206,2020-09-19,12
207,2020-09-20,14
208,2020-09-21,10
209,2020-09-22,21
210,2020-09-23,15
211,2020-09-24,10
212,2020-09-25,17
213,2020-09-26,6
214,2020-09-27,5
215,2020-09-28,6
216,2020-09-29,10
217,2020-09-30,18
218,2020-10-01,16
219,2020-10-02,16
220,2020-10-03,24
221,2020-10-04,10
222,2020-10-05,16
223,2020-10-06,43
224,2020-10-07,55
225,2020-10-08,58
226,2020-10-09,64
227,2020-10-10,63
228,2020-10-11,24
229,2020-10-12,45
230,2020-10-13,128
