date,Neue Fälle,7-Tages-Durchschnitt,baseline
2021-12-06,672,707,0
2021-12-07,830,712,0
2021-12-08,864,719.7142857142857,0
2021-12-09,846,722.1428571428571,0
2021-12-10,727,696.4285714285714,0
2021-12-11,701,691.4285714285714,0
2021-12-12,415,669.7142857142857,0
2021-12-13,492,639.8571428571429,0
2021-12-14,795,651.8571428571429,0
2021-12-15,712,635.2857142857143,0
2021-12-16,637,628,0
2021-12-17,811,627.2857142857143,0
2021-12-18,585,622.5714285714286,0
2021-12-19,364,623.2857142857143,0
2021-12-20,487,636,0
2021-12-21,762,647.8571428571429,0
2021-12-22,717,621.1428571428571,0
2021-12-23,726,624.7142857142857,0
2021-12-24,894,653.7142857142857,0
2021-12-25,398,684.8571428571429,0
2021-12-26,389,711.4285714285714,0
2021-12-27,690,772,0
2021-12-28,980,791.1428571428571,0
2021-12-29,903,822.7142857142857,0
2021-12-30,1150,842.5714285714286,0
2021-12-31,1028,890,0
2022-01-01,619,960.4285714285714,0
2022-01-02,528,1084.857142857143,0
2022-01-03,1022,1137.5714285714287,0
2022-01-04,1473,1207.4285714285713,0
2022-01-05,1774,1281.857142857143,0
2022-01-06,1519,1335.5714285714287,0
2022-01-07,1517,1336,0
2022-01-08,1140,1396.4285714285713,0
2022-01-09,904,1387.142857142857,0
2022-01-10,1025,1398.857142857143,0
2022-01-11,1896,1428.142857142857,0
2022-01-12,1709,1465.857142857143,0
2022-01-13,1601,1506.857142857143,0
2022-01-14,1722,1571.7142857142858,0
2022-01-15,1404,1645.2857142857142,0
2022-01-16,1191,1780.5714285714287,0
2022-01-17,1479,1871.2857142857142,0
2022-01-18,2411,2018.142857142857,0
2022-01-19,2656,2159,0
2022-01-20,2236,2239.285714285714,0
2022-01-21,2750,2337.4285714285716,0
2022-01-22,2390,2459,0
2022-01-23,1753,2490.714285714286,0
2022-01-24,2166,2574.8571428571427,0
2022-01-25,3262,2546.5714285714284,0
2022-01-26,2878,2554.5714285714284,0
2022-01-27,2825,2532.4285714285716,0
2022-01-28,2552,2544.4285714285716,0
2022-01-29,2446,,0
2022-01-30,1598,,0
2022-01-31,2250,,0
