Datum,Hospitalisierte,davon auf Intensivstation
2020-03-30,1308.0,396.0
2020-03-31,1348.0,408.0
2020-04-01,1601.0,448.0
2020-04-02,1623.0,467.0
2020-04-03,1618.0,477.0
2020-04-04,1559.0,434.0
2020-04-05,1586.0,459.0
2020-04-06,1606.0,469.0
2020-04-07,1607.0,473.0
2020-04-08,1338.0,415.0
2020-04-09,1527.0,451.0
2020-04-10,1399.0,436.0
2020-04-11,1363.0,425.0
2020-04-12,1252.0,412.0
2020-04-13,1262.0,420.0
2020-04-14,1295.0,383.0
2020-04-15,1109.0,350.0
2020-04-16,1037.0,338.0
2020-04-17,1032.0,335.0
2020-04-18,994.0,316.0
2020-04-19,908.0,280.0
2020-04-20,1002.0,299.0
2020-04-21,921.0,269.0
2020-04-22,889.0,260.0
2020-04-23,847.0,243.0
2020-04-24,781.0,248.0
2020-04-25,670.0,204.0
2020-04-26,680.0,205.0
2020-04-27,719.0,202.0
2020-04-28,651.0,175.0
2020-04-29,537.0,164.0
2020-04-30,590.0,166.0
2020-05-01,510.0,150.0
2020-05-02,440.0,133.0
2020-05-03,482.0,137.0
2020-05-04,457.0,130.0
2020-05-05,493.0,121.0
2020-05-06,388.0,116.0
2020-05-07,377.0,107.0
2020-05-08,325.0,87.0
2020-05-09,296.0,79.0
2020-05-10,313.0,83.0
2020-05-11,328.0,92.0
2020-05-12,327.0,80.0
2020-05-13,281.0,73.0
2020-05-14,288.0,76.0
2020-05-15,240.0,71.0
2020-05-16,161.0,52.0
2020-05-17,167.0,47.0
2020-05-18,202.0,59.0
2020-05-19,204.0,62.0
2020-05-20,176.0,50.0
2020-05-21,131.0,40.0
2020-05-22,167.0,46.0
2020-05-23,89.0,27.0
2020-05-24,72.0,22.0
2020-05-25,151.0,41.0
2020-05-26,135.0,30.0
2020-05-27,140.0,36.0
2020-05-28,129.0,32.0
2020-05-29,119.0,18.0
2020-05-30,34.0,6.0
2020-05-31,33.0,11.0
2020-06-01,63.0,23.0
2020-06-02,79.0,14.0
2020-06-03,66.0,16.0
2020-06-04,74.0,27.0
2020-06-05,48.0,10.0
2020-06-06,17.0,5.0
2020-06-07,20.0,7.0
2020-06-08,88.0,22.0
2020-06-09,53.0,11.0
2020-06-10,46.0,9.0
2020-06-11,68.0,18.0
2020-06-12,39.0,14.0
2020-06-13,6.0,2.0
2020-06-14,2.0,1.0
2020-06-15,59.0,12.0
2020-06-16,38.0,4.0
2020-06-17,32.0,8.0
2020-06-18,52.0,11.0
2020-06-19,40.0,6.0
2020-06-20,3.0,1.0
2020-06-21,3.0,0.0
2020-06-22,59.0,14.0
2020-06-23,31.0,3.0
2020-06-24,27.0,10.0
2020-06-25,46.0,9.0
2020-06-26,38.0,7.0
2020-06-27,4.0,0.0
2020-06-28,3.0,0.0
2020-06-29,63.0,9.0
2020-06-30,42.0,11.0
2020-07-01,19.0,6.0
2020-07-02,53.0,15.0
2020-07-03,28.0,2.0
2020-07-04,0.0,0.0
2020-07-05,0.0,0.0
2020-07-06,62.0,14.0
2020-07-07,27.0,3.0
2020-07-08,24.0,5.0
2020-07-09,70.0,20.0
2020-07-10,57.0,16.0
2020-07-11,5.0,1.0
2020-07-12,7.0,3.0
2020-07-13,74.0,21.0
2020-07-14,69.0,14.0
2020-07-15,82.0,21.0
2020-07-16,62.0,17.0
2020-07-17,82.0,23.0
2020-07-18,15.0,4.0
2020-07-19,16.0,4.0
2020-07-20,103.0,31.0
2020-07-21,105.0,20.0
2020-07-22,73.0,17.0
2020-07-23,94.0,17.0
2020-07-24,78.0,17.0
2020-07-25,8.0,3.0
2020-07-26,7.0,3.0
2020-07-27,87.0,20.0
2020-07-28,86.0,25.0
2020-07-29,100.0,22.0
2020-07-30,119.0,35.0
2020-07-31,114.0,32.0
2020-08-01,17.0,9.0
2020-08-02,2.0,1.0
2020-08-03,127.0,35.0
2020-08-04,134.0,39.0
2020-08-05,104.0,26.0
2020-08-06,117.0,30.0
2020-08-07,110.0,29.0
2020-08-08,10.0,2.0
2020-08-09,10.0,2.0
2020-08-10,99.0,27.0
2020-08-11,107.0,32.0
2020-08-12,110.0,29.0
2020-08-13,115.0,32.0
2020-08-14,105.0,31.0
2020-08-15,17.0,4.0
2020-08-16,10.0,2.0
2020-08-17,116.0,28.0
2020-08-18,116.0,26.0
2020-08-19,107.0,28.0
2020-08-20,98.0,28.0
2020-08-21,105.0,30.0
2020-08-22,10.0,4.0
2020-08-23,5.0,3.0
2020-08-24,101.0,28.0
2020-08-25,101.0,27.0
2020-08-26,90.0,28.0
2020-08-27,94.0,29.0
2020-08-28,97.0,30.0
2020-08-29,11.0,4.0
2020-08-30,11.0,4.0
2020-08-31,96.0,31.0
2020-09-01,94.0,32.0
2020-09-02,47.0,12.0
2020-09-03,83.0,24.0
2020-09-04,84.0,21.0
2020-09-05,7.0,2.0
2020-09-06,5.0,1.0
2020-09-07,108.0,31.0
2020-09-08,104.0,25.0
2020-09-09,105.0,26.0
2020-09-10,112.0,24.0
2020-09-11,111.0,24.0
2020-09-12,8.0,2.0
2020-09-13,1.0,0.0
2020-09-14,137.0,13.0
2020-09-15,105.0,13.0
2020-09-16,129.0,28.0
2020-09-17,147.0,26.0
2020-09-18,112.0,23.0
2020-09-19,17.0,3.0
2020-09-20,17.0,5.0
