,Datum,Patienten ohne Intensivpflege,Patienten auf Intensivstation,freie Intensivplätze
0,2020-02-26,0,0,
1,2020-02-27,0,0,
2,2020-02-28,0,0,
3,2020-02-29,0,0,
4,2020-03-01,0,0,
5,2020-03-02,0,0,
6,2020-03-03,0,0,
7,2020-03-04,0,0,
8,2020-03-05,0,0,
9,2020-03-06,0,0,
10,2020-03-07,0,0,
11,2020-03-08,0,0,
12,2020-03-09,0,0,
13,2020-03-10,0,0,
14,2020-03-11,0,0,
15,2020-03-12,0,0,
16,2020-03-13,0,0,
17,2020-03-14,0,0,
18,2020-03-15,0,0,
19,2020-03-16,0,0,
20,2020-03-17,0,0,
21,2020-03-18,0,0,
22,2020-03-19,0,0,
23,2020-03-20,0,0,
24,2020-03-21,0,0,
25,2020-03-22,0,0,
26,2020-03-23,10,3,
27,2020-03-24,13,2,
28,2020-03-25,26,7,37
29,2020-03-26,28,10,35
30,2020-03-27,28,10,35
31,2020-03-28,28,10,35
32,2020-03-29,28,10,35
33,2020-03-30,38,12,35
34,2020-03-31,63,22,39
35,2020-04-01,67,27,20
36,2020-04-02,69,27,39
37,2020-04-03,73,27,38
38,2020-04-04,73,27,38
39,2020-04-05,73,27,38
40,2020-04-06,73,27,38
41,2020-04-07,59,25,38
42,2020-04-08,56,23,27
43,2020-04-09,58,22,35
44,2020-04-10,53,23,35
45,2020-04-11,53,23,39
46,2020-04-12,53,23,39
47,2020-04-13,53,23,39
48,2020-04-14,52,22,37
49,2020-04-15,46,20,34
50,2020-04-16,38,20,33
51,2020-04-17,35,20,34
52,2020-04-18,35,20,34
53,2020-04-19,35,20,34
54,2020-04-20,27,16,33
55,2020-04-21,23,18,31
56,2020-04-22,19,15,30
57,2020-04-23,20,14,33
58,2020-04-24,25,14,18
59,2020-04-25,25,14,18
60,2020-04-26,25,14,18
61,2020-04-27,27,15,13
62,2020-04-28,27,12,22
63,2020-04-29,26,10,18
64,2020-04-30,23,9,16
65,2020-05-01,23,9,19
66,2020-05-02,23,9,19
67,2020-05-03,23,9,19
68,2020-05-04,27,5,23
69,2020-05-05,15,5,21
70,2020-05-06,17,5,14
71,2020-05-07,14,4,18
72,2020-05-08,12,3,18
73,2020-05-09,12,3,18
74,2020-05-10,12,3,18
75,2020-05-11,10,2,22
76,2020-05-12,6,2,16
77,2020-05-13,6,1,17
78,2020-05-14,8,1,18
79,2020-05-15,11,1,21
80,2020-05-16,11,1,21
81,2020-05-17,11,1,21
82,2020-05-18,6,1,18
83,2020-05-19,6,4,18
84,2020-05-20,9,2,12
85,2020-05-21,9,2,12
86,2020-05-22,7,2,16
87,2020-05-23,7,2,16
88,2020-05-24,7,2,16
89,2020-05-25,5,1,16
90,2020-05-26,4,1,18
91,2020-05-27,4,1,15
92,2020-05-28,5,1,21
93,2020-05-29,3,1,13
94,2020-05-30,3,1,13
95,2020-05-31,3,1,13
96,2020-06-01,3,1,13
97,2020-06-02,3,1,20
98,2020-06-03,1,1,16
99,2020-06-04,1,2,22
100,2020-06-05,1,1,18
101,2020-06-06,1,1,18
102,2020-06-07,1,1,18
103,2020-06-08,3,1,15
104,2020-06-09,2,1,17
105,2020-06-10,1,1,14
106,2020-06-11,1,1,17
107,2020-06-12,0,1,20
108,2020-06-13,0,1,20
109,2020-06-14,0,1,20
110,2020-06-15,0,1,19
111,2020-06-16,0,1,19
112,2020-06-17,0,1,17
113,2020-06-18,0,1,19
114,2020-06-19,1,1,23
115,2020-06-20,1,1,23
116,2020-06-21,1,1,23
117,2020-06-22,2,0,22
118,2020-06-23,1,0,24
119,2020-06-24,1,0,20
120,2020-06-25,1,0,23
121,2020-06-26,0,1,21
122,2020-06-27,0,1,21
123,2020-06-28,0,1,21
124,2020-06-29,1,1,19
125,2020-06-30,1,1,19
126,2020-07-01,1,1,18
127,2020-07-02,2,1,20
128,2020-07-03,2,0,19
129,2020-07-04,2,0,19
130,2020-07-05,2,0,19
131,2020-07-06,3,1,22
132,2020-07-07,4,1,16
133,2020-07-08,4,1,18
134,2020-07-09,2,1,22
135,2020-07-10,0,1,19
136,2020-07-11,0,1,19
137,2020-07-12,0,1,19
138,2020-07-13,2,1,22
139,2020-07-14,3,1,21
140,2020-07-15,6,1,23
141,2020-07-16,5,1,19
142,2020-07-17,3,1,24
143,2020-07-18,3,1,24
144,2020-07-19,3,1,24
145,2020-07-20,3,1,20
146,2020-07-21,4,1,22
147,2020-07-22,4,1,19
148,2020-07-23,8,1,13
149,2020-07-24,5,1,13
150,2020-07-25,5,1,13
151,2020-07-26,5,1,13
152,2020-07-27,10,1,12
153,2020-07-28,8,2,14
154,2020-07-29,7,3,14
155,2020-07-30,9,3,14
156,2020-07-31,10,3,14
157,2020-08-01,10,3,14
158,2020-08-02,10,3,14
159,2020-08-03,7,5,18
160,2020-08-04,8,5,16
161,2020-08-05,4,4,15
162,2020-08-06,5,4,18
163,2020-08-07,4,4,16
164,2020-08-08,4,4,16
165,2020-08-09,4,4,16
166,2020-08-10,3,4,12
167,2020-08-11,5,4,14
168,2020-08-12,8,4,15
169,2020-08-13,6,3,18
170,2020-08-14,6,4,16
171,2020-08-15,6,4,16
172,2020-08-16,6,4,16
173,2020-08-17,10,2,18
174,2020-08-18,10,1,15
175,2020-08-19,7,2,13
176,2020-08-20,6,2,11
177,2020-08-21,6,2,14
178,2020-08-22,6,2,14
179,2020-08-23,6,2,14
180,2020-08-24,7,2,12
181,2020-08-25,7,2,15
182,2020-08-26,6,3,16
183,2020-08-27,4,3,14
