Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Beatmungsplätze
2021-06-21,3,7.0,14.0
2021-06-22,3,9.0,10.0
2021-06-23,5,2.0,17.0
2021-06-24,5,1.0,18.0
2021-06-25,6,1.0,11.0
2021-06-26,6,1.0,11.0
2021-06-27,6,1.0,11.0
2021-06-28,5,1.0,10.0
2021-06-29,4,1.0,10.0
2021-06-30,2,1.0,10.0
2021-07-01,4,0.0,11.0
2021-07-02,4,0.0,11.0
2021-07-03,4,0.0,11.0
2021-07-04,4,0.0,11.0
2021-07-05,3,3.0,9.0
2021-07-06,0,1.0,10.0
2021-07-07,1,1.0,13.0
2021-07-08,2,0.0,17.0
2021-07-09,2,1.0,11.0
2021-07-10,2,1.0,11.0
2021-07-11,2,1.0,11.0
2021-07-12,4,2.0,17.0
2021-07-13,4,1.0,13.0
2021-07-14,2,2.0,16.0
2021-07-15,4,0.0,18.0
2021-07-16,2,0.0,14.0
2021-07-17,2,0.0,14.0
2021-07-18,2,0.0,14.0
2021-07-19,4,1.0,10.0
2021-07-20,4,1.0,13.0
2021-07-21,7,1.0,17.0
2021-07-22,4,2.0,13.0
2021-07-23,4,2.0,11.0
2021-07-24,4,2.0,11.0
2021-07-25,4,2.0,11.0
2021-07-26,5,3.0,12.0
2021-07-27,6,3.0,13.0
2021-07-28,5,2.0,19.0
2021-07-29,6,2.0,17.0
2021-07-30,6,3.0,15.0
2021-07-31,6,3.0,15.0
2021-08-01,6,3.0,15.0
2021-08-02,8,2.0,8.0
2021-08-03,11,3.0,11.0
2021-08-04,9,4.0,14.0
2021-08-05,8,4.0,10.0
2021-08-06,10,3.0,12.0
2021-08-07,10,3.0,12.0
2021-08-08,10,3.0,12.0
2021-08-09,18,4.0,22.0
2021-08-10,17,7.0,17.0
2021-08-11,15,6.0,16.0
2021-08-12,25,7.0,17.0
2021-08-13,25,7.0,23.0
2021-08-14,25,7.0,23.0
2021-08-15,25,7.0,23.0
2021-08-16,40,8.0,10.0
