Datum,Isolation,Quarantäne
2020-05-01,,
2020-05-02,,
2020-05-03,,
2020-05-04,,
2020-05-05,,
2020-05-06,,
2020-05-07,,
2020-05-08,,
2020-05-09,,
2020-05-10,,
2020-05-11,,
2020-05-12,,
2020-05-13,,
2020-05-14,,
2020-05-15,,
2020-05-16,,
2020-05-17,,
2020-05-18,,
2020-05-19,,
2020-05-20,,
2020-05-21,,
2020-05-22,,
2020-05-23,,
2020-05-24,,
2020-05-25,,
2020-05-26,,
2020-05-27,,
2020-05-28,,
2020-05-29,,
2020-05-30,,
2020-05-31,,
2020-06-01,,
2020-06-02,,
2020-06-03,,
2020-06-04,,
2020-06-05,,
2020-06-06,,
2020-06-07,,
2020-06-08,,
2020-06-09,,
2020-06-10,,
2020-06-11,,
2020-06-12,13.0,38.0
2020-06-15,16.0,29.0
2020-06-16,17.0,16.0
2020-06-17,17.0,19.0
2020-06-18,20.0,23.0
2020-06-19,18.0,29.0
2020-06-22,21.0,67.0
2020-06-23,20.0,49.0
2020-06-24,18.0,64.0
2020-06-25,21.0,79.0
2020-06-26,25.0,108.0
2020-06-29,39.0,152.0
2020-06-30,55.0,192.0
2020-07-01,65.0,227.0
2020-07-02,74.0,252.0
2020-07-03,73.0,220.0
2020-07-06,83.0,250.0
2020-07-07,76.0,249.0
2020-07-08,70.0,238.0
2020-07-09,57.0,228.0
2020-07-10,55.0,245.0
2020-07-13,63.0,203.0
2020-07-14,73.0,149.0
2020-07-15,64.0,187.0
2020-07-16,71.0,213.0
2020-07-17,68.0,205.0
2020-07-20,54.0,158.0
2020-07-21,93.0,208.0
2020-07-22,89.0,202.0
2020-07-23,92.0,232.0
2020-07-24,97.0,269.0
2020-07-27,88.0,232.0
2020-07-28,81.0,289.0
2020-07-29,78.0,210.0
2020-07-30,96.0,299.0
2020-07-31,94.0,295.0
2020-08-01,94.0,295.0
2020-08-02,94.0,295.0
2020-08-03,73.0,192.0
2020-08-04,92.0,212.0
2020-08-05,92.0,204.0
2020-08-06,102.0,251.0
2020-08-07,68.0,140.0
2020-08-08,68.0,140.0
2020-08-09,68.0,140.0
2020-08-10,103.0,327.0
2020-08-11,116.0,443.0
2020-08-12,138.0,417.0
2020-08-13,145.0,436.0
2020-08-14,138.0,652.0
2020-08-15,138.0,652.0
2020-08-16,138.0,652.0
2020-08-17,124.0,473.0
2020-08-18,137.0,560.0
2020-08-19,148.0,609.0
2020-08-20,136.0,624.0
2020-08-21,142.0,548.0
2020-08-22,142.0,548.0
2020-08-23,142.0,548.0
2020-08-24,128.0,507.0
2020-08-25,143.0,466.0
2020-08-26,173.0,511.0
2020-08-27,151.0,473.0
2020-08-28,125.0,514.0
2020-08-29,125.0,514.0
2020-08-30,125.0,514.0
2020-08-31,124.0,367.0
2020-09-01,116.0,303.0
2020-09-02,131.0,382.0
2020-09-03,116.0,409.0
2020-09-04,128.0,383.0
2020-09-05,128.0,383.0
2020-09-06,128.0,383.0
2020-09-07,145.0,332.0
2020-09-08,136.0,292.0
2020-09-09,155.0,430.0
2020-09-10,180.0,514.0
2020-09-11,189.0,511.0
2020-09-12,189.0,511.0
2020-09-13,189.0,511.0
2020-09-14,193.0,528.0
2020-09-15,167.0,566.0
2020-09-16,174.0,560.0
2020-09-17,167.0,554.0
2020-09-18,151.0,506.0
2020-09-19,151.0,506.0
2020-09-20,151.0,506.0
2020-09-21,137.0,351.0
2020-09-22,144.0,431.0
2020-09-23,156.0,383.0
2020-09-24,157.0,386.0
2020-09-25,153.0,381.0
2020-09-26,153.0,381.0
2020-09-27,153.0,381.0
2020-09-28,105.0,244.0
2020-09-29,98.0,227.0
2020-09-30,84.0,234.0
2020-10-01,98.0,257.0
2020-10-02,96.0,238.0
2020-10-03,96.0,238.0
2020-10-04,96.0,238.0
2020-10-05,108.0,264.0
2020-10-06,123.0,298.0
2020-10-07,150.0,454.0
2020-10-08,167.0,477.0
2020-10-09,191.0,521.0
2020-10-10,191.0,521.0
2020-10-11,191.0,521.0
2020-10-12,180.0,582.0
2020-10-13,200.0,479.0
2020-10-14,223.0,423.0
2020-10-15,254.0,475.0
2020-10-16,231.0,377.0
2020-10-17,231.0,377.0
2020-10-18,231.0,377.0
2020-10-19,293.0,368.0
2020-10-20,312.0,304.0
2020-10-21,343.0,313.0
2020-10-22,386.0,340.0
2020-10-23,453.0,352.0
2020-10-24,453.0,352.0
2020-10-25,453.0,352.0
2020-10-26,680.0,412.0
2020-10-27,794.0,
2020-10-28,796.0,
2020-10-29,757.0,
2020-10-30,990.0,
2020-10-31,990.0,
2020-11-01,990.0,
2020-11-02,1685.0,
2020-11-03,1608.0,
2020-11-04,1809.0,
2020-11-05,1850.0,
2020-11-06,1900.0,
2020-11-07,1900.0,
2020-11-08,1900.0,
2020-11-09,2100.0,
2020-11-10,2250.0,
2020-11-11,1660.0,
2020-11-12,2122.0,
2020-11-13,2343.0,
2020-11-14,2343.0,
2020-11-15,2343.0,
2020-11-16,2458.0,
2020-11-17,2484.0,
2020-11-18,2001.0,
2020-11-19,2131.0,
2020-11-20,2267.0,
2020-11-21,2267.0,
2020-11-22,2267.0,
2020-11-23,2839.0,
2020-11-24,2849.0,
2020-11-25,2854.0,
2020-11-26,2875.0,
2020-11-27,2860.0,
2020-11-28,2860.0,
2020-11-29,2860.0,
2020-12-01,2450.0,
2020-12-02,2150.0,
2020-12-03,2020.0,
2020-12-04,1998.0,
2020-12-05,1998.0,
2020-12-06,1998.0,
2020-12-07,1820.0,
2020-12-08,1805.0,
2020-12-09,1805.0,
2020-12-10,1850.0,
2020-12-11,1950.0,
2020-12-12,1950.0,
2020-12-13,1950.0,
2020-12-14,2050.0,
2020-12-15,2000.0,
2020-12-16,2073.0,
2020-12-17,2154.0,
2020-12-18,2025.0,
2020-12-19,2025.0,
2020-12-20,2025.0,
2020-12-21,2203.0,
2020-12-22,2150.0,
2020-12-23,2280.0,
2020-12-24,2128.0,
2020-12-25,2100.0,
2020-12-26,2100.0,
2020-12-27,2100.0,
2020-12-28,2134.0,
2020-12-29,1950.0,
2020-12-30,1800.0,
2020-12-31,2300.0,
2021-01-01,2350.0,
2021-01-02,2350.0,
2021-01-03,2350.0,
2021-01-04,,
2021-01-05,,
2021-01-06,,
2021-01-07,,
2021-01-08,,
2021-01-09,,
2021-01-10,,
2021-01-11,,
2021-01-12,,
2021-01-13,,
2021-01-14,,
2021-01-15,,
2021-01-16,,
2021-01-17,,
2021-01-18,,
2021-01-19,,
2021-01-20,,
2021-01-21,,
2021-01-22,,
2021-01-23,,
2021-01-24,,
2021-01-25,,
2021-01-26,,
2021-01-27,,
2021-01-28,,
2021-01-29,,
2021-01-30,,
2021-01-31,,
2021-02-01,,
2021-02-02,,
2021-02-03,,
2021-02-04,,
2021-02-05,,
2021-02-06,,
2021-02-07,,
2021-02-08,,
2021-02-09,,
2021-02-10,,
2021-02-11,,
2021-02-12,,
2021-02-13,,
2021-02-14,,
2021-02-15,,
2021-02-16,,
2021-02-17,,
2021-02-18,,
2021-02-19,,
2021-02-20,,
2021-02-21,,
2021-02-22,,
2021-02-23,,
2021-02-24,,
2021-02-25,,
2021-02-26,,
2021-02-27,,
2021-02-28,,
2021-03-01,,
2021-03-02,,
2021-03-03,,
2021-03-04,,
2021-03-05,,
2021-03-06,,
2021-03-07,,
2021-03-08,,
2021-03-09,,
2021-03-10,,
2021-03-11,,
2021-03-12,,
2021-03-13,,
2021-03-14,,
2021-03-15,,
2021-03-16,,
2021-03-17,,
2021-03-18,,
2021-03-19,,
2021-03-20,,
2021-03-21,,
2021-03-22,,
2021-03-23,,
2021-03-24,,
2021-03-25,,
2021-03-26,,
2021-03-27,,
2021-03-28,,
2021-03-29,,
2021-03-30,,
2021-03-31,,
2021-04-01,,
2021-04-02,,
2021-04-03,,
2021-04-04,,
2021-04-05,,
2021-04-06,,
2021-04-07,,
2021-04-08,,
2021-04-09,,
2021-04-10,,
2021-04-11,,
2021-04-12,,
2021-04-13,,
2021-04-14,,
2021-04-15,,
2021-04-16,,
2021-04-17,,
2021-04-18,,
2021-04-19,,
2021-04-20,,
2021-04-21,,
2021-04-22,,
2021-04-23,,
2021-04-24,,
2021-04-25,,
2021-04-26,,
2021-04-27,,
2021-04-28,,
2021-04-29,,
2021-04-30,,
2021-05-01,,
2021-05-02,,
2021-05-03,,
2021-05-04,,
2021-05-05,,
2021-05-06,,
2021-05-07,,
2021-05-08,,
2021-05-09,,
2021-05-10,,
2021-05-11,,
2021-05-12,,
2021-05-13,,
2021-05-14,,
2021-05-15,,
2021-05-16,,
2021-05-17,,
2021-05-18,,
2021-05-19,,
2021-05-20,,
2021-05-21,,
2021-05-22,,
2021-05-23,,
2021-05-24,,
2021-05-25,,
2021-05-26,,
2021-05-27,,
2021-05-28,,
2021-05-29,,
2021-05-30,,
2021-05-31,,
2021-06-01,315.0,470.0
2021-06-02,313.0,424.0
2021-06-03,301.0,406.0
2021-06-04,260.0,339.0
2021-06-05,260.0,339.0
2021-06-06,260.0,339.0
2021-06-07,218.0,231.0
2021-06-08,217.0,230.0
2021-06-09,209.0,260.0
2021-06-10,191.0,220.0
2021-06-11,186.0,217.0
2021-06-12,186.0,217.0
2021-06-13,186.0,217.0
2021-06-14,149.0,219.0
2021-06-15,125.0,248.0
2021-06-16,120.0,248.0
2021-06-17,110.0,234.0
2021-06-18,100.0,220.0
2021-06-19,100.0,220.0
2021-06-20,100.0,220.0
2021-06-21,69.0,135.0
2021-06-22,69.0,100.0
2021-06-23,66.0,91.0
2021-06-24,65.0,89.0
2021-06-25,60.0,88.0
2021-06-26,60.0,88.0
2021-06-27,60.0,88.0
2021-06-28,44.0,76.0
2021-06-29,48.0,77.0
2021-06-30,51.0,76.0
2021-07-01,49.0,73.0
2021-07-02,49.0,73.0
2021-07-03,49.0,73.0
2021-07-04,49.0,73.0
2021-07-05,61.0,68.0
2021-07-06,75.0,89.0
2021-07-07,89.0,121.0
2021-07-08,103.0,131.0
2021-07-09,107.0,151.0
