datum,AG,Schweiz
2020-06-15,0.4,0.4
2020-06-22,1.0,0.7
2020-06-29,1.3,1.1
2020-07-06,1.8,1.5
2020-07-13,2.6,2.0
2020-07-20,3.4,2.6
2020-07-27,4.4,3.5
2020-08-03,3.5,3.3
2020-08-10,4.5,4.1
2020-08-17,3.7,3.6
2020-08-24,2.8,3.1
2020-08-31,2.2,3.1
2020-09-07,2.4,3.6
2020-09-14,2.8,3.8
2020-09-21,2.0,3.7
2020-09-28,2.9,5.3
2020-10-05,7.0,10.0
2020-10-12,11.7,15.4
2020-10-19,16.2,22.6
2020-10-26,19.6,26.5
2020-11-02,19.8,26.5
2020-11-09,19.1,24.0
2020-11-16,20.4,20.8
2020-11-23,18.2,17.6
2020-11-30,18.3,17.8
2020-12-07,19.0,15.2
2020-12-14,17.6,12.8
2020-12-21,17.0,12.6
2020-12-28,20.4,16.7
2021-01-04,16.0,14.4
2021-01-11,13.2,11.5
2021-01-18,10.9,9.0
2021-01-25,8.3,7.5
2021-02-01,6.0,6.1
2021-02-08,5.5,4.7
2021-02-15,5.1,4.5
2021-02-22,6.1,4.8
2021-03-01,5.0,4.8
