datum,AR,Schweiz
2020-06-15,0.0,0.4
2020-06-22,1.0,0.7
2020-06-29,0.5,1.1
2020-07-06,1.2,1.5
2020-07-13,0.5,2.0
2020-07-20,0.8,2.6
2020-07-27,1.3,3.5
2020-08-03,0.6,3.3
2020-08-10,4.0,4.1
2020-08-17,2.1,3.6
2020-08-24,1.2,3.1
2020-08-31,1.3,3.1
2020-09-07,3.3,3.6
2020-09-14,2.5,3.8
2020-09-21,2.0,3.7
2020-09-28,7.6,5.3
2020-10-05,10.4,10.0
2020-10-12,17.9,15.4
2020-10-19,23.5,22.6
2020-10-26,23.0,26.5
2020-11-02,23.6,26.5
2020-11-09,24.6,24.0
2020-11-16,22.3,20.8
2020-11-23,19.8,17.6
2020-11-30,18.2,17.8
2020-12-07,18.0,15.2
2020-12-14,16.7,12.8
2020-12-21,16.4,12.6
2020-12-28,22.8,16.7
2021-01-04,21.2,14.4
2021-01-11,15.8,11.5
2021-01-18,12.7,9.0
2021-01-25,10.4,7.5
2021-02-01,8.0,6.1
2021-02-08,4.9,4.7
2021-02-15,5.1,4.4
2021-02-22,4.4,4.8
2021-03-01,5.5,4.7
2021-03-08,6.6,4.9
