datum,OW,Schweiz
2020-08-31,0.4,3.1
2020-09-07,0.7,3.6
2020-09-14,2.5,3.8
2020-09-21,3.2,3.7
2020-09-28,3.6,5.3
2020-10-05,17.3,10.0
2020-10-12,20.1,15.4
2020-10-19,19.3,22.6
2020-10-26,23.6,26.5
2020-11-02,26.6,26.5
2020-11-09,32.4,24.0
2020-11-16,27.7,20.8
2020-11-23,21.8,17.6
2020-11-30,17.8,17.8
2020-12-07,19.2,15.2
2020-12-14,16.0,12.8
2020-12-21,15.2,12.6
2020-12-28,14.5,16.7
2021-01-04,20.8,14.4
2021-01-11,26.4,11.5
2021-01-18,21.5,9.0
2021-01-25,6.8,7.5
2021-02-01,8.8,6.1
2021-02-08,6.9,4.7
2021-02-15,11.2,4.5
2021-02-22,3.0,4.9
2021-03-01,4.4,4.9
2021-03-08,5.5,5.1
2021-03-15,7.0,5.1
2021-03-22,8.7,5.5
2021-03-29,7.1,5.1
2021-04-05,11.8,7.6
2021-04-12,10.3,8.3
2021-04-19,11.2,8.6
2021-04-26,7.8,7.3
2021-05-03,5.8,6.4
2021-05-10,8.5,4.7
2021-05-17,9.8,4.1
2021-05-24,9.3,3.7
2021-05-31,7.5,2.5
2021-06-07,6.7,1.9
2021-06-14,1.8,1.1
2021-06-21,1.2,0.7
2021-06-28,0.8,0.7
2021-07-05,1.6,1.2
2021-07-12,2.5,2.3
2021-07-19,3.3,3.6
2021-07-26,4.1,4.3
