datum,SG,Schweiz
2020-06-15,0.2,0.4
2020-06-22,0.6,0.7
2020-06-29,1.0,1.1
2020-07-06,1.7,1.5
2020-07-13,1.2,2.0
2020-07-20,3.2,2.6
2020-07-27,2.6,3.5
2020-08-03,3.3,3.3
2020-08-10,3.1,4.1
2020-08-17,2.7,3.6
2020-08-24,1.2,3.1
2020-08-31,1.7,3.1
2020-09-07,2.2,3.6
2020-09-14,3.5,3.8
2020-09-21,2.7,3.7
2020-09-28,5.0,5.3
2020-10-05,11.0,10.0
2020-10-12,16.8,15.4
2020-10-19,23.3,22.6
2020-10-26,26.6,26.5
2020-11-02,27.0,26.5
2020-11-09,26.9,24.0
2020-11-16,25.6,20.8
2020-11-23,23.3,17.6
2020-11-30,24.7,17.8
2020-12-07,23.9,15.2
2020-12-14,20.4,12.8
2020-12-21,19.9,12.6
2020-12-28,25.0,16.7
2021-01-04,20.4,14.4
2021-01-11,15.0,11.5
2021-01-18,13.5,9.0
2021-01-25,9.7,7.5
2021-02-01,9.0,6.0
2021-02-08,5.9,4.7
2021-02-15,5.2,4.4
2021-02-22,5.4,4.8
2021-03-01,5.6,4.6
2021-03-08,5.0,4.8
2021-03-15,5.5,4.9
2021-03-22,7.5,5.3
