datum,SO,Schweiz
2020-08-31,1.3,3.1
2020-09-07,1.2,3.6
2020-09-14,2.8,3.8
2020-09-21,3.0,3.7
2020-09-28,3.8,5.3
2020-10-05,6.7,10.0
2020-10-12,10.7,15.4
2020-10-19,14.9,22.6
2020-10-26,17.8,26.5
2020-11-02,19.8,26.5
2020-11-09,18.0,24.0
2020-11-16,19.2,20.8
2020-11-23,17.6,17.6
2020-11-30,20.1,17.8
2020-12-07,19.8,15.2
2020-12-14,16.7,12.8
2020-12-21,15.0,12.6
2020-12-28,18.1,16.7
2021-01-04,14.7,14.4
2021-01-11,11.2,11.5
2021-01-18,7.9,9.0
2021-01-25,7.8,7.5
2021-02-01,5.4,6.1
2021-02-08,4.7,4.7
2021-02-15,6.2,4.5
2021-02-22,5.8,4.9
2021-03-01,5.6,4.9
2021-03-08,4.9,5.1
2021-03-15,5.4,5.1
2021-03-22,5.3,5.5
2021-03-29,5.3,5.0
2021-04-05,6.4,7.6
2021-04-12,9.4,8.3
2021-04-19,9.9,8.6
