datum,UR,Schweiz
2020-06-15,0.0,0.4
2020-06-22,1.2,0.7
2020-06-29,3.4,1.1
2020-07-06,2.9,1.5
2020-07-13,2.7,2.0
2020-07-20,3.3,2.6
2020-07-27,4.2,3.5
2020-08-03,0.0,3.3
2020-08-10,6.6,4.1
2020-08-17,4.2,3.6
2020-08-24,4.2,3.1
2020-08-31,0.6,3.1
2020-09-07,0.6,3.6
2020-09-14,0.6,3.8
2020-09-21,1.5,3.7
2020-09-28,7.8,5.3
2020-10-05,11.3,10.0
2020-10-12,16.7,15.4
2020-10-19,23.9,22.6
2020-10-26,28.9,26.5
2020-11-02,25.6,26.5
2020-11-09,28.4,24.0
2020-11-16,23.9,20.8
2020-11-23,18.3,17.6
2020-11-30,17.4,17.8
2020-12-07,36.2,15.3
2020-12-14,22.8,12.9
2020-12-21,20.6,12.6
2020-12-28,27.1,16.8
2021-01-04,21.1,14.5
2021-01-11,18.4,11.7
2021-01-18,9.8,9.4
2021-01-25,6.2,8.1
