date,verabreichte Dosen
2021-01-31,111934.0
2021-02-07,99977.0
2021-02-14,133966.0
2021-02-21,130924.0
2021-02-28,138548.0
2021-03-07,151867.0
2021-03-14,152152.0
2021-03-21,151398.0
2021-03-28,182571.0
2021-04-04,175116.0
2021-04-11,210685.0
2021-04-18,295354.0
2021-04-25,367675.0
2021-05-02,388394.0
2021-05-09,451872.0
2021-05-16,469157.0
2021-05-23,571058.0
2021-05-30,556744.0
2021-06-06,635857.0
2021-06-13,644369.0
2021-06-20,603910.0
2021-06-27,519637.0
2021-07-04,449710.0
2021-07-11,415935.0
2021-07-18,369891.0
2021-07-25,294878.0
2021-08-01,187205.0
2021-08-08,136631.0
2021-08-15,138442.0
2021-08-22,145430.0
2021-08-29,160586.0
2021-09-05,155686.0
2021-09-12,192482.0
2021-09-19,221566.0
2021-09-26,195197.0
2021-10-03,164772.0
2021-10-10,163757.0
2021-10-17,169112.0
2021-10-24,141602.0
2021-10-31,100049.0
2021-11-07,75811.0
2021-11-14,121736.0
