Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^13.02.2022^,72.57,1.63,196735.0
TI ^13.02.2022^,71.98,1.34,350986.0
BL ^13.02.2022^,71.08,1.56,290969.0
NE ^13.02.2022^,70.98,2.87,175894.0
ZH ^13.02.2022^,70.53,1.05,1553423.0
BE ^13.02.2022^,69.97,1.12,1043132.0
VD ^13.02.2022^,69.84,0.96,814762.0
GR ^13.02.2022^,69.48,1.71,200096.0
SO ^13.02.2022^,69.45,1.33,277462.0
FR ^13.02.2022^,69.04,0.99,325496.0
GE ^13.02.2022^,68.99,1.91,506343.0
ZG ^13.02.2022^,68.82,1.23,128794.0
CH ^13.02.2022^,68.64,1.4,8670300.0
SH ^13.02.2022^,68.64,1.32,83107.0
AG ^13.02.2022^,68.36,1.09,694072.0
LU ^13.02.2022^,67.41,1.67,416347.0
NW ^13.02.2022^,67.33,1.34,43520.0
OW ^13.02.2022^,66.22,4.61,38108.0
VS ^13.02.2022^,66.11,4.26,348503.0
UR ^13.02.2022^,65.08,0.77,36819.0
JU ^13.02.2022^,63.84,3.12,73709.0
GL ^13.02.2022^,63.12,0.95,40851.0
SG ^13.02.2022^,63.12,0.64,514504.0
TG ^13.02.2022^,62.21,1.73,282909.0
AR ^13.02.2022^,61.56,0.89,55309.0
SZ ^13.02.2022^,60.02,1.15,162157.0
AI ^13.02.2022^,56.99,0.45,16293.0
all ^13.02.2022^,,,
neighboring_chfl ^13.02.2022^,,,
unknown ^13.02.2022^,,,
