date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.0,0.2
2021-07-11,,0.0,0.3
2021-07-18,,0.0,0.8
2021-07-25,,0.1,1.1
2021-08-01,,0.1,1.5
2021-08-08,,0.0,2.8
2021-08-15,,0.4,7.2
2021-08-22,,0.5,9.7
2021-08-29,,0.2,8.2
2021-09-05,,0.2,6.8
2021-09-12,,0.2,6.0
2021-09-19,,0.4,5.3
2021-09-26,,0.4,3.3
2021-10-03,,0.2,2.5
2021-10-10,,0.2,1.8
2021-10-17,,0.2,1.9
2021-10-24,,0.4,1.7
2021-10-31,,0.2,2.8
2021-11-07,,0.1,3.5
2021-11-14,,0.5,5.4
2021-11-21,,0.5,6.8
2021-11-28,,0.6,7.6
2021-12-05,0.8,1.1,10.3
2021-12-12,0.0,1.2,12.7
2021-12-19,1.2,0.9,10.3
2021-12-26,1.1,0.9,10.0
2022-01-02,0.9,1.1,8.5
2022-01-09,1.4,2.4,9.1
2022-01-16,0.9,1.8,5.7
2022-01-23,1.4,2.6,5.7
2022-01-30,1.4,2.4,5.1
