date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,452,0
2021-02-07,411,0
2021-02-14,316,1
2021-02-21,303,1
2021-02-28,288,2
2021-03-07,336,1
2021-03-14,351,3
2021-03-21,399,2
2021-03-28,460,4
2021-04-04,533,7
2021-04-11,504,5
2021-04-18,488,8
2021-04-25,480,5
2021-05-02,449,7
2021-05-09,327,5
2021-05-16,227,4
2021-05-23,242,2
2021-05-30,136,7
2021-06-06,112,3
2021-06-13,70,4
2021-06-20,42,4
2021-06-27,26,2
2021-07-04,17,0
2021-07-11,28,0
2021-07-18,56,3
2021-07-25,74,11
2021-08-01,112,8
2021-08-08,165,6
2021-08-15,332,16
