date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,5.2,0.0
2021-02-07,4.8,0.0
2021-02-14,3.7,1.1
2021-02-21,3.6,0.6
2021-02-28,3.4,0.8
2021-03-07,4.0,0.3
2021-03-14,4.3,0.8
2021-03-21,4.9,0.4
2021-03-28,5.7,0.8
2021-04-04,6.7,1.2
2021-04-11,6.4,0.7
2021-04-18,6.2,1.1
2021-04-25,6.2,0.6
2021-05-02,5.9,0.7
2021-05-09,4.4,0.5
2021-05-16,3.2,0.3
2021-05-23,3.5,0.1
2021-05-30,2.0,0.4
2021-06-06,1.8,0.2
2021-06-13,1.2,0.2
2021-06-20,0.7,0.2
2021-06-27,0.5,0.1
2021-07-04,0.3,0.0
2021-07-11,0.5,0.0
2021-07-18,1.2,0.1
2021-07-25,1.7,0.3
2021-08-01,2.5,0.2
2021-08-08,3.9,0.1
2021-08-15,8.1,0.4
2021-08-22,11.5,0.5
2021-08-29,10.6,0.4
2021-09-05,8.9,0.4
