date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,5.2,585.2
2021-02-07,3.9,243.3
2021-02-14,3.2,89.2
2021-02-21,3.2,52.8
2021-02-28,2.6,27.3
2021-03-07,3.0,24.8
2021-03-14,3.4,23.5
2021-03-21,3.8,22.2
2021-03-28,4.4,22.0
2021-04-04,5.0,22.3
2021-04-11,5.0,18.9
2021-04-18,4.8,16.1
2021-04-25,4.9,14.4
2021-05-02,4.7,12.1
2021-05-09,3.9,8.6
2021-05-16,2.7,5.0
2021-05-23,2.9,4.3
2021-05-30,1.7,2.1
2021-06-06,1.5,1.5
2021-06-13,1.1,0.9
2021-06-20,0.8,0.5
2021-06-27,0.6,0.3
2021-07-04,0.3,0.2
2021-07-11,0.4,0.2
2021-07-18,1.0,0.4
2021-07-25,1.5,0.5
2021-08-01,2.1,0.7
2021-08-08,3.0,0.9
2021-08-15,6.3,1.9
2021-08-22,9.3,2.7
2021-08-29,9.0,2.5
2021-09-05,7.7,2.1
2021-09-12,6.8,1.8
2021-09-19,6.3,1.6
2021-09-26,5.1,1.2
2021-10-03,3.9,0.9
2021-10-10,2.7,0.6
