date,voll. geimpft,nicht voll. geimpft
2021-01-31,0.0,0.7
2021-02-07,0.0,1.4
2021-02-14,2.9,1.3
2021-02-21,3.4,1.4
2021-02-28,2.3,1.2
2021-03-07,1.8,1.8
2021-03-14,1.2,1.7
2021-03-21,2.1,2.1
2021-03-28,1.1,2.8
2021-04-04,2.3,3.0
2021-04-11,2.1,2.9
2021-04-18,2.2,3.5
2021-04-25,1.6,3.4
2021-05-02,1.6,3.3
2021-05-09,1.3,2.5
2021-05-16,0.4,1.8
2021-05-23,0.6,2.2
2021-05-30,0.7,1.2
2021-06-06,0.4,1.1
2021-06-13,0.6,0.6
2021-06-20,0.2,0.4
2021-06-27,0.1,0.2
2021-07-04,0.1,0.1
2021-07-11,0.0,0.4
2021-07-18,0.2,1.0
2021-07-25,0.4,1.3
2021-08-01,0.3,2.0
2021-08-08,0.4,3.2
2021-08-15,0.8,7.4
2021-08-22,1.2,9.5
2021-08-29,1.0,8.8
2021-09-05,1.0,7.7
2021-09-12,1.0,6.4
2021-09-19,1.0,5.8
2021-09-26,0.8,4.4
2021-10-03,0.5,2.9
2021-10-10,0.7,2.8
2021-10-17,0.7,2.4
2021-10-24,1.0,2.0
