date,voll. geimpft,nicht voll. geimpft
2021-01-31,0.0,0.3
2021-02-07,0.0,0.6
2021-02-14,0.0,0.6
2021-02-21,0.0,0.5
2021-02-28,0.0,0.4
2021-03-07,2.7,0.9
2021-03-14,0.0,0.9
2021-03-21,0.9,1.3
2021-03-28,0.0,1.6
2021-04-04,0.0,1.8
2021-04-11,0.0,1.6
2021-04-18,1.6,2.0
2021-04-25,0.0,2.1
2021-05-02,0.4,2.1
2021-05-09,0.7,1.5
2021-05-16,0.6,1.2
2021-05-23,0.2,1.4
2021-05-30,0.2,0.8
2021-06-06,0.1,0.9
2021-06-13,0.7,0.4
2021-06-20,0.2,0.3
2021-06-27,0.0,0.1
2021-07-04,0.0,0.1
2021-07-11,0.0,0.3
2021-07-18,0.0,0.7
2021-07-25,0.1,0.8
2021-08-01,0.1,1.2
2021-08-08,0.0,2.4
2021-08-15,0.3,5.7
2021-08-22,0.5,7.6
2021-08-29,0.2,6.3
2021-09-05,0.2,5.4
2021-09-12,0.1,4.7
2021-09-19,0.4,4.1
2021-09-26,0.3,2.4
2021-10-03,0.1,1.8
2021-10-10,0.2,1.4
2021-10-17,0.1,1.4
2021-10-24,0.3,1.2
2021-10-31,0.1,2.0
2021-11-07,0.1,2.3
