date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,19.5,0.0
2021-02-07,16.0,0.0
2021-02-14,12.7,1.3
2021-02-21,14.5,0.0
2021-02-28,11.2,1.4
2021-03-07,12.2,0.4
2021-03-14,13.4,1.0
2021-03-21,14.5,0.3
2021-03-28,17.2,1.0
2021-04-04,19.2,1.5
2021-04-11,19.0,0.9
2021-04-18,17.9,1.2
2021-04-25,18.8,0.6
2021-05-02,18.8,0.5
2021-05-09,18.0,0.7
2021-05-16,11.4,0.3
2021-05-23,13.6,0.2
2021-05-30,8.8,0.6
2021-06-06,7.7,0.2
2021-06-13,5.9,0.2
2021-06-20,5.4,0.1
2021-06-27,4.5,0.1
2021-07-04,2.2,0.0
2021-07-11,2.3,0.0
2021-07-18,5.4,0.2
2021-07-25,7.0,0.6
2021-08-01,11.1,0.5
2021-08-08,14.4,0.3
2021-08-15,24.9,0.8
2021-08-22,41.2,0.9
2021-08-29,49.3,1.0
2021-09-05,43.8,1.0
2021-09-12,38.9,1.2
2021-09-19,37.7,1.2
2021-09-26,35.7,1.3
