date,geboostert,vollst. geimpft,nicht voll. geimpft
2021-04-11,0.0,2.8,7.8
2021-04-18,0.0,2.3,9.7
2021-04-25,0.0,2.1,8.8
2021-05-02,0.0,2.0,8.9
2021-05-09,0.0,1.5,7.3
2021-05-16,0.0,0.4,4.9
2021-05-23,0.0,0.7,6.8
2021-05-30,0.0,1.0,4.0
2021-06-06,0.0,0.5,2.8
2021-06-13,0.0,0.5,2.1
2021-06-20,0.0,0.3,1.8
2021-06-27,0.0,0.2,1.1
2021-07-04,0.0,0.2,0.0
2021-07-11,0.0,0.0,1.8
2021-07-18,0.0,0.4,3.9
2021-07-25,0.0,0.8,5.0
2021-08-01,0.0,0.6,9.1
2021-08-08,0.0,0.9,10.3
2021-08-15,0.0,1.6,22.5
2021-08-22,0.0,2.4,28.4
2021-08-29,0.0,2.4,33.3
2021-09-05,0.0,2.5,30.8
2021-09-12,0.0,2.6,23.1
2021-09-19,0.0,2.5,24.6
2021-09-26,0.0,2.0,26.0
2021-10-03,0.0,1.9,16.9
2021-10-10,0.0,2.5,17.9
2021-10-17,0.0,2.4,16.9
2021-10-24,0.0,3.3,17.0
2021-10-31,0.0,3.8,27.2
2021-11-07,0.0,5.2,32.1
2021-11-14,0.0,6.8,43.2
2021-11-21,0.0,10.4,72.9
2021-11-28,0.0,12.7,88.4
2021-12-05,7.8,16.6,103.5
2021-12-12,6.9,19.5,101.8
2021-12-19,5.7,14.9,116.7
2021-12-26,6.8,18.3,101.3
2022-01-02,7.2,17.0,100.1
2022-01-09,6.3,19.4,89.0
2022-01-16,3.3,15.7,67.7
