date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.1
2021-08-08,,0.9,10.5
2021-08-15,,1.6,22.5
2021-08-22,,2.4,28.1
2021-08-29,,2.4,33.2
2021-09-05,,2.5,31.2
2021-09-12,,2.6,23.1
2021-09-19,,2.5,24.6
2021-09-26,,2.0,25.9
2021-10-03,,1.8,17.1
2021-10-10,,2.5,17.9
2021-10-17,,2.5,17.2
2021-10-24,,3.4,17.0
2021-10-31,,3.8,27.5
2021-11-07,,5.2,32.1
2021-11-14,,6.9,43.5
2021-11-21,,10.4,73.1
2021-11-28,,12.9,89.4
2021-12-05,7.9,17.0,104.9
2021-12-12,7.0,20.4,104.7
2021-12-19,5.8,15.6,120.1
2021-12-26,7.4,19.9,106.4
2022-01-02,7.9,18.4,103.6
2022-01-09,7.6,26.1,100.8
2022-01-16,7.4,26.0,86.1
2022-01-23,7.8,30.9,82.4
2022-01-30,10.5,31.4,89.4
2022-02-06,10.2,36.1,90.0
2022-02-13,10.1,27.2,84.9
2022-02-20,10.6,25.2,69.1
2022-02-27,10.8,18.1,55.8
2022-03-06,14.0,27.6,76.4
2022-03-13,18.2,31.0,79.2
2022-03-20,18.8,30.6,91.0
2022-03-27,18.1,27.1,67.9
2022-04-03,16.0,20.2,56.5
2022-04-10,10.5,18.0,42.1
2022-04-17,8.3,14.2,28.9
2022-04-24,7.5,9.5,23.7
2022-05-01,5.5,3.0,15.4
2022-05-08,4.5,4.2,11.0
2022-05-15,4.0,5.1,11.0
2022-05-22,3.3,4.2,7.9
2022-05-29,2.5,5.1,6.1
2022-06-05,3.9,5.1,7.5
2022-06-12,5.5,5.4,8.8
2022-06-19,8.2,10.6,15.4
2022-06-26,8.5,10.9,15.8
2022-07-03,11.3,11.0,26.8
2022-07-10,12.1,12.6,21.5
2022-07-17,10.1,13.6,23.7
2022-07-24,8.9,8.7,18.5
2022-07-31,7.2,4.1,15.4
2022-08-07,3.2,4.1,10.6
