Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^26.01.2021^,46.71,"Moderna, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^26.01.2021^,27.07,"Pfizer/BioNTech, Sinopharm"
:sc: Seychellen ^25.01.2021^,20.22,Sinopharm
:gb: Vereinigtes Königreich ^25.01.2021^,10.79,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^20.01.2021^,8.47,"Pfizer/BioNTech, Sinopharm"
:us: Vereinigte Staaten ^26.01.2021^,7.11,"Moderna, Pfizer/BioNTech"
:mt: Malta ^25.01.2021^,4.8,Pfizer/BioNTech
:rs: Serbien ^26.01.2021^,4.56,"Pfizer/BioNTech, Sinopharm, Sputnik V"
:is: Island ^25.01.2021^,4.46,"Moderna, Pfizer/BioNTech"
:dk: Dänemark ^25.01.2021^,3.69,"Moderna, Pfizer/BioNTech"
:ie: Irland ^24.01.2021^,2.9,Pfizer/BioNTech
:si: Slowenien ^25.01.2021^,2.77,Pfizer/BioNTech
:es: Spanien ^26.01.2021^,2.76,"Moderna, Pfizer/BioNTech"
:ro: Rumänien ^26.01.2021^,2.75,Pfizer/BioNTech
:pt: Portugal ^26.01.2021^,2.58,Pfizer/BioNTech
:lt: Litauen ^25.01.2021^,2.48,"Moderna, Pfizer/BioNTech"
:it: Italien ^26.01.2021^,2.47,Pfizer/BioNTech
:de: Deutschland ^25.01.2021^,2.29,"Moderna, Pfizer/BioNTech"
:ch: Schweiz ^24.01.2021^,2.28,Pfizer/BioNTech
:ca: Kanada ^25.01.2021^,2.23,"Moderna, Pfizer/BioNTech"
:fi: Finnland ^26.01.2021^,2.11,Pfizer/BioNTech
:at: Österreich ^26.01.2021^,2.06,Pfizer/BioNTech
:pl: Polen ^25.01.2021^,2.05,Pfizer/BioNTech
:ee: Estland ^26.01.2021^,2.05,Pfizer/BioNTech
:cy: Zypern ^22.01.2021^,1.98,Pfizer/BioNTech
:cz: Tschechien ^25.01.2021^,1.93,"Moderna, Pfizer/BioNTech"
:se: Schweden ^25.01.2021^,1.91,Pfizer/BioNTech
:gr: Griechenland ^26.01.2021^,1.88,Pfizer/BioNTech
:sk: Slowakei ^25.01.2021^,1.88,Pfizer/BioNTech
:be: Belgien ^25.01.2021^,1.84,Pfizer/BioNTech
:hr: Kroatien ^25.01.2021^,1.7,Pfizer/BioNTech
:hu: Ungarn ^25.01.2021^,1.68,Pfizer/BioNTech
:tr: Türkei ^26.01.2021^,1.67,Sinovac
:fr: Frankreich ^25.01.2021^,1.61,Pfizer/BioNTech
:no: Norwegen ^25.01.2021^,1.48,Pfizer/BioNTech
:lu: Luxemburg ^25.01.2021^,1.37,Pfizer/BioNTech
:lv: Lettland ^25.01.2021^,1.04,Pfizer/BioNTech
:cn: Volksrepublik China ^20.01.2021^,1.04,"CNBG, Sinovac"
:sg: Singapur ^22.01.2021^,1.03,Pfizer/BioNTech
:nl: Niederlande ^26.01.2021^,1.01,"Moderna, Pfizer/BioNTech"
:cr: Costa Rica ^25.01.2021^,0.94,Pfizer/BioNTech
:sa: Saudi-Arabien ^17.01.2021^,0.85,Pfizer/BioNTech
:ru: Russland ^13.01.2021^,0.69,Sputnik V
:ar: Argentinien ^26.01.2021^,0.68,Sputnik V
:om: Oman ^25.01.2021^,0.68,Pfizer/BioNTech
:mx: Mexiko ^25.01.2021^,0.5,Pfizer/BioNTech
:br: Brasilien ^26.01.2021^,0.4,Sinovac
:bg: Bulgarien ^25.01.2021^,0.39,"Moderna, Pfizer/BioNTech"
:cl: Chile ^25.01.2021^,0.34,Pfizer/BioNTech
:pa: Panama ^24.01.2021^,0.15,Pfizer/BioNTech
:in: Indien ^25.01.2021^,0.15,"Covaxin, Covishield"
:id: Indonesien ^26.01.2021^,0.09,Sinovac
:kw: Kuwait ^28.12.2020^,0.06,Pfizer/BioNTech
:ec: Ecuador ^22.01.2021^,0.0,Pfizer/BioNTech
