,geoRegion,altersklasse_covid19,per100PersonsTotal
183,AG,70 - 79,84.74
390,AI,70 - 79,81.46
597,AR,70 - 79,78.32
804,BE,70 - 79,80.85
1011,BL,70 - 79,83.49
1218,BS,70 - 79,81.45
1632,FR,70 - 79,80.12
1839,GE,70 - 79,82.72
2046,GL,70 - 79,80.44
2253,GR,70 - 79,83.43
2460,JU,70 - 79,76.12
2667,LU,70 - 79,81.05
2874,NE,70 - 79,79.31
3081,NW,70 - 79,86.31
3288,SG,70 - 79,82.39
3495,SH,70 - 79,87.48
3702,SO,70 - 79,84.31
3909,SZ,70 - 79,76.3
4116,TG,70 - 79,80.63
4323,TI,70 - 79,84.56
4530,UR,70 - 79,79.23
4737,VD,70 - 79,80.92
4944,ZG,70 - 79,83.8
5151,ZH,70 - 79,75.44
5380,CH,70 - 79,80.89
