,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2023-03-22,6.3,-14.6,2022-03-07,14.6
1,Buholz (Real),2023-03-28,51.0,28.6,2022-02-26,28.6
2,Rontal,,,,2022-07-01,
3,Altdorf,2023-03-28,57.1,36.9,2022-03-02,36.9
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,2023-03-28,11.2,-10.9,2022-07-11,10.9
9,Alpnach (Sarneraatal),2023-03-28,26.2,0.5,2022-02-10,0.5
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),2023-03-28,36.4,11.8,2022-07-10,11.8
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-03-29,27.7,-11.8,2022-04-07,11.8
14,Cham (Schoenau),2023-03-28,57.1,32.1,2022-07-13,32.1
15,Illnau-Effretikon,2023-03-30,56.3,-11.0,2022-03-17,11.0
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2023-03-29,16.0,7.3,2022-02-10,7.3
21,Winterthur,2023-03-26,63.6,9.6,2022-07-15,9.6
22,Dietikon (Limeco),2023-03-30,57.2,11.2,2022-07-11,11.2
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-03-29,14.5,-4.7,2022-03-07,4.7
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-03-31,32.3,1.9,2022-03-16,1.9
27,Basel,2023-03-27,27.3,15.7,2022-03-24,15.7
28,Birs,2023-03-25,19.1,-79.2,2023-03-14,79.2
29,Birsig,,,,2022-12-06,
30,Zwingen (Laufental-L-Tal),,,,2022-12-09,
31,Ergolz 2,,,,2022-11-18,
32,Pratteln/Rhein,,,,2022-12-23,
33,Ergolz 1,,,,2022-11-13,
34,Neuhausen A/Rhf. (Roeti),2023-03-29,10.6,-70.6,2022-12-24,70.6
35,Ramsen (Bibertal-Hegau),2023-03-29,14.4,,2022-12-24,
36,Hallau (Klettgau),,,,2022-12-26,
37,Andelfingen,,,,2022-11-14,
