BFS-Nummer;Ort;Wappen
4001;Aarau;http://i.imgur.com/JWqWyRS.png
4002;Biberstein;http://i.imgur.com/Kt8HIfM.png
4003;Buchs;http://i.imgur.com/qmCDQpo.png
4004;Densbüren;http://i.imgur.com/0PxOfpX.png
4005;Erlinsbach;http://i.imgur.com/Ih3L9IJ.png
4006;Gränichen;http://i.imgur.com/CIdzMjH.png
4007;Hirschthal;http://i.imgur.com/EukYYJT.png
4008;Küttigen;http://i.imgur.com/p524AOA.png
4009;Muhen;http://i.imgur.com/bL0cP46.png
4010;Oberentfelden;http://i.imgur.com/eNr44Vb.png
4012;Suhr;http://i.imgur.com/lcfdzfA.png
4013;Unterentfelden;http://i.imgur.com/YH3LS4D.png
4021;Baden;http://i.imgur.com/in3AmXY.png
4022;Bellikon;http://i.imgur.com/EVrqPHP.png
4023;Bergdietikon;http://i.imgur.com/zqGmpsA.png
4024;Birmenstorf;http://i.imgur.com/z7XUl5Q.png
4026;Ennetbaden;http://i.imgur.com/wJOjCmh.png
4027;Fislisbach;http://i.imgur.com/Nlv59so.png
4028;Freienwil;http://i.imgur.com/nTfgkCY.png
4029;Gebenstorf;http://i.imgur.com/RxpsOVw.png
4030;Killwangen;http://i.imgur.com/1mK0CwS.png
4031;Künten;http://i.imgur.com/5mVDyI2.png
4032;Mägenwil;http://i.imgur.com/i6P6JMV.png
4033;Mellingen;http://i.imgur.com/ygzUtMm.png
4034;Neuenhof;http://i.imgur.com/yrqjhgc.png
4035;Niederrohrdorf;http://i.imgur.com/FIcVun6.png
4037;Oberrohrdorf;http://i.imgur.com/9yN4UPe.png
4038;Obersiggenthal;http://i.imgur.com/uJJH5dZ.png
4039;Remetschwil;http://i.imgur.com/3bWmPXL.png
4040;Spreitenbach;http://i.imgur.com/rTrCwxh.png
4041;Stetten;http://i.imgur.com/Qeadgb2.png
4042;Turgi;http://i.imgur.com/PzCWLUz.png
4044;Untersiggenthal;http://i.imgur.com/jBMixKU.png
4045;Wettingen;http://i.imgur.com/bZt880G.png
4046;Wohlenschwil;http://i.imgur.com/o0QVJBn.png
4047;Würenlingen;http://i.imgur.com/MCG8Kel.png
4048;Würenlos;http://i.imgur.com/BeciNc5.png
4049;Ehrendingen;http://i.imgur.com/fiW4ip1.png
4061;Arni;http://i.imgur.com/C3WOB3q.png
4062;Berikon;http://i.imgur.com/3Xs5j19.png
4063;Bremgarten;http://i.imgur.com/BG0afll.png
4064;Büttikon;http://i.imgur.com/ogYGHIu.png
4065;Dottikon;http://i.imgur.com/0mUHtpT.png
4066;Eggenwil;http://i.imgur.com/yYenINV.png
4067;Fischbach-Göslikon;http://i.imgur.com/mWTvWia.png
4068;Hägglingen;http://i.imgur.com/yrhxWfN.png
4071;Jonen;http://i.imgur.com/ECk8cce.png
4072;Niederwil;http://i.imgur.com/W6rKm9n.png
4073;Oberlunkhofen;http://i.imgur.com/KcFNdhq.png
4074;Oberwil-Lieli;http://i.imgur.com/WgLIb5X.png
4075;Rudolfstetten-Friedlisberg;http://i.imgur.com/0ovp26K.png
4076;Sarmenstorf;http://i.imgur.com/sZSmep6.png
4077;Tägerig;http://i.imgur.com/zvpZnBf.png
4078;Uezwil;http://i.imgur.com/guL4ZZO.png
4079;Unterlunkhofen;http://i.imgur.com/0P2K5gE.png
4080;Villmergen;http://i.imgur.com/A2GyHF4.png
4081;Widen;http://i.imgur.com/vcitIcK.png
4082;Wohlen;http://i.imgur.com/toO1BXR.png
4083;Zufikon;http://i.imgur.com/LxfskzN.png
4084;Islisberg;http://i.imgur.com/xKYZkne.png
4091;Auenstein;http://i.imgur.com/uT769MY.png
4092;Birr;http://i.imgur.com/8lubMLf.png
4093;Birrhard;http://i.imgur.com/vJnLuxW.png
4095;Brugg;http://i.imgur.com/V9u6Gti.png
4099;Habsburg;http://i.imgur.com/gdx3lLc.png
4100;Hausen;http://i.imgur.com/xX4VwmR.png
4104;Lupfig;http://i.imgur.com/GsvlHnm.png
