Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.0,0
2020-02-29,0,0.0,0
2020-03-01,0,0.14,0
2020-03-02,0,0.14,0
2020-03-03,0,0.14,0
2020-03-04,1,0.14,0
2020-03-05,0,0.29,0
2020-03-06,0,0.43,0
2020-03-07,0,0.43,0
2020-03-08,1,0.57,0
2020-03-09,1,0.57,0
2020-03-10,0,0.71,0
2020-03-11,2,1.14,0
2020-03-12,0,1.14,0
2020-03-13,1,1.71,0
2020-03-14,3,2.0,0
2020-03-15,1,2.29,0
2020-03-16,5,3.29,0
2020-03-17,2,3.43,0
2020-03-18,4,3.14,0
2020-03-19,7,3.0,0
2020-03-20,2,2.71,0
2020-03-21,1,2.86,0
2020-03-22,0,2.71,0
2020-03-23,3,2.14,0
2020-03-24,3,2.14,0
2020-03-25,3,2.57,0
2020-03-26,3,2.86,0
2020-03-27,2,3.0,0
2020-03-28,4,3.29,0
2020-03-29,2,3.14,0
2020-03-30,4,3.0,0
2020-03-31,5,2.86,0
2020-04-01,2,2.43,0
2020-04-02,2,2.29,0
2020-04-03,1,2.0,0
2020-04-04,1,1.71,0
2020-04-05,1,1.71,0
2020-04-06,2,1.57,0
2020-04-07,3,1.43,0
2020-04-08,2,1.29,0
2020-04-09,1,1.14,0
2020-04-10,0,0.86,0
2020-04-11,0,0.43,0
2020-04-12,0,0.29,0
2020-04-13,0,0.14,0
2020-04-14,0,0.43,0
2020-04-15,1,0.57,0
2020-04-16,0,0.57,0
2020-04-17,2,0.86,0
2020-04-18,1,1.14,0
2020-04-19,0,1.14,0
2020-04-20,2,1.29,0
2020-04-21,2,1.29,0
2020-04-22,1,1.14,0
2020-04-23,1,1.14,0
2020-04-24,2,0.86,0
2020-04-25,0,0.57,0
2020-04-26,0,0.57,0
2020-04-27,0,0.57,0
2020-04-28,0,0.29,0
2020-04-29,1,0.29,0
2020-04-30,1,0.29,0
2020-05-01,0,0.29,0
2020-05-02,0,0.29,0
2020-05-03,0,0.14,0
2020-05-04,0,0.0,0
2020-05-05,0,0.14,0
2020-05-06,0,0.14,0
2020-05-07,0,0.14,0
2020-05-08,1,0.14,0
2020-05-09,0,0.14,0
2020-05-10,0,0.29,0
2020-05-11,0,0.29,0
2020-05-12,0,0.14,0
2020-05-13,1,0.14,0
2020-05-14,0,0.14,0
2020-05-15,0,0.14,0
2020-05-16,0,0.14,0
2020-05-17,0,0.0,0
2020-05-18,0,0.0,0
2020-05-19,0,0.0,0
2020-05-20,0,0.0,0
2020-05-21,0,0.0,0
2020-05-22,0,0.0,0
2020-05-23,0,0.0,0
2020-05-24,0,0.0,0
2020-05-25,0,0.0,0
2020-05-26,0,0.0,0
2020-05-27,0,0.0,0
2020-05-28,0,0.0,0
