datum,entries
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,4
2020-03-10,2
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,2
2020-03-15,0
2020-03-16,15
2020-03-17,2
2020-03-18,4
2020-03-19,2
2020-03-20,5
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,3
2020-03-25,6
2020-03-26,4
2020-03-27,13
2020-03-28,2
2020-03-29,0
2020-03-30,5
2020-03-31,3
2020-04-01,2
2020-04-02,3
2020-04-03,3
2020-04-04,2
2020-04-05,0
2020-04-06,6
2020-04-07,2
2020-04-08,3
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,0
2020-04-14,0
2020-04-15,2
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,1
2020-04-24,1
2020-04-25,0
2020-04-26,1
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,1
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,1
2020-05-09,2
2020-05-10,1
2020-05-11,0
2020-05-12,3
2020-05-13,0
2020-05-14,0
2020-05-15,1
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,1
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,1
2020-07-08,0
2020-07-09,1
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,1
2020-07-15,0
2020-07-16,0
2020-07-17,1
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,1
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,1
2020-08-05,0
2020-08-06,0
2020-08-07,1
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,2
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,1
2020-09-01,0
2020-09-02,3
2020-09-03,0
2020-09-04,0
2020-09-05,1
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,1
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,1
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,1
2020-09-23,1
2020-09-24,0
2020-09-25,1
2020-09-26,1
2020-09-27,0
2020-09-28,1
2020-09-29,1
2020-09-30,2
2020-10-01,4
2020-10-02,4
2020-10-03,3
2020-10-04,2
2020-10-05,4
2020-10-06,8
2020-10-07,12
2020-10-08,6
2020-10-09,6
2020-10-10,4
2020-10-11,4
2020-10-12,18
2020-10-13,5
2020-10-14,9
2020-10-15,6
2020-10-16,12
2020-10-17,2
2020-10-18,5
2020-10-19,14
2020-10-20,13
2020-10-21,14
2020-10-22,20
2020-10-23,16
2020-10-24,10
2020-10-25,7
2020-10-26,27
2020-10-27,12
2020-10-28,19
2020-10-29,20
2020-10-30,26
2020-10-31,28
2020-11-01,8
2020-11-02,19
2020-11-03,30
2020-11-04,42
2020-11-05,26
2020-11-06,28
2020-11-07,15
2020-11-08,4
2020-11-09,21
2020-11-10,14
2020-11-11,13
2020-11-12,19
2020-11-13,16
2020-11-14,12
2020-11-15,15
2020-11-16,10
2020-11-17,10
2020-11-18,10
2020-11-19,14
2020-11-20,17
2020-11-21,7
2020-11-22,6
2020-11-23,5
2020-11-24,16
2020-11-25,18
2020-11-26,6
2020-11-27,12
2020-11-28,6
2020-11-29,6
2020-11-30,12
2020-12-01,9
2020-12-02,19
2020-12-03,21
2020-12-04,23
2020-12-05,15
2020-12-06,15
2020-12-07,14
2020-12-08,14
2020-12-09,20
2020-12-10,19
2020-12-11,14
2020-12-12,12
2020-12-13,15
2020-12-14,29
2020-12-15,23
2020-12-16,24
2020-12-17,16
2020-12-18,14
2020-12-19,10
2020-12-20,3
2020-12-21,24
2020-12-22,16
2020-12-23,19
2020-12-24,11
2020-12-25,4
2020-12-26,14
2020-12-27,10
2020-12-28,32
2020-12-29,24
2020-12-30,24
2020-12-31,18
2021-01-01,2
2021-01-02,12
2021-01-03,12
2021-01-04,0
