Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.0,0
2020-02-29,0,0.0,0
2020-03-01,0,0.0,0
2020-03-02,0,0.14,0
2020-03-03,0,0.14,0
2020-03-04,0,0.14,0
2020-03-05,1,0.14,0
2020-03-06,0,0.43,0
2020-03-07,0,1.0,0
2020-03-08,0,1.14,0
2020-03-09,2,1.43,0
2020-03-10,4,1.43,0
2020-03-11,1,1.86,0
2020-03-12,3,2.57,0
2020-03-13,0,4.86,0
2020-03-14,3,5.14,0
2020-03-15,5,6.57,0
2020-03-16,18,7.43,0
2020-03-17,6,10.0,0
2020-03-18,11,10.57,0
2020-03-19,9,11.43,0
2020-03-20,18,11.29,0
2020-03-21,7,13.43,0
2020-03-22,11,13.86,0
2020-03-23,17,14.86,0
2020-03-24,21,15.14,0
2020-03-25,14,14.57,0
2020-03-26,16,13.71,0
2020-03-27,20,13.86,0
2020-03-28,3,12.29,0
2020-03-29,5,11.43,0
2020-03-30,18,11.0,0
2020-03-31,10,9.29,0
2020-04-01,8,9.43,0
2020-04-02,13,9.0,0
2020-04-03,8,8.86,0
2020-04-04,4,8.29,0
2020-04-05,2,8.43,0
2020-04-06,17,8.14,0
2020-04-07,6,7.71,0
2020-04-08,9,8.14,0
2020-04-09,11,8.29,0
2020-04-10,5,6.14,0
2020-04-11,7,7.0,0
2020-04-12,3,6.57,0
2020-04-13,2,5.71,0
2020-04-14,12,5.43,0
2020-04-15,6,4.43,0
2020-04-16,5,4.14,0
2020-04-17,3,5.14,0
2020-04-18,0,3.71,0
2020-04-19,1,3.71,0
2020-04-20,9,3.0,0
2020-04-21,2,3.0,0
2020-04-22,6,3.29,0
2020-04-23,0,3.14,0
2020-04-24,3,2.14,0
2020-04-25,2,2.29,0
2020-04-26,0,1.71,0
2020-04-27,2,2.0,0
2020-04-28,3,2.57,0
2020-04-29,2,2.57,0
2020-04-30,2,2.57,0
2020-05-01,7,2.43,0
2020-05-02,2,2.57,0
2020-05-03,0,2.43,0
2020-05-04,1,3.0,0
2020-05-05,4,2.71,0
2020-05-06,1,2.71,0
2020-05-07,6,2.86,0
2020-05-08,5,3.0,0
2020-05-09,2,2.71,0
2020-05-10,1,2.71,0
2020-05-11,2,1.86,0
2020-05-12,2,1.57,0
2020-05-13,1,1.43,0
2020-05-14,0,1.57,0
2020-05-15,3,1.43,0
2020-05-16,1,1.29,0
2020-05-17,2,1.14,0
2020-05-18,1,1.14,0
2020-05-19,1,0.71,0
2020-05-20,0,0.57,0
2020-05-21,0,0.29,0
2020-05-22,0,0.14,0
2020-05-23,0,0.14,0
2020-05-24,0,0.14,0
2020-05-25,0,0.57,0
2020-05-26,1,0.57,0
2020-05-27,0,0.57,0
2020-05-28,3,0.57,0
