datum,entries
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,2
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,7
2020-03-14,1
2020-03-15,2
2020-03-16,10
2020-03-17,10
2020-03-18,8
2020-03-19,5
2020-03-20,19
2020-03-21,5
2020-03-22,4
2020-03-23,10
2020-03-24,14
2020-03-25,7
2020-03-26,9
2020-03-27,17
2020-03-28,5
2020-03-29,3
2020-03-30,19
2020-03-31,12
2020-04-01,14
2020-04-02,14
2020-04-03,8
2020-04-04,6
2020-04-05,4
2020-04-06,20
2020-04-07,16
2020-04-08,7
2020-04-09,12
2020-04-10,6
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,6
2020-04-15,8
2020-04-16,7
2020-04-17,4
2020-04-18,5
2020-04-19,1
2020-04-20,15
2020-04-21,2
2020-04-22,2
2020-04-23,1
2020-04-24,0
2020-04-25,1
2020-04-26,0
2020-04-27,1
2020-04-28,2
2020-04-29,2
2020-04-30,1
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,1
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,1
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,1
2020-05-13,0
2020-05-14,0
2020-05-15,1
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,1
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,1
2020-05-28,0
2020-05-29,2
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,1
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,1
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,3
2020-06-23,2
2020-06-24,1
2020-06-25,2
2020-06-26,1
2020-06-27,0
2020-06-28,0
2020-06-29,5
2020-06-30,1
2020-07-01,1
2020-07-02,0
2020-07-03,1
2020-07-04,1
2020-07-05,0
2020-07-06,2
2020-07-07,3
2020-07-08,1
2020-07-09,0
2020-07-10,1
2020-07-11,1
2020-07-12,0
2020-07-13,4
2020-07-14,3
2020-07-15,6
2020-07-16,3
2020-07-17,2
2020-07-18,3
2020-07-19,1
2020-07-20,4
2020-07-21,4
2020-07-22,1
2020-07-23,4
2020-07-24,1
2020-07-25,2
2020-07-26,2
2020-07-27,3
2020-07-28,1
2020-07-29,4
2020-07-30,3
2020-07-31,2
2020-08-01,2
2020-08-02,0
2020-08-03,3
2020-08-04,2
2020-08-05,2
2020-08-06,3
2020-08-07,6
2020-08-08,6
2020-08-09,3
2020-08-10,9
2020-08-11,2
2020-08-12,10
2020-08-13,5
2020-08-14,2
2020-08-15,0
2020-08-16,4
2020-08-17,10
2020-08-18,6
2020-08-19,3
2020-08-20,4
2020-08-21,2
2020-08-22,0
2020-08-23,2
2020-08-24,3
2020-08-25,4
2020-08-26,2
2020-08-27,7
2020-08-28,3
2020-08-29,1
2020-08-30,1
2020-08-31,2
2020-09-01,1
2020-09-02,4
2020-09-03,2
2020-09-04,4
2020-09-05,0
2020-09-06,0
2020-09-07,7
2020-09-08,9
2020-09-09,4
2020-09-10,14
2020-09-11,10
2020-09-12,5
2020-09-13,2
2020-09-14,8
2020-09-15,13
2020-09-16,11
2020-09-17,3
2020-09-18,8
2020-09-19,1
2020-09-20,0
2020-09-21,4
2020-09-22,3
2020-09-23,5
2020-09-24,4
2020-09-25,2
2020-09-26,6
2020-09-27,2
2020-09-28,4
2020-09-29,11
2020-09-30,5
2020-10-01,11
2020-10-02,18
2020-10-03,8
2020-10-04,3
2020-10-05,25
2020-10-06,21
2020-10-07,33
2020-10-08,28
2020-10-09,17
2020-10-10,18
2020-10-11,6
2020-10-12,47
2020-10-13,58
2020-10-14,66
2020-10-15,48
2020-10-16,90
2020-10-17,51
2020-10-18,10
2020-10-19,162
2020-10-20,124
2020-10-21,158
2020-10-22,126
2020-10-23,162
2020-10-24,62
2020-10-25,40
2020-10-26,265
2020-10-27,198
2020-10-28,193
2020-10-29,149
2020-10-30,190
2020-10-31,90
2020-11-01,41
2020-11-02,241
2020-11-03,203
2020-11-04,168
2020-11-05,170
2020-11-06,150
2020-11-07,65
2020-11-08,29
2020-11-09,216
2020-11-10,151
2020-11-11,137
2020-11-12,105
2020-11-13,117
2020-11-14,55
2020-11-15,36
2020-11-16,187
2020-11-17,128
2020-11-18,132
2020-11-19,124
2020-11-20,111
2020-11-21,57
2020-11-22,46
2020-11-23,188
2020-11-24,157
2020-11-25,121
2020-11-26,128
2020-11-27,140
2020-11-28,68
2020-11-29,27
2020-11-30,211
2020-12-01,155
2020-12-02,158
2020-12-03,171
2020-12-04,182
2020-12-05,73
2020-12-06,49
2020-12-07,289
2020-12-08,226
2020-12-09,207
2020-12-10,162
2020-12-11,189
2020-12-12,98
2020-12-13,58
2020-12-14,296
2020-12-15,239
2020-12-16,212
2020-12-17,182
2020-12-18,221
2020-12-19,79
2020-12-20,69
2020-12-21,244
2020-12-22,217
2020-12-23,193
2020-12-24,78
2020-12-25,38
2020-12-26,64
2020-12-27,66
2020-12-28,247
2020-12-29,157
2020-12-30,119
2020-12-31,82
2021-01-01,35
2021-01-02,70
2021-01-03,31
2021-01-04,0
