Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.0,0
2020-02-29,0,0.0,0
2020-03-01,0,0.0,0
2020-03-02,0,0.0,0
2020-03-03,0,0.0,0
2020-03-04,0,0.0,0
2020-03-05,0,0.0,0
2020-03-06,0,0.0,0
2020-03-07,0,0.0,0
2020-03-08,0,0.0,0
2020-03-09,0,0.0,0
2020-03-10,0,0.0,0
2020-03-11,0,0.0,0
2020-03-12,0,0.0,0
2020-03-13,0,0.14,0
2020-03-14,0,0.57,0
2020-03-15,0,0.71,0
2020-03-16,1,0.71,0
2020-03-17,3,1.43,0
2020-03-18,1,1.71,0
2020-03-19,0,2.71,0
2020-03-20,5,3.57,0
2020-03-21,2,4.0,0
2020-03-22,7,4.29,0
2020-03-23,7,5.0,0
2020-03-24,6,5.14,0
2020-03-25,3,5.29,0
2020-03-26,5,4.57,0
2020-03-27,6,4.14,0
2020-03-28,3,3.57,0
2020-03-29,2,3.57,0
2020-03-30,4,3.29,0
2020-03-31,2,2.71,0
2020-04-01,3,2.29,0
2020-04-02,3,2.0,0
2020-04-03,2,1.86,0
2020-04-04,0,1.57,0
2020-04-05,0,1.43,0
2020-04-06,3,1.14,0
2020-04-07,0,0.86,0
2020-04-08,2,1.0,0
2020-04-09,1,1.14,0
2020-04-10,0,0.71,0
2020-04-11,1,0.71,0
2020-04-12,1,0.57,0
2020-04-13,0,0.43,0
2020-04-14,0,0.43,0
2020-04-15,1,0.29,0
2020-04-16,0,0.14,0
2020-04-17,0,0.14,0
2020-04-18,0,0.14,0
2020-04-19,0,0.0,0
2020-04-20,0,0.0,0
2020-04-21,0,0.29,0
2020-04-22,0,0.29,0
2020-04-23,0,0.86,0
2020-04-24,2,1.0,0
2020-04-25,0,1.0,0
2020-04-26,4,1.14,0
2020-04-27,1,1.29,0
2020-04-28,0,1.43,0
2020-04-29,1,1.43,0
2020-04-30,1,1.0,0
2020-05-01,3,0.86,0
2020-05-02,0,1.0,0
2020-05-03,1,1.0,0
2020-05-04,0,0.86,0
2020-05-05,1,0.43,0
2020-05-06,1,0.43,0
2020-05-07,0,0.29,0
2020-05-08,0,0.29,0
2020-05-09,0,0.14,0
2020-05-10,0,0.0,0
2020-05-11,0,0.14,0
2020-05-12,0,0.14,0
2020-05-13,0,0.14,0
2020-05-14,1,0.14,0
2020-05-15,0,0.14,0
2020-05-16,0,0.29,0
2020-05-17,0,0.29,0
2020-05-18,0,0.14,0
2020-05-19,1,0.14,0
2020-05-20,0,0.14,0
2020-05-21,0,0.14,0
2020-05-22,0,0.14,0
2020-05-23,0,0.0,0
2020-05-24,0,0.0,0
2020-05-25,0,0.0,0
2020-05-26,0,0.0,0
2020-05-27,0,0.0,0
2020-05-28,0,0.0,0
