endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,14.0,5.0,24.0
2020-01-12,10.0,5.0,24.0
2020-01-19,12.0,5.0,24.0
2020-01-26,14.0,5.0,24.0
2020-02-02,9.0,5.0,24.0
2020-02-09,12.0,5.0,24.0
2020-02-16,13.0,4.0,24.0
2020-02-23,14.0,4.0,24.0
2020-03-01,17.0,4.0,24.0
2020-03-08,7.0,4.0,24.0
2020-03-15,13.0,4.0,24.0
2020-03-22,15.0,4.0,23.0
2020-03-29,16.0,4.0,23.0
2020-04-05,11.0,4.0,23.0
2020-04-12,14.0,4.0,23.0
2020-04-19,16.0,4.0,23.0
2020-04-26,11.0,4.0,23.0
2020-05-03,4.0,4.0,23.0
2020-05-10,17.0,4.0,23.0
2020-05-17,20.0,4.0,23.0
2020-05-24,11.0,4.0,23.0
2020-05-31,6.0,4.0,23.0
2020-06-07,10.0,4.0,22.0
2020-06-14,11.0,4.0,22.0
2020-06-21,18.0,4.0,22.0
2020-06-28,14.0,4.0,22.0
2020-07-05,15.0,4.0,22.0
2020-07-12,15.0,4.0,22.0
2020-07-19,20.0,4.0,22.0
2020-07-26,17.0,4.0,22.0
2020-08-02,17.0,4.0,22.0
2020-08-09,20.0,4.0,22.0
2020-08-16,6.0,4.0,22.0
2020-08-23,10.0,4.0,22.0
2020-08-30,10.0,4.0,22.0
2020-09-06,11.0,4.0,22.0
2020-09-13,14.0,3.0,22.0
2020-09-20,13.0,3.0,22.0
2020-09-27,13.0,3.0,22.0
2020-10-04,8.0,3.0,22.0
2020-10-11,18.0,3.0,22.0
2020-10-18,8.0,3.0,22.0
2020-10-25,15.0,3.0,22.0
2020-11-01,9.0,3.0,22.0
2020-11-08,17.0,3.0,22.0
2020-11-15,5.0,3.0,21.0
2020-11-22,13.0,3.0,21.0
2020-11-29,17.0,3.0,21.0
2020-12-06,10.0,3.0,21.0
2020-12-13,22.0,3.0,21.0
2020-12-20,13.0,3.0,21.0
2020-12-27,7.0,3.0,21.0
2021-01-03,14.0,3.0,21.0
2021-01-10,24.0,5.0,24.0
2021-01-17,17.0,5.0,24.0
2021-01-24,13.0,5.0,24.0
2021-01-31,20.0,5.0,24.0
2021-02-07,13.0,5.0,24.0
2021-02-14,22.0,5.0,24.0
2021-02-21,11.0,4.0,24.0
2021-02-28,12.0,4.0,24.0
2021-03-07,15.0,4.0,24.0
2021-03-14,18.0,4.0,24.0
2021-03-21,16.0,4.0,24.0
2021-03-28,22.0,4.0,23.0
2021-04-04,18.0,4.0,23.0
2021-04-11,14.0,4.0,23.0
2021-04-18,17.0,4.0,23.0
2021-04-25,18.0,4.0,23.0
2021-05-02,9.0,4.0,23.0
2021-05-09,12.0,4.0,23.0
2021-05-16,13.0,4.0,23.0
2021-05-23,10.0,4.0,23.0
2021-05-30,14.0,4.0,23.0
2021-06-06,17.0,4.0,23.0
2021-06-13,9.0,4.0,22.0
2021-06-20,14.0,4.0,22.0
2021-06-27,6.0,4.0,22.0
2021-07-04,15.0,4.0,22.0
2021-07-11,15.0,4.0,22.0
2021-07-18,18.0,4.0,22.0
2021-07-25,14.0,4.0,22.0
2021-08-01,19.0,4.0,22.0
2021-08-08,15.0,4.0,22.0
2021-08-15,10.0,4.0,22.0
2021-08-22,15.0,4.0,22.0
2021-08-29,13.0,4.0,22.0
2021-09-05,14.0,4.0,22.0
2021-09-12,21.0,4.0,22.0
2021-09-19,20.0,3.0,22.0
2021-09-26,14.0,3.0,22.0
2021-10-03,8.0,3.0,22.0
2021-10-10,18.0,3.0,22.0
2021-10-17,10.0,3.0,22.0
2021-10-24,14.0,3.0,22.0
2021-10-31,13.0,3.0,22.0
2021-11-07,12.0,3.0,22.0
2021-11-14,10.0,3.0,22.0
2021-11-21,17.0,3.0,21.0
2021-11-28,16.0,3.0,21.0
2021-12-05,20.0,3.0,21.0
2021-12-12,22.0,3.0,21.0
2021-12-19,18.0,3.0,21.0
2021-12-26,11.0,3.0,21.0
2022-01-02,16.0,3.0,21.0
2022-01-09,10.0,7.0,27.0
2022-01-16,18.0,7.0,27.0
2022-01-23,10.0,6.0,27.0
2022-01-30,9.0,6.0,27.0
2022-02-06,13.0,6.0,27.0
2022-02-13,12.4,6.0,26.0
2022-02-20,15.2,6.0,26.0
2022-02-27,11.0,6.0,26.0
2022-03-06,12.5,6.0,26.0
2022-03-13,16.4,6.0,26.0
