endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,94.0,68.0,118.0
2020-01-12,83.0,68.0,118.0
2020-01-19,95.0,68.0,117.0
2020-01-26,83.0,68.0,117.0
2020-02-02,83.0,67.0,117.0
2020-02-09,104.0,67.0,117.0
2020-02-16,94.0,67.0,116.0
2020-02-23,97.0,66.0,116.0
2020-03-01,98.0,66.0,115.0
2020-03-08,78.0,65.0,113.0
2020-03-15,72.0,64.0,112.0
2020-03-22,93.0,62.0,110.0
2020-03-29,85.0,60.0,108.0
2020-04-05,94.0,59.0,106.0
2020-04-12,95.0,58.0,104.0
2020-04-19,87.0,56.0,102.0
2020-04-26,62.0,56.0,101.0
2020-05-03,97.0,55.0,100.0
2020-05-10,77.0,55.0,100.0
2020-05-17,76.0,54.0,99.0
2020-05-24,79.0,54.0,99.0
2020-05-31,59.0,54.0,99.0
2020-06-07,66.0,54.0,98.0
2020-06-14,73.0,53.0,98.0
2020-06-21,51.0,53.0,98.0
2020-06-28,80.0,53.0,98.0
2020-07-05,67.0,53.0,98.0
2020-07-12,71.0,53.0,98.0
2020-07-19,83.0,53.0,98.0
2020-07-26,75.0,53.0,98.0
2020-08-02,90.0,53.0,97.0
2020-08-09,81.0,53.0,97.0
2020-08-16,92.0,52.0,97.0
2020-08-23,90.0,52.0,97.0
2020-08-30,77.0,52.0,97.0
2020-09-06,58.0,52.0,97.0
2020-09-13,78.0,53.0,97.0
2020-09-20,83.0,53.0,98.0
2020-09-27,67.0,54.0,99.0
2020-10-04,87.0,55.0,100.0
2020-10-11,85.0,56.0,102.0
2020-10-18,82.0,57.0,103.0
2020-10-25,83.0,58.0,104.0
2020-11-01,99.0,58.0,105.0
2020-11-08,117.0,59.0,106.0
2020-11-15,106.0,59.0,106.0
2020-11-22,120.0,60.0,107.0
2020-11-29,132.0,60.0,108.0
2020-12-06,155.0,61.0,108.0
2020-12-13,137.0,61.0,109.0
2020-12-20,167.0,62.0,110.0
2020-12-27,178.0,63.0,110.0
2021-01-03,136.0,63.0,111.0
2021-01-10,131.0,68.0,118.0
2021-01-17,106.0,68.0,118.0
2021-01-24,117.0,68.0,117.0
2021-01-31,119.0,68.0,117.0
2021-02-07,88.0,67.0,117.0
2021-02-14,92.0,67.0,117.0
2021-02-21,81.0,67.0,116.0
2021-02-28,99.0,66.0,116.0
2021-03-07,86.0,66.0,115.0
2021-03-14,88.0,65.0,113.0
2021-03-21,83.0,64.0,112.0
2021-03-28,101.0,62.0,110.0
2021-04-04,82.0,60.0,108.0
2021-04-11,97.0,59.0,106.0
2021-04-18,66.0,58.0,104.0
2021-04-25,56.0,56.0,102.0
2021-05-02,77.0,56.0,101.0
2021-05-09,75.0,55.0,100.0
2021-05-16,89.0,55.0,100.0
2021-05-23,73.0,54.0,99.0
2021-05-30,69.0,54.0,99.0
2021-06-06,80.0,54.0,99.0
2021-06-13,61.0,54.0,98.0
2021-06-20,80.0,53.0,98.0
2021-06-27,75.0,53.0,98.0
2021-07-04,76.0,53.0,98.0
2021-07-11,54.0,53.0,98.0
2021-07-18,67.0,53.0,98.0
2021-07-25,76.0,53.0,98.0
2021-08-01,83.0,53.0,98.0
2021-08-08,74.0,53.0,97.0
2021-08-15,74.0,53.0,97.0
2021-08-22,84.0,52.0,97.0
2021-08-29,86.0,52.0,97.0
2021-09-05,82.0,52.0,97.0
2021-09-12,76.0,52.0,97.0
2021-09-19,72.0,53.0,97.0
2021-09-26,79.0,53.0,98.0
2021-10-03,72.0,54.0,99.0
2021-10-10,68.0,55.0,100.0
2021-10-17,67.0,56.0,102.0
2021-10-24,84.0,57.0,103.0
2021-10-31,82.0,58.0,104.0
2021-11-07,92.0,58.0,105.0
2021-11-14,85.0,59.0,106.0
2021-11-21,90.0,59.0,106.0
2021-11-28,95.0,60.0,107.0
2021-12-05,130.0,60.0,108.0
2021-12-12,116.0,61.0,108.0
2021-12-19,123.0,61.0,109.0
2021-12-26,109.0,62.0,110.0
2022-01-02,122.0,63.0,110.0
2022-01-09,93.0,72.0,122.0
2022-01-16,95.0,72.0,123.0
2022-01-23,93.0,73.0,123.0
2022-01-30,92.0,73.0,124.0
2022-02-06,105.0,73.0,124.0
2022-02-13,94.0,73.0,124.0
2022-02-20,95.0,74.0,125.0
2022-02-27,93.0,73.0,124.0
2022-03-06,114.0,72.0,123.0
2022-03-13,78.0,70.0,120.0
2022-03-20,78.0,68.0,118.0
2022-03-27,96.5,66.0,115.0
2022-04-03,101.2,64.0,112.0
2022-04-10,83.0,62.0,109.0
2022-04-17,83.8,60.0,107.0
2022-04-24,89.2,59.0,106.0
