endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,58.0,36.0,75.0
2020-01-12,50.0,37.0,76.0
2020-01-19,58.0,38.0,77.0
2020-01-26,50.0,38.0,78.0
2020-02-02,53.0,39.0,79.0
2020-02-09,57.0,40.0,79.0
2020-02-16,61.0,40.0,80.0
2020-02-23,49.0,40.0,80.0
2020-03-01,58.0,40.0,80.0
2020-03-08,57.0,39.0,79.0
2020-03-15,59.0,38.0,78.0
2020-03-22,46.0,37.0,76.0
2020-03-29,65.0,36.0,75.0
2020-04-05,60.0,35.0,73.0
2020-04-12,63.0,34.0,71.0
2020-04-19,49.0,33.0,70.0
2020-04-26,49.0,32.0,69.0
2020-05-03,46.0,31.0,67.0
2020-05-10,50.0,31.0,67.0
2020-05-17,36.0,30.0,66.0
2020-05-24,46.0,30.0,66.0
2020-05-31,41.0,30.0,66.0
2020-06-07,57.0,30.0,66.0
2020-06-14,45.0,30.0,66.0
2020-06-21,46.0,31.0,67.0
2020-06-28,37.0,31.0,67.0
2020-07-05,39.0,31.0,68.0
2020-07-12,40.0,31.0,68.0
2020-07-19,38.0,31.0,68.0
2020-07-26,46.0,31.0,67.0
2020-08-02,52.0,31.0,67.0
2020-08-09,37.0,31.0,67.0
2020-08-16,42.0,31.0,67.0
2020-08-23,43.0,31.0,67.0
2020-08-30,40.0,31.0,67.0
2020-09-06,47.0,31.0,67.0
2020-09-13,46.0,31.0,67.0
2020-09-20,56.0,32.0,68.0
2020-09-27,54.0,32.0,68.0
2020-10-04,51.0,32.0,69.0
2020-10-11,53.0,33.0,70.0
2020-10-18,52.0,33.0,71.0
2020-10-25,69.0,34.0,71.0
2020-11-01,61.0,34.0,72.0
2020-11-08,70.0,35.0,72.0
2020-11-15,61.0,35.0,73.0
2020-11-22,76.0,35.0,73.0
2020-11-29,76.0,35.0,73.0
2020-12-06,94.0,36.0,74.0
2020-12-13,88.0,36.0,74.0
2020-12-20,92.0,36.0,75.0
2020-12-27,97.0,37.0,75.0
2021-01-03,79.0,37.0,76.0
2021-01-10,67.0,36.0,75.0
2021-01-17,75.0,37.0,76.0
2021-01-24,69.0,38.0,77.0
2021-01-31,63.0,38.0,78.0
2021-02-07,66.0,39.0,79.0
2021-02-14,63.0,40.0,79.0
2021-02-21,64.0,40.0,80.0
2021-02-28,55.0,40.0,80.0
2021-03-07,51.0,40.0,80.0
2021-03-14,58.0,39.0,79.0
2021-03-21,45.0,38.0,78.0
2021-03-28,48.0,37.0,76.0
2021-04-04,53.0,36.0,75.0
2021-04-11,55.0,35.0,73.0
2021-04-18,47.0,34.0,71.0
2021-04-25,51.0,33.0,70.0
2021-05-02,48.0,32.0,69.0
2021-05-09,53.0,31.0,67.0
2021-05-16,49.0,31.0,67.0
2021-05-23,51.0,30.0,66.0
2021-05-30,47.0,30.0,66.0
2021-06-06,45.0,30.0,66.0
2021-06-13,49.0,30.0,66.0
2021-06-20,40.0,30.0,66.0
2021-06-27,55.0,31.0,67.0
2021-07-04,57.0,31.0,67.0
2021-07-11,41.0,31.0,68.0
2021-07-18,50.0,31.0,68.0
2021-07-25,48.0,31.0,68.0
2021-08-01,46.0,31.0,67.0
2021-08-08,44.0,31.0,67.0
2021-08-15,43.0,31.0,67.0
2021-08-22,61.0,31.0,67.0
2021-08-29,55.0,31.0,67.0
2021-09-05,45.0,31.0,67.0
2021-09-12,72.0,31.0,67.0
2021-09-19,59.0,31.0,67.0
2021-09-26,50.0,32.0,68.0
2021-10-03,51.0,32.0,68.0
2021-10-10,42.0,32.0,69.0
2021-10-17,67.0,33.0,70.0
2021-10-24,54.0,33.0,71.0
2021-10-31,57.0,34.0,71.0
2021-11-07,56.0,34.0,72.0
2021-11-14,53.0,35.0,72.0
2021-11-21,74.0,35.0,73.0
2021-11-28,58.0,35.0,73.0
2021-12-05,85.0,35.0,73.0
2021-12-12,72.8,36.0,74.0
2021-12-19,81.7,36.0,74.0
2021-12-26,70.9,36.0,75.0
2022-01-02,74.5,37.0,75.0
2022-01-09,72.4,37.0,75.0
2022-01-16,,38.0,76.0
2022-01-23,,39.0,77.0
2022-01-30,,39.0,78.0
2022-02-06,,40.0,79.0
2022-02-13,,41.0,80.0
2022-02-20,,41.0,81.0
2022-02-27,,41.0,81.0
2022-03-06,,41.0,81.0
2022-03-13,,40.0,79.0
2022-03-20,,39.0,78.0
2022-03-27,,38.0,76.0
2022-04-03,,36.0,74.0
2022-04-10,,35.0,73.0
2022-04-17,,34.0,71.0
2022-04-24,,33.0,70.0
2022-05-01,,32.0,68.0
2022-05-08,,31.0,67.0
2022-05-15,,31.0,67.0
2022-05-22,,31.0,66.0
2022-05-29,,31.0,66.0
2022-06-05,,30.0,66.0
2022-06-12,,30.0,66.0
2022-06-19,,31.0,66.0
2022-06-26,,31.0,66.0
2022-07-03,,31.0,67.0
2022-07-10,,31.0,67.0
2022-07-17,,31.0,67.0
2022-07-24,,31.0,67.0
2022-07-31,,31.0,67.0
2022-08-07,,31.0,66.0
2022-08-14,,31.0,66.0
2022-08-21,,31.0,66.0
2022-08-28,,31.0,66.0
2022-09-04,,31.0,67.0
2022-09-11,,31.0,67.0
2022-09-18,,32.0,68.0
2022-09-25,,33.0,69.0
2022-10-02,,33.0,70.0
2022-10-09,,34.0,71.0
2022-10-16,,34.0,71.0
2022-10-23,,35.0,72.0
2022-10-30,,35.0,73.0
2022-11-06,,35.0,73.0
2022-11-13,,36.0,74.0
2022-11-20,,36.0,74.0
2022-11-27,,37.0,75.0
2022-12-04,,37.0,75.0
2022-12-11,,37.0,75.0
2022-12-18,,37.0,75.0
2022-12-25,,37.0,75.0
2023-01-01,,37.0,75.0
