endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,63.0,54.0,99.0
2020-01-12,61.0,54.0,99.0
2020-01-19,62.0,53.0,98.0
2020-01-26,91.0,53.0,98.0
2020-02-02,81.0,53.0,98.0
2020-02-09,73.0,53.0,98.0
2020-02-16,61.0,53.0,97.0
2020-02-23,70.0,52.0,97.0
2020-03-01,87.0,52.0,96.0
2020-03-08,76.0,51.0,95.0
2020-03-15,60.0,50.0,94.0
2020-03-22,86.0,49.0,92.0
2020-03-29,70.0,48.0,91.0
2020-04-05,83.0,47.0,90.0
2020-04-12,70.0,46.0,88.0
2020-04-19,79.0,45.0,87.0
2020-04-26,71.0,44.0,85.0
2020-05-03,62.0,43.0,84.0
2020-05-10,57.0,42.0,83.0
2020-05-17,55.0,41.0,82.0
2020-05-24,67.0,41.0,81.0
2020-05-31,48.0,40.0,80.0
2020-06-07,65.0,40.0,80.0
2020-06-14,65.0,40.0,80.0
2020-06-21,62.0,40.0,80.0
2020-06-28,73.0,40.0,80.0
2020-07-05,62.0,40.0,80.0
2020-07-12,63.0,40.0,80.0
2020-07-19,65.0,40.0,80.0
2020-07-26,57.0,40.0,80.0
2020-08-02,64.0,40.0,80.0
2020-08-09,58.0,40.0,80.0
2020-08-16,70.0,40.0,80.0
2020-08-23,72.0,40.0,80.0
2020-08-30,52.0,41.0,81.0
2020-09-06,48.0,41.0,81.0
2020-09-13,57.0,41.0,81.0
2020-09-20,56.0,42.0,82.0
2020-09-27,67.0,42.0,83.0
2020-10-04,64.0,42.0,83.0
2020-10-11,68.0,43.0,84.0
2020-10-18,65.0,43.0,85.0
2020-10-25,70.0,44.0,85.0
2020-11-01,109.0,45.0,86.0
2020-11-08,139.0,45.0,87.0
2020-11-15,139.0,46.0,88.0
2020-11-22,119.0,47.0,89.0
2020-11-29,141.0,47.0,90.0
2020-12-06,161.0,48.0,91.0
2020-12-13,170.0,49.0,92.0
2020-12-20,137.0,49.0,93.0
2020-12-27,149.0,50.0,94.0
2021-01-03,141.0,51.0,95.0
2021-01-10,108.0,54.0,99.0
