date,Neue Fälle,7-Tages-Durchschnitt,baseline
2021-11-23,512,439.85714285714283,0
2021-11-24,466,461.42857142857144,0
2021-11-25,507,459.7142857142857,0
2021-11-26,529,470.2857142857143,0
2021-11-27,504,495.2857142857143,0
2021-11-28,276,525,0
2021-11-29,498,549.2857142857143,0
2021-11-30,687,573.1428571428571,0
2021-12-01,674,593.7142857142857,0
2021-12-02,677,611.2857142857143,0
2021-12-03,696,638.5714285714286,0
2021-12-04,648,660.4285714285714,0
2021-12-05,399,687.7142857142857,0
2021-12-06,689,712.1428571428571,0
2021-12-07,840,717,0
2021-12-08,865,724.7142857142857,0
2021-12-09,848,727,0
2021-12-10,730,698.8571428571429,0
2021-12-11,702,692.4285714285714,0
2021-12-12,415,670.5714285714286,0
2021-12-13,492,640.4285714285714,0
2021-12-14,795,651.7142857142857,0
2021-12-15,712,634.8571428571429,0
2021-12-16,637,627.4285714285714,0
2021-12-17,809,626.8571428571429,0
2021-12-18,584,622.1428571428571,0
2021-12-19,363,623,0
2021-12-20,488,635.7142857142857,0
2021-12-21,762,647.8571428571429,0
2021-12-22,718,621.4285714285714,0
2021-12-23,726,625,0
2021-12-24,894,654.1428571428571,0
2021-12-25,399,685.7142857142857,0
2021-12-26,388,712.2857142857143,0
2021-12-27,692,773.5714285714286,0
2021-12-28,983,792.8571428571429,0
2021-12-29,904,824.2857142857143,0
2021-12-30,1155,844.4285714285714,0
2021-12-31,1029,891.4285714285714,0
2022-01-01,619,961.1428571428571,0
2022-01-02,529,1085.5714285714287,0
2022-01-03,1021,1137.857142857143,0
2022-01-04,1471,1207.857142857143,0
2022-01-05,1775,1282.5714285714287,0
2022-01-06,1521,1336,0
2022-01-07,1519,1336.4285714285713,0
2022-01-08,1142,1397.2857142857142,0
2022-01-09,903,1388.5714285714287,0
2022-01-10,1024,1400.7142857142858,0
2022-01-11,1897,1430.2857142857142,0
2022-01-12,1714,1468,0
2022-01-13,1606,1509.2857142857142,0
2022-01-14,1726,1573.857142857143,0
2022-01-15,1406,1649,0
2022-01-16,1192,,0
2022-01-17,1476,,0
2022-01-18,2423,,0
