BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,4776.0,325.0,444.0,21.894196387640967,325.0,444.0,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,2120.0,174.0,244.0,25.026561208830127,174.0,244.0,4.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,257.0,22.0,24.0,26.6597510373444,22.0,24.0,2.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,142.0,19.0,13.0,19.694868238557557,19.0,13.0,2.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,339.0,29.0,36.0,22.675585284280935,29.0,36.0,2.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,343.0,15.0,22.0,18.052631578947366,15.0,22.0,2.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,265.0,33.0,21.0,16.408668730650156,33.0,21.0,3.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,608.0,46.0,81.0,27.889908256880737,46.0,81.0,3.0,http://i.imgur.com/84retIE.png
4021,Baden,19531.0,4259.0,378.0,427.0,21.806359121396753,378.0,427.0,4.0,http://i.imgur.com/in3AmXY.png
4224,Beinwil (Freiamt),1203.0,251.0,15.0,23.0,20.86450540315877,15.0,23.0,2.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,688.0,47.0,65.0,20.373112229789754,47.0,65.0,3.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,278.0,20.0,32.0,18.134377038486626,20.0,32.0,2.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,522.0,59.0,55.0,18.156521739130437,59.0,55.0,4.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,1033.0,82.0,143.0,21.7336419103724,82.0,143.0,4.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,157.0,15.0,18.0,25.039872408293462,15.0,18.0,2.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,154.0,19.0,17.0,23.26283987915408,19.0,17.0,2.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,348.0,25.0,34.0,22.025316455696203,25.0,34.0,2.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,661.0,94.0,74.0,22.36129905277402,94.0,74.0,4.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,1124.0,92.0,110.0,24.408251900108578,92.0,110.0,4.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,180.0,21.0,22.0,24.096385542168676,21.0,22.0,2.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,205.0,16.0,18.0,17.77970511708586,16.0,18.0,2.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,393.0,32.0,46.0,26.554054054054056,32.0,46.0,3.0,http://i.imgur.com/uBIcVt3.png
