bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2601,Solothurn,Solothurn,4920,58,16883,29.141740212047623,http://i.imgur.com/JHN85pd.png
2465,Bucheggberg,Buchegg,636,6,2521,25.228084093613646,http://i.imgur.com/yrxc1LY.png
2464,Bucheggberg,Lüsslingen-Nennigkofen,451,3,1104,40.85144927536232,http://i.imgur.com/N8MtfcB.png
2455,Bucheggberg,Lüterkofen-Ichertswil,232,2,879,26.39362912400455,http://i.imgur.com/YJgUnxE.png
2457,Bucheggberg,Messen,436,0,1474,29.579375848032562,http://i.imgur.com/2uxYEzV.png
2461,Bucheggberg,Schnottwil,346,3,1139,30.37752414398595,http://i.imgur.com/pEng2IM.png
2471,Dorneck,Bättwil,307,2,1190,25.798319327731097,http://i.imgur.com/LLvYalH.png
2472,Dorneck,Büren,301,3,1051,28.639391056137015,http://i.imgur.com/PnBxaSz.png
2473,Dorneck,Dornach,2293,13,6923,33.12147912754586,http://i.imgur.com/COHmoqb.png
2474,Dorneck,Gempen,274,3,906,30.242825607064017,http://i.imgur.com/HzEspur.png
2475,Dorneck,Hochwald,343,0,1277,26.859827721221613,http://i.imgur.com/kIBMZAQ.png
2476,Dorneck,Hofstetten-Flüh,788,12,3216,24.502487562189053,http://i.imgur.com/V2VR9yi.png
2477,Dorneck,Metzerlen-Mariastein,263,0,943,27.889713679745494,http://i.imgur.com/i4ILrgV.png
2478,Dorneck,Nuglar-St. Pantaleon,387,12,1521,25.443786982248522,http://i.imgur.com/MGm5Ywo.png
2479,Dorneck,Rodersdorf,305,4,1368,22.295321637426902,http://i.imgur.com/p4uw0r9.png
2480,Dorneck,Seewen,256,2,1026,24.951267056530213,http://i.imgur.com/0JB6Mb5.png
2481,Dorneck,Witterswil,328,3,1450,22.620689655172413,http://i.imgur.com/0JrQ5Xw.png
2401,Gäu,Egerkingen,1161,9,4086,28.41409691629956,http://i.imgur.com/wyoEuip.png
2402,Gäu,Härkingen,445,5,1648,27.002427184466022,http://i.imgur.com/PQdyoSw.png
2403,Gäu,Kestenholz,512,2,1852,27.645788336933048,http://i.imgur.com/ITC2whV.png
2404,Gäu,Neuendorf,647,10,2278,28.40210711150132,http://i.imgur.com/aAcIy85.png
2405,Gäu,Niederbuchsiten,288,6,1265,22.766798418972332,http://i.imgur.com/cetMZcH.png
2406,Gäu,Oberbuchsiten,570,5,2305,24.728850325379607,http://i.imgur.com/GMgfP9q.png
2407,Gäu,Oensingen,1860,9,6326,29.402466013278534,http://i.imgur.com/nxrng2H.png
2408,Gäu,Wolfwil,564,5,2376,23.737373737373737,http://i.imgur.com/rWT56QU.png
