Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Beatmungsplätze
2022-01-05,74,31.0,6.0
2022-01-06,79,29.0,10.0
2022-01-07,76,27.0,5.0
2022-01-08,76,27.0,5.0
2022-01-09,76,27.0,5.0
2022-01-10,76,22.0,12.0
2022-01-11,70,20.0,12.0
2022-01-12,75,14.0,13.0
2022-01-13,72,17.0,14.0
2022-01-14,76,14.0,15.0
2022-01-15,76,14.0,15.0
2022-01-16,76,14.0,15.0
2022-01-17,76,15.0,15.0
2022-01-18,73,17.0,8.0
2022-01-19,69,19.0,10.0
2022-01-20,64,23.0,10.0
2022-01-21,69,24.0,7.0
2022-01-22,69,24.0,7.0
2022-01-23,69,24.0,7.0
2022-01-24,76,23.0,17.0
2022-01-25,81,21.0,10.0
2022-01-26,92,21.0,3.0
2022-01-27,84,23.0,5.0
2022-01-28,87,22.0,4.0
2022-01-29,87,22.0,4.0
2022-01-30,87,22.0,4.0
2022-01-31,116,15.0,9.0
2022-02-01,116,15.0,10.0
2022-02-02,109,13.0,12.0
2022-02-03,89,11.0,10.0
2022-02-04,86,10.0,8.0
2022-02-05,86,10.0,8.0
2022-02-06,86,10.0,8.0
2022-02-07,93,14.0,15.0
2022-02-08,95,16.0,7.0
2022-02-09,97,18.0,7.0
2022-02-10,97,16.0,11.0
2022-02-11,92,18.0,7.0
2022-02-12,92,18.0,7.0
2022-02-13,92,18.0,7.0
2022-02-14,101,12.0,16.0
2022-02-15,95,13.0,10.0
2022-02-16,93,17.0,9.0
2022-02-17,89,15.0,7.0
2022-02-18,84,14.0,9.0
2022-02-19,84,14.0,9.0
2022-02-20,84,14.0,9.0
2022-02-21,88,13.0,13.0
2022-02-22,107,10.0,10.0
2022-02-23,88,10.0,12.0
2022-02-24,77,11.0,5.0
2022-02-25,76,10.0,7.0
2022-02-26,76,10.0,7.0
2022-02-27,76,10.0,7.0
2022-02-28,79,8.0,17.0
2022-03-01,75,11.0,12.0
2022-03-02,70,13.0,14.0
