Datum,Isolation,Quarantäne
2021-09-13,2094.0,3346.0
2021-09-14,1904.0,3320.0
2021-09-15,1844.0,3118.0
2021-09-16,1688.0,3109.0
2021-09-17,1523.0,2959.0
2021-09-18,1523.0,2959.0
2021-09-19,1523.0,2959.0
2021-09-20,1211.0,3018.0
2021-09-21,1160.0,2945.0
2021-09-22,1138.0,2866.0
2021-09-23,1063.0,2534.0
2021-09-24,1025.0,2257.0
2021-09-25,1025.0,2257.0
2021-09-26,1025.0,2257.0
2021-09-27,750.0,1465.0
2021-09-28,742.0,1367.0
2021-09-29,723.0,1248.0
2021-09-30,692.0,1052.0
2021-10-01,649.0,922.0
2021-10-02,649.0,922.0
2021-10-03,649.0,922.0
2021-10-04,488.0,637.0
2021-10-05,472.0,582.0
2021-10-06,465.0,566.0
2021-10-07,455.0,562.0
2021-10-08,433.0,501.0
2021-10-09,433.0,501.0
2021-10-10,433.0,501.0
2021-10-11,395.0,381.0
2021-10-12,423.0,311.0
2021-10-13,429.0,302.0
2021-10-14,416.0,318.0
2021-10-15,394.0,313.0
2021-10-16,394.0,313.0
2021-10-17,394.0,313.0
2021-10-18,389.0,263.0
2021-10-19,429.0,298.0
2021-10-20,458.0,336.0
2021-10-21,490.0,378.0
2021-10-22,507.0,377.0
2021-10-23,507.0,377.0
2021-10-24,507.0,377.0
2021-10-25,547.0,415.0
2021-10-26,593.0,469.0
2021-10-27,585.0,434.0
2021-10-28,646.0,518.0
2021-10-29,684.0,501.0
2021-10-30,684.0,501.0
2021-10-31,684.0,501.0
2021-11-01,719.0,472.0
2021-11-02,802.0,523.0
2021-11-03,889.0,491.0
2021-11-04,1032.0,539.0
2021-11-05,1050.0,666.0
2021-11-06,1050.0,666.0
2021-11-07,1050.0,666.0
2021-11-08,1175.0,829.0
