,endend,Todesfälle,untGrenze,obeGrenze
105,2020-01-05,94.0,68.0,118.0
106,2020-01-12,83.0,68.0,118.0
107,2020-01-19,95.0,68.0,117.0
108,2020-01-26,83.0,68.0,117.0
109,2020-02-02,83.0,67.0,117.0
110,2020-02-09,104.0,67.0,117.0
111,2020-02-16,94.0,67.0,116.0
112,2020-02-23,97.0,66.0,116.0
113,2020-03-01,98.0,66.0,115.0
114,2020-03-08,78.0,65.0,113.0
115,2020-03-15,72.0,64.0,112.0
116,2020-03-22,93.0,62.0,110.0
117,2020-03-29,85.0,60.0,108.0
118,2020-04-05,94.0,59.0,106.0
119,2020-04-12,95.0,58.0,104.0
120,2020-04-19,87.0,56.0,102.0
121,2020-04-26,62.0,56.0,101.0
122,2020-05-03,97.0,55.0,100.0
123,2020-05-10,77.0,55.0,100.0
124,2020-05-17,76.0,54.0,99.0
125,2020-05-24,79.0,54.0,99.0
126,2020-05-31,59.0,54.0,99.0
127,2020-06-07,66.0,54.0,98.0
128,2020-06-14,73.0,53.0,98.0
129,2020-06-21,51.0,53.0,98.0
130,2020-06-28,80.0,53.0,98.0
131,2020-07-05,67.0,53.0,98.0
132,2020-07-12,71.0,53.0,98.0
133,2020-07-19,83.0,53.0,98.0
134,2020-07-26,75.0,53.0,98.0
135,2020-08-02,90.0,53.0,97.0
136,2020-08-09,81.0,53.0,97.0
137,2020-08-16,92.0,52.0,97.0
138,2020-08-23,90.0,52.0,97.0
139,2020-08-30,77.0,52.0,97.0
140,2020-09-06,58.0,52.0,97.0
141,2020-09-13,78.0,53.0,97.0
142,2020-09-20,83.0,53.0,98.0
143,2020-09-27,67.0,54.0,99.0
144,2020-10-04,87.0,55.0,100.0
145,2020-10-11,85.0,56.0,102.0
146,2020-10-18,82.0,57.0,103.0
147,2020-10-25,83.0,58.0,104.0
148,2020-11-01,99.0,58.0,105.0
149,2020-11-08,117.0,59.0,106.0
150,2020-11-15,106.0,59.0,106.0
151,2020-11-22,120.0,60.0,107.0
152,2020-11-29,132.0,60.0,108.0
153,2020-12-06,155.0,61.0,108.0
154,2020-12-13,137.0,61.0,109.0
155,2020-12-20,167.0,62.0,110.0
156,2020-12-27,178.0,63.0,110.0
157,2021-01-03,136.0,63.0,111.0
158,2021-01-10,131.0,68.0,118.0
159,2021-01-17,106.0,68.0,118.0
160,2021-01-24,117.0,68.0,117.0
161,2021-01-31,119.0,68.0,117.0
162,2021-02-07,88.0,67.0,117.0
163,2021-02-14,91.0,67.0,117.0
164,2021-02-21,81.0,67.0,116.0
165,2021-02-28,98.0,66.0,116.0
166,2021-03-07,86.0,66.0,115.0
167,2021-03-14,87.0,65.0,113.0
168,2021-03-21,83.0,64.0,112.0
169,2021-03-28,101.0,62.0,110.0
170,2021-04-04,82.0,60.0,108.0
171,2021-04-11,97.0,59.0,106.0
172,2021-04-18,64.0,58.0,104.0
173,2021-04-25,54.0,56.0,102.0
174,2021-05-02,77.0,56.0,101.0
175,2021-05-09,75.0,55.0,100.0
176,2021-05-16,88.0,55.0,100.0
177,2021-05-23,73.0,54.0,99.0
178,2021-05-30,69.0,54.0,99.0
179,2021-06-06,80.0,54.0,99.0
180,2021-06-13,61.0,54.0,98.0
181,2021-06-20,80.0,53.0,98.0
182,2021-06-27,75.0,53.0,98.0
183,2021-07-04,75.0,53.0,98.0
184,2021-07-11,52.0,53.0,98.0
185,2021-07-18,66.0,53.0,98.0
186,2021-07-25,76.0,53.0,98.0
187,2021-08-01,82.0,53.0,98.0
188,2021-08-08,73.0,53.0,97.0
189,2021-08-15,73.0,53.0,97.0
190,2021-08-22,80.0,52.0,97.0
191,2021-08-29,86.0,52.0,97.0
192,2021-09-05,81.0,52.0,97.0
193,2021-09-12,74.0,52.0,97.0
194,2021-09-19,72.0,53.0,97.0
195,2021-09-26,77.0,53.0,98.0
196,2021-10-03,72.0,54.0,99.0
197,2021-10-10,67.9,55.0,100.0
198,2021-10-17,67.7,56.0,102.0
199,2021-10-24,84.6,57.0,103.0
200,2021-10-31,79.1,58.0,104.0
201,2021-11-07,92.9,58.0,105.0
202,2021-11-14,,59.0,106.0
203,2021-11-21,,59.0,106.0
204,2021-11-28,,60.0,107.0
205,2021-12-05,,60.0,108.0
206,2021-12-12,,61.0,108.0
207,2021-12-19,,61.0,109.0
208,2021-12-26,,62.0,110.0
209,2022-01-02,,42.0,82.0
