date,R-Median,Obergrenze,Untergrenze
2020-02-28,2.07,3.74,0.89
2020-02-29,2.32,3.94,1.12
2020-03-01,2.54,4.1,1.36
2020-03-02,2.58,3.99,1.48
2020-03-03,2.61,3.87,1.6
2020-03-04,2.65,3.77,1.72
2020-03-05,2.68,3.68,1.83
2020-03-06,2.64,3.52,1.89
2020-03-07,2.52,3.29,1.86
2020-03-08,2.34,2.99,1.77
2020-03-09,2.14,2.69,1.64
2020-03-10,1.95,2.43,1.52
2020-03-11,1.8,2.23,1.42
2020-03-12,1.7,2.08,1.35
2020-03-13,1.62,1.97,1.31
2020-03-14,1.55,1.87,1.26
2020-03-15,1.49,1.78,1.22
2020-03-16,1.41,1.68,1.16
2020-03-17,1.34,1.59,1.1
2020-03-18,1.27,1.51,1.05
2020-03-19,1.21,1.44,1.0
2020-03-20,1.16,1.37,0.96
2020-03-21,1.11,1.31,0.92
2020-03-22,1.05,1.25,0.87
2020-03-23,0.99,1.18,0.82
2020-03-24,0.93,1.12,0.77
2020-03-25,0.88,1.06,0.72
2020-03-26,0.83,1.0,0.67
2020-03-27,0.8,0.97,0.64
2020-03-28,0.77,0.94,0.62
2020-03-29,0.75,0.92,0.59
2020-03-30,0.73,0.9,0.57
2020-03-31,0.7,0.88,0.54
2020-04-01,0.68,0.86,0.52
2020-04-02,0.66,0.85,0.5
2020-04-03,0.66,0.85,0.49
2020-04-04,0.66,0.86,0.49
2020-04-05,0.68,0.89,0.5
2020-04-06,0.7,0.92,0.5
2020-04-07,0.71,0.95,0.51
2020-04-08,0.73,0.97,0.51
2020-04-09,0.75,1.01,0.52
2020-04-10,0.77,1.05,0.54
2020-04-11,0.81,1.1,0.56
2020-04-12,0.84,1.15,0.58
2020-04-13,0.87,1.18,0.6
2020-04-14,0.86,1.19,0.59
2020-04-15,0.84,1.16,0.57
2020-04-16,0.8,1.12,0.53
2020-04-17,0.76,1.08,0.5
2020-04-18,0.73,1.05,0.47
2020-04-19,0.71,1.04,0.45
2020-04-20,0.71,1.04,0.44
2020-04-21,0.7,1.05,0.43
2020-04-22,0.7,1.06,0.41
2020-04-23,0.69,1.06,0.4
2020-04-24,0.69,1.07,0.39
2020-04-25,0.7,1.1,0.38
2020-04-26,0.71,1.14,0.39
2020-04-27,0.74,1.19,0.4
2020-04-28,0.77,1.25,0.41
2020-04-29,0.79,1.29,0.41
2020-04-30,0.8,1.31,0.41
2020-05-01,0.8,1.33,0.4
2020-05-02,0.8,1.34,0.39
2020-05-03,0.8,1.36,0.39
2020-05-04,0.8,1.38,0.38
2020-05-05,0.81,1.4,0.38
2020-05-06,0.81,1.42,0.37
2020-05-07,0.8,1.42,0.36
2020-05-08,0.78,1.41,0.34
2020-05-09,0.75,1.38,0.31
2020-05-10,0.71,1.35,0.28
2020-05-11,0.68,1.32,0.25
2020-05-12,0.66,1.32,0.23
2020-05-13,0.66,1.34,0.22
2020-05-14,0.67,1.39,0.21
2020-05-15,0.69,1.45,0.21
2020-05-16,0.71,1.52,0.21
2020-05-17,0.73,1.59,0.2
2020-05-18,0.76,1.67,0.21
2020-05-19,0.79,1.74,0.21
2020-05-20,0.82,1.83,0.21
2020-05-21,0.86,1.91,0.22
2020-05-22,0.9,2.0,0.23
2020-05-23,0.92,2.06,0.24
2020-05-24,0.92,2.08,0.23
2020-05-25,0.9,2.05,0.21
2020-05-26,0.85,1.99,0.19
2020-05-27,0.8,1.93,0.16
2020-05-28,0.78,1.92,0.15
2020-05-29,0.8,1.97,0.15
2020-05-30,0.85,2.08,0.16
2020-05-31,0.93,2.25,0.19
2020-06-01,1.04,2.45,0.23
2020-06-02,1.15,2.65,0.27
2020-06-03,1.25,2.8,0.32
2020-06-04,1.34,2.91,0.37
2020-06-05,1.4,2.97,0.42
2020-06-06,1.43,2.95,0.45
2020-06-07,1.41,2.87,0.47
2020-06-08,1.36,2.74,0.46
2020-06-09,1.31,2.6,0.45
2020-06-10,1.26,2.49,0.45
2020-06-11,1.26,2.45,0.47
2020-06-12,1.32,2.49,0.52
2020-06-13,1.43,2.61,0.6
2020-06-14,1.59,2.79,0.73
2020-06-15,1.8,3.01,0.89
2020-06-16,2.0,3.2,1.08
2020-06-17,2.16,3.32,1.24
2020-06-18,2.21,3.29,1.34
2020-06-19,2.14,3.11,1.35
2020-06-20,1.98,2.83,1.29
2020-06-21,1.78,2.52,1.17
2020-06-22,1.58,2.22,1.05
2020-06-23,1.39,1.95,0.92
2020-06-24,1.23,1.74,0.82
2020-06-25,1.12,1.58,0.74
2020-06-26,1.05,1.48,0.69
2020-06-27,1.01,1.43,0.66
2020-06-28,0.98,1.39,0.64
2020-06-29,0.97,1.38,0.63
2020-06-30,0.97,1.38,0.63
