date,R-Median,Obergrenze,Untergrenze
2020-02-28,,,
2020-02-29,,,
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,2.28,3.26,1.47
2020-03-10,2.08,2.92,1.38
2020-03-11,1.91,2.64,1.29
2020-03-12,1.76,2.4,1.21
2020-03-13,1.63,2.21,1.15
2020-03-14,1.53,2.04,1.08
2020-03-15,1.42,1.9,1.02
2020-03-16,1.32,1.76,0.95
2020-03-17,1.23,1.63,0.88
2020-03-18,1.14,1.52,0.82
2020-03-19,1.07,1.42,0.76
2020-03-20,1.0,1.34,0.71
2020-03-21,0.94,1.27,0.66
2020-03-22,0.89,1.2,0.62
2020-03-23,0.83,1.14,0.57
2020-03-24,0.78,1.08,0.53
2020-03-25,0.74,1.04,0.49
2020-03-26,0.71,1.01,0.46
2020-03-27,0.7,1.01,0.45
2020-03-28,0.71,1.03,0.44
2020-03-29,0.72,1.06,0.45
2020-03-30,0.75,1.11,0.46
2020-03-31,0.78,1.15,0.47
2020-04-01,0.8,1.19,0.48
2020-04-02,0.82,1.23,0.49
2020-04-03,0.83,1.25,0.49
2020-04-04,0.84,1.28,0.5
2020-04-05,0.85,1.3,0.5
2020-04-06,0.85,1.31,0.49
2020-04-07,0.85,1.31,0.48
2020-04-08,0.83,1.3,0.47
2020-04-09,0.81,1.29,0.45
2020-04-10,0.79,1.27,0.43
2020-04-11,0.77,1.25,0.41
2020-04-12,0.75,1.24,0.38
2020-04-13,0.73,1.22,0.36
2020-04-14,0.7,1.2,0.33
2020-04-15,0.67,1.18,0.3
2020-04-16,0.65,1.17,0.28
2020-04-17,0.65,1.19,0.27
2020-04-18,0.66,1.23,0.26
2020-04-19,0.68,1.29,0.26
2020-04-20,0.7,1.35,0.26
2020-04-21,0.74,1.43,0.27
2020-04-22,0.8,1.55,0.3
2020-04-23,0.88,1.69,0.33
2020-04-24,0.99,1.86,0.39
2020-04-25,1.09,2.03,0.45
2020-04-26,1.17,2.14,0.49
2020-04-27,1.2,2.18,0.52
2020-04-28,1.18,2.13,0.51
2020-04-29,1.12,2.03,0.48
2020-04-30,1.04,1.9,0.44
2020-05-01,0.96,1.77,0.39
2020-05-02,0.87,1.65,0.34
2020-05-03,0.8,1.55,0.29
2020-05-04,0.73,1.47,0.25
2020-05-05,0.69,1.42,0.22
2020-05-06,0.67,1.42,0.2
2020-05-07,0.67,1.44,0.19
2020-05-08,0.66,1.46,0.17
2020-05-09,0.64,1.48,0.16
2020-05-10,0.62,1.48,0.13
2020-05-11,0.6,1.49,0.11
2020-05-12,0.56,1.47,0.09
2020-05-13,0.52,1.45,0.06
2020-05-14,0.48,1.44,0.04
2020-05-15,0.46,1.48,0.03
2020-05-16,0.48,1.6,0.02
2020-05-17,0.53,1.8,0.02
2020-05-18,0.62,2.09,0.03
2020-05-19,0.76,2.47,0.04
2020-05-20,0.92,2.89,0.06
2020-05-21,1.06,3.25,0.08
2020-05-22,1.15,3.46,0.1
2020-05-23,1.18,3.53,0.11
2020-05-24,1.19,3.5,0.11
2020-05-25,1.15,3.39,0.11
2020-05-26,1.07,3.19,0.09
2020-05-27,0.93,2.9,0.07
2020-05-28,0.8,2.62,0.04
2020-05-29,0.7,2.44,0.03
2020-05-30,0.66,2.39,0.02
2020-05-31,0.66,2.46,0.02
2020-06-01,0.68,2.57,0.01
2020-06-02,0.7,2.72,0.01
2020-06-03,0.75,2.92,0.01
2020-06-04,0.85,3.23,0.02
2020-06-05,0.96,3.56,0.02
2020-06-06,1.05,3.81,0.03
2020-06-07,1.09,3.93,0.03
2020-06-08,1.11,3.96,0.03
2020-06-09,1.15,4.02,0.04
2020-06-10,1.23,4.15,0.06
2020-06-11,1.35,4.32,0.08
2020-06-12,1.46,4.47,0.12
2020-06-13,1.58,4.57,0.16
2020-06-14,1.69,4.62,0.22
2020-06-15,1.79,4.64,0.29
2020-06-16,1.89,4.6,0.37
2020-06-17,1.94,4.49,0.45
2020-06-18,1.93,4.28,0.51
2020-06-19,1.85,3.96,0.53
2020-06-20,1.71,3.58,0.52
2020-06-21,1.56,3.22,0.49
2020-06-22,1.44,2.94,0.47
2020-06-23,1.35,2.73,0.45
2020-06-24,1.29,2.59,0.45
2020-06-25,1.26,2.49,0.45
2020-06-26,1.25,2.43,0.45
2020-06-27,1.25,2.4,0.47
2020-06-28,1.26,2.39,0.49
2020-06-29,1.27,2.38,0.51
2020-06-30,1.28,2.35,0.53
2020-07-01,1.27,2.3,0.54
2020-07-02,1.25,2.25,0.54
2020-07-03,1.22,2.19,0.54
2020-07-04,1.19,2.11,0.53
2020-07-05,1.14,2.02,0.5
2020-07-06,1.08,1.92,0.47
2020-07-07,1.01,1.82,0.44
2020-07-08,0.96,1.75,0.41
2020-07-09,0.93,1.69,0.39
2020-07-10,0.91,1.67,0.37
2020-07-11,0.9,1.66,0.37
2020-07-12,0.89,1.66,0.36
2020-07-13,0.88,1.65,0.34
2020-07-14,0.85,1.63,0.32
2020-07-15,0.83,1.6,0.3
2020-07-16,0.82,1.61,0.3
2020-07-17,0.84,1.66,0.3
2020-07-18,0.87,1.71,0.31
2020-07-19,0.9,1.77,0.32
2020-07-20,0.93,1.84,0.33
2020-07-21,0.98,1.91,0.35
2020-07-22,1.04,2.01,0.39
2020-07-23,1.11,2.12,0.43
2020-07-24,1.18,2.21,0.47
2020-07-25,1.24,2.28,0.52
2020-07-26,1.32,2.36,0.57
2020-07-27,1.41,2.46,0.65
2020-07-28,1.5,2.55,0.73
2020-07-29,1.59,2.62,0.81
2020-07-30,1.64,2.64,0.87
2020-07-31,1.66,2.61,0.92
2020-08-01,1.65,2.55,0.95
2020-08-02,1.64,2.48,0.97
2020-08-03,1.6,2.38,0.97
2020-08-04,1.53,2.25,0.95
2020-08-05,1.43,2.09,0.89
2020-08-06,1.32,1.93,0.83
2020-08-07,1.22,1.78,0.77
2020-08-08,1.13,1.66,0.71
2020-08-09,1.05,1.54,0.65
2020-08-10,0.97,1.44,0.6
2020-08-11,0.9,1.34,0.54
2020-08-12,0.85,1.28,0.5
2020-08-13,0.83,1.26,0.49
2020-08-14,0.84,1.28,0.49
2020-08-15,0.87,1.33,0.51
2020-08-16,0.92,1.41,0.54
2020-08-17,0.99,1.49,0.59
2020-08-18,1.04,1.57,0.63
2020-08-19,1.07,1.6,0.65
2020-08-20,1.06,1.59,0.64
2020-08-21,1.03,1.54,0.62
2020-08-22,1.0,1.5,0.59
2020-08-23,0.97,1.47,0.58
2020-08-24,0.94,1.44,0.56
2020-08-25,0.9,1.38,0.52
2020-08-26,0.83,1.29,0.46
2020-08-27,0.75,1.2,0.4
2020-08-28,0.69,1.13,0.36
2020-08-29,0.67,1.11,0.33
2020-08-30,0.69,1.16,0.34
2020-08-31,0.77,1.28,0.38
2020-09-01,0.88,1.45,0.45
2020-09-02,1.02,1.65,0.54
2020-09-03,1.16,1.84,0.63
2020-09-04,1.27,1.98,0.71
2020-09-05,1.35,2.07,0.78
2020-09-06,1.39,2.11,0.82
2020-09-07,1.41,2.1,0.85
2020-09-08,1.39,2.06,0.86
2020-09-09,1.36,2.0,0.85
2020-09-10,1.32,1.92,0.83
2020-09-11,1.26,1.82,0.79
2020-09-12,1.19,1.73,0.75
2020-09-13,1.12,1.63,0.71
2020-09-14,1.06,1.54,0.67
2020-09-15,1.01,1.48,0.64
2020-09-16,0.98,1.44,0.61
2020-09-17,0.97,1.42,0.6
2020-09-18,0.98,1.43,0.61
2020-09-19,1.01,1.47,0.63
2020-09-20,1.05,1.52,0.67
2020-09-21,1.1,1.58,0.7
2020-09-22,1.14,1.63,0.74
2020-09-23,1.2,1.69,0.79
2020-09-24,1.27,1.77,0.85
2020-09-25,1.36,1.87,0.93
2020-09-26,1.44,1.94,1.01
2020-09-27,1.48,1.97,1.05
2020-09-28,1.47,1.94,1.06
2020-09-29,1.44,1.89,1.05
2020-09-30,1.42,1.85,1.05
2020-10-01,1.43,1.84,1.07
2020-10-02,1.46,1.85,1.11
2020-10-03,1.49,1.88,1.15
2020-10-04,1.54,1.92,1.21
2020-10-05,1.6,1.97,1.27
2020-10-06,1.67,2.02,1.34
2020-10-07,1.72,2.06,1.41
2020-10-08,1.76,2.09,1.46
2020-10-09,1.79,2.1,1.51
2020-10-10,1.8,2.09,1.53
2020-10-11,1.8,2.07,1.54
2020-10-12,1.77,2.02,1.54
2020-10-13,1.73,1.96,1.51
2020-10-14,1.68,1.89,1.48
2020-10-15,1.62,1.82,1.43
2020-10-16,1.56,1.74,1.38
2020-10-17,1.5,1.67,1.34
2020-10-18,1.45,1.6,1.29
2020-10-19,1.39,1.55,1.22
2020-10-20,1.32,1.48,1.16
2020-10-21,1.25,1.41,1.1
2020-10-22,1.2,1.36,1.05
2020-10-23,1.18,1.33,1.02
2020-10-24,1.16,1.31,1.01
2020-10-25,1.14,1.29,0.99
2020-10-26,1.11,1.28,0.95
2020-10-27,1.09,1.25,0.92
2020-10-28,1.07,1.23,0.91
2020-10-29,1.07,1.22,0.91
2020-10-30,1.07,1.23,0.92
2020-10-31,1.08,1.24,0.91
2020-11-01,1.06,1.23,0.89
2020-11-02,1.03,1.19,0.86
2020-11-03,0.97,1.14,0.81
2020-11-04,0.92,1.09,0.76
2020-11-05,0.88,1.04,0.71
2020-11-06,0.85,1.01,0.69
2020-11-07,0.84,1.0,0.68
2020-11-08,0.84,1.0,0.68
2020-11-09,0.85,1.01,0.69
2020-11-10,0.87,1.02,0.71
2020-11-11,0.88,1.04,0.73
2020-11-12,0.91,1.06,0.75
2020-11-13,0.94,1.09,0.79
2020-11-14,0.97,1.13,0.82
2020-11-15,1.0,1.17,0.84
2020-11-16,1.02,1.2,0.84
2020-11-17,1.03,1.21,0.85
2020-11-18,1.03,1.21,0.85
2020-11-19,1.04,1.21,0.86
2020-11-20,1.05,1.23,0.88
2020-11-21,1.08,1.26,0.9
2020-11-22,1.11,1.29,0.92
2020-11-23,1.13,1.32,0.93
2020-11-24,1.13,1.33,0.94
2020-11-25,1.14,1.33,0.95
2020-11-26,1.15,1.33,0.97
2020-11-27,1.17,1.35,1.0
2020-11-28,1.2,1.37,1.02
2020-11-29,1.21,1.38,1.04
2020-11-30,1.2,1.36,1.03
2020-12-01,1.17,1.33,1.01
2020-12-02,1.12,1.28,0.97
2020-12-03,1.08,1.24,0.92
2020-12-04,1.05,1.21,0.88
2020-12-05,1.02,1.19,0.86
2020-12-06,1.01,1.18,0.84
2020-12-07,0.99,1.16,0.82
2020-12-08,0.98,1.14,0.81
2020-12-09,0.95,1.11,0.8
2020-12-10,0.93,1.07,0.79
2020-12-11,0.91,1.04,0.79
2020-12-12,0.9,1.02,0.78
2020-12-13,0.89,1.0,0.77
2020-12-14,0.87,0.99,0.75
2020-12-15,0.85,0.98,0.71
2020-12-16,0.83,0.97,0.68
2020-12-17,0.82,0.98,0.66
2020-12-18,0.82,0.99,0.66
2020-12-19,0.84,1.01,0.66
2020-12-20,0.85,1.02,0.68
2020-12-21,0.86,1.03,0.7
2020-12-22,0.87,1.04,0.71
2020-12-23,0.89,1.04,0.73
2020-12-24,0.9,1.06,0.74
2020-12-25,0.91,1.07,0.75
2020-12-26,0.92,1.09,0.76
2020-12-27,0.93,1.09,0.77
2020-12-28,0.91,1.07,0.76
2020-12-29,0.89,1.03,0.75
2020-12-30,0.87,1.0,0.74
2020-12-31,0.85,0.98,0.73
2021-01-01,0.84,0.97,0.71
2021-01-02,0.84,0.98,0.7
2021-01-03,0.82,0.97,0.67
2021-01-04,0.8,0.96,0.65
2021-01-05,0.78,0.94,0.62
2021-01-06,0.76,0.92,0.6
2021-01-07,0.75,0.9,0.59
2021-01-08,0.74,0.9,0.58
2021-01-09,0.75,0.91,0.59
2021-01-10,0.76,0.92,0.61
2021-01-11,0.79,0.94,0.63
2021-01-12,0.81,0.97,0.65
2021-01-13,0.84,1.0,0.67
2021-01-14,0.87,1.03,0.7
2021-01-15,0.91,1.08,0.74
2021-01-16,0.95,1.13,0.78
2021-01-17,0.99,1.17,0.81
2021-01-18,1.0,1.19,0.82
2021-01-19,1.0,1.18,0.82
2021-01-20,0.98,1.15,0.81
2021-01-21,0.95,1.12,0.8
2021-01-22,0.92,1.09,0.77
2021-01-23,0.9,1.06,0.75
2021-01-24,0.88,1.04,0.73
2021-01-25,0.86,1.02,0.71
2021-01-26,0.84,1.0,0.67
2021-01-27,0.82,1.0,0.64
2021-01-28,0.81,1.0,0.63
2021-01-29,0.82,1.01,0.62
2021-01-30,0.82,1.02,0.63
2021-01-31,0.84,1.02,0.65
2021-02-01,0.84,1.03,0.66
2021-02-02,0.85,1.04,0.67
2021-02-03,0.85,1.05,0.67
2021-02-04,0.87,1.07,0.69
2021-02-05,0.9,1.11,0.72
2021-02-06,0.95,1.17,0.76
2021-02-07,1.01,1.24,0.81
2021-02-08,1.06,1.29,0.85
2021-02-09,1.08,1.32,0.87
2021-02-10,1.1,1.33,0.89
2021-02-11,1.11,1.34,0.9
2021-02-12,1.12,1.35,0.91
2021-02-13,1.11,1.34,0.91
2021-02-14,1.1,1.33,0.9
2021-02-15,1.08,1.3,0.88
2021-02-16,1.06,1.27,0.86
2021-02-17,1.04,1.25,0.85
2021-02-18,1.03,1.24,0.84
2021-02-19,1.04,1.25,0.85
2021-02-20,1.05,1.26,0.86
2021-02-21,1.07,1.28,0.87
2021-02-22,1.09,1.31,0.87
2021-02-23,1.09,1.32,0.86
2021-02-24,1.08,1.3,0.86
2021-02-25,1.06,1.27,0.85
2021-02-26,1.05,1.25,0.85
2021-02-27,1.03,1.23,0.85
2021-02-28,1.02,1.21,0.84
2021-03-01,1.0,1.2,0.83
2021-03-02,0.99,1.18,0.82
2021-03-03,0.99,1.18,0.81
2021-03-04,1.0,1.19,0.82
2021-03-05,1.02,1.22,0.83
2021-03-06,1.05,1.27,0.84
2021-03-07,1.08,1.31,0.85
2021-03-08,1.1,1.33,0.87
2021-03-09,1.11,1.33,0.89
2021-03-10,1.12,1.33,0.91
2021-03-11,1.13,1.32,0.94
2021-03-12,1.14,1.34,0.96
2021-03-13,1.15,1.35,0.97
2021-03-14,1.15,1.35,0.96
2021-03-15,1.15,1.34,0.95
2021-03-16,1.13,1.33,0.93
2021-03-17,1.11,1.31,0.92
2021-03-18,1.1,1.3,0.91
2021-03-19,1.1,1.3,0.9
2021-03-20,1.11,1.32,0.9
2021-03-21,1.11,1.33,0.89
2021-03-22,1.1,1.31,0.88
2021-03-23,1.07,1.28,0.87
2021-03-24,1.04,1.23,0.85
2021-03-25,1.02,1.2,0.84
2021-03-26,1.0,1.18,0.82
2021-03-27,1.0,1.18,0.81
2021-03-28,1.0,1.19,0.8
2021-03-29,1.0,1.21,0.79
2021-03-30,1.0,1.21,0.79
2021-03-31,1.01,1.22,0.81
2021-04-01,1.03,1.19,0.89
2021-04-02,1.05,1.2,0.9
2021-04-03,1.06,1.22,0.91
2021-04-04,1.07,1.23,0.92
2021-04-05,1.08,1.23,0.93
2021-04-06,1.07,1.23,0.92
2021-04-07,1.05,1.21,0.91
2021-04-08,1.04,1.19,0.9
2021-04-09,1.03,1.18,0.89
2021-04-10,1.02,1.17,0.89
2021-04-11,1.02,1.17,0.88
2021-04-12,1.01,1.16,0.87
2021-04-13,0.99,1.14,0.86
2021-04-14,0.97,1.11,0.83
2021-04-15,0.95,1.09,0.82
2021-04-16,0.94,1.08,0.81
2021-04-17,0.94,1.08,0.81
2021-04-18,0.94,1.08,0.8
2021-04-19,0.93,1.07,0.79
2021-04-20,0.91,1.06,0.78
2021-04-21,0.9,1.04,0.77
2021-04-22,0.89,1.04,0.76
2021-04-23,0.89,1.04,0.76
2021-04-24,0.9,1.04,0.76
2021-04-25,0.9,1.05,0.76
2021-04-26,0.91,1.06,0.77
2021-04-27,0.91,1.07,0.77
2021-04-28,0.92,1.07,0.77
2021-04-29,0.92,1.08,0.77
2021-04-30,0.93,1.09,0.78
2021-05-01,0.93,1.09,0.78
2021-05-02,0.92,1.08,0.77
2021-05-03,0.9,1.06,0.75
2021-05-04,0.87,1.04,0.73
2021-05-05,0.85,1.02,0.71
2021-05-06,0.84,1.01,0.7
2021-05-07,0.84,1.01,0.69
2021-05-08,0.83,1.0,0.68
2021-05-09,0.82,0.99,0.67
2021-05-10,0.8,0.97,0.64
2021-05-11,0.77,0.94,0.62
2021-05-12,0.75,0.92,0.59
2021-05-13,0.73,0.9,0.57
2021-05-14,0.72,0.9,0.56
2021-05-15,0.71,0.89,0.55
2021-05-16,0.7,0.89,0.53
2021-05-17,0.69,0.88,0.52
2021-05-18,0.68,0.88,0.5
2021-05-19,0.67,0.88,0.49
2021-05-20,0.67,0.89,0.49
2021-05-21,0.68,0.9,0.48
2021-05-22,0.69,0.92,0.48
2021-05-23,0.7,0.95,0.49
2021-05-24,0.72,0.99,0.5
2021-05-25,0.74,1.01,0.5
2021-05-26,0.73,1.02,0.49
2021-05-27,0.71,1.0,0.47
2021-05-28,0.69,0.98,0.44
2021-05-29,0.67,0.97,0.42
2021-05-30,0.67,0.98,0.41
2021-05-31,0.68,1.01,0.41
2021-06-01,0.71,1.06,0.43
2021-06-02,0.75,1.13,0.45
2021-06-03,0.79,1.2,0.47
2021-06-04,0.85,1.28,0.5
2021-06-05,0.9,1.36,0.54
2021-06-06,0.95,1.43,0.57
2021-06-07,0.98,1.48,0.59
2021-06-08,1.0,1.5,0.6
2021-06-09,1.0,1.51,0.6
2021-06-10,1.0,1.5,0.6
2021-06-11,0.98,1.48,0.58
2021-06-12,0.95,1.44,0.56
2021-06-13,0.91,1.39,0.53
2021-06-14,0.85,1.32,0.49
2021-06-15,0.8,1.26,0.44
2021-06-16,0.75,1.21,0.41
2021-06-17,0.72,1.18,0.37
2021-06-18,0.7,1.16,0.35
2021-06-19,0.7,1.17,0.34
2021-06-20,0.71,1.2,0.34
2021-06-21,0.72,1.25,0.34
2021-06-22,0.75,1.31,0.35
2021-06-23,0.8,1.39,0.37
2021-06-24,0.86,1.5,0.4
2021-06-25,0.95,1.63,0.45
2021-06-26,1.05,1.78,0.51
2021-06-27,1.15,1.92,0.58
2021-06-28,1.24,2.02,0.64
2021-06-29,1.3,2.1,0.69
2021-06-30,1.35,2.14,0.74
2021-07-01,1.39,2.17,0.79
2021-07-02,1.44,2.2,0.84
2021-07-03,1.49,2.23,0.89
2021-07-04,1.52,2.24,0.94
2021-07-05,1.54,2.24,0.98
2021-07-06,1.55,2.22,1.01
2021-07-07,1.56,2.19,1.03
2021-07-08,1.56,2.16,1.06
2021-07-09,1.56,2.13,1.08
2021-07-10,1.55,2.09,1.1
2021-07-11,1.53,2.04,1.1
2021-07-12,1.5,1.97,1.08
2021-07-13,1.44,1.89,1.06
2021-07-14,1.38,1.8,1.02
2021-07-15,1.33,1.72,0.98
2021-07-16,1.28,1.65,0.96
2021-07-17,1.24,1.6,0.93
2021-07-18,1.22,1.56,0.92
2021-07-19,1.22,1.55,0.92
2021-07-20,1.22,1.54,0.93
2021-07-21,1.23,1.55,0.95
2021-07-22,1.24,1.55,0.96
2021-07-23,1.25,1.56,0.98
2021-07-24,1.27,1.57,1.0
2021-07-25,1.3,1.59,1.03
2021-07-26,1.33,1.63,1.07
2021-07-27,1.39,1.68,1.13
2021-07-28,1.45,1.74,1.19
2021-07-29,1.52,1.8,1.26
2021-07-30,1.58,1.85,1.32
2021-07-31,1.62,1.88,1.37
2021-08-01,1.63,1.88,1.39
2021-08-02,1.62,1.86,1.4
2021-08-03,1.6,1.83,1.39
2021-08-04,1.57,1.78,1.37
2021-08-05,1.53,1.72,1.34
2021-08-06,1.47,1.66,1.3
2021-08-07,1.41,1.59,1.25
2021-08-08,1.35,1.51,1.2
2021-08-09,1.29,1.44,1.15
2021-08-10,1.24,1.38,1.1
2021-08-11,1.19,1.33,1.06
2021-08-12,1.17,1.3,1.04
2021-08-13,1.15,1.28,1.03
2021-08-14,1.15,1.27,1.03
2021-08-15,1.14,1.27,1.03
2021-08-16,1.13,1.26,1.02
2021-08-17,1.11,1.23,1.0
2021-08-18,1.09,1.21,0.98
2021-08-19,1.07,1.19,0.95
2021-08-20,1.06,1.19,0.93
2021-08-21,1.05,1.18,0.91
2021-08-22,1.04,1.18,0.9
2021-08-23,1.02,1.16,0.88
2021-08-24,1.0,1.13,0.87
2021-08-25,0.98,1.1,0.86
