datum,AG,Schweiz
2020-08-31,2.2,3.1
2020-09-07,2.4,3.6
2020-09-14,2.8,3.8
2020-09-21,2.0,3.7
2020-09-28,2.9,5.3
2020-10-05,7.1,10.0
2020-10-12,11.7,15.4
2020-10-19,16.2,22.6
2020-10-26,19.6,26.5
2020-11-02,19.8,26.5
2020-11-09,19.1,24.0
2020-11-16,20.4,20.8
2020-11-23,18.2,17.6
2020-11-30,18.3,17.8
2020-12-07,19.0,15.2
2020-12-14,17.6,12.8
2020-12-21,17.0,12.6
2020-12-28,20.4,16.7
2021-01-04,16.0,14.4
2021-01-11,13.2,11.5
2021-01-18,10.9,9.0
2021-01-25,8.3,7.5
2021-02-01,6.0,6.1
2021-02-08,5.5,4.7
2021-02-15,5.1,4.5
2021-02-22,6.2,4.9
2021-03-01,5.2,4.9
2021-03-08,6.9,5.1
2021-03-15,7.4,5.1
2021-03-22,6.9,5.5
2021-03-29,6.2,5.1
2021-04-05,8.5,7.6
2021-04-12,9.3,8.3
2021-04-19,11.3,8.6
2021-04-26,9.0,7.3
2021-05-03,7.8,6.5
2021-05-10,6.1,4.8
2021-05-17,4.3,4.1
2021-05-24,3.1,3.7
2021-05-31,1.9,2.5
2021-06-07,1.7,2.0
2021-06-14,0.9,1.1
2021-06-21,0.7,0.7
2021-06-28,0.5,0.7
2021-07-05,0.9,1.2
2021-07-12,1.4,2.3
2021-07-19,2.2,3.6
2021-07-26,4.1,4.3
2021-08-02,8.1,6.7
2021-08-09,13.3,11.5
2021-08-16,15.7,12.7
2021-08-23,13.5,10.8
2021-08-30,11.6,9.5
2021-09-06,9.7,8.9
2021-09-13,5.4,5.6
2021-09-20,4.2,4.2
2021-09-27,3.1,3.6
2021-10-04,3.1,3.3
2021-10-11,4.2,4.4
2021-10-18,6.0,6.1
2021-10-25,7.9,7.4
2021-11-01,10.3,9.6
2021-11-08,12.3,11.6
2021-11-15,14.8,14.5
2021-11-22,16.4,16.2
2021-11-29,18.0,17.1
2021-12-06,19.5,17.3
2021-12-13,20.3,16.2
2021-12-20,21.7,18.9
2021-12-27,31.3,30.7
2022-01-03,37.1,35.8
