datum,AI,Schweiz
2020-06-15,0.0,0.4
2020-06-22,0.0,0.7
2020-06-29,0.0,1.1
2020-07-06,0.0,1.5
2020-07-13,0.0,2.0
2020-07-20,0.0,2.6
2020-07-27,2.4,3.5
2020-08-03,0.0,3.3
2020-08-10,0.0,4.1
2020-08-17,0.0,3.6
2020-08-24,0.0,3.1
2020-08-31,0.0,3.1
2020-09-07,2.4,3.6
2020-09-14,5.7,3.8
2020-09-21,7.8,3.7
2020-09-28,4.1,5.3
2020-10-05,20.0,10.0
2020-10-12,33.6,15.4
2020-10-19,34.2,22.6
2020-10-26,35.7,26.5
2020-11-02,30.6,26.5
2020-11-09,23.5,24.0
2020-11-16,20.2,20.8
2020-11-23,13.5,17.6
2020-11-30,13.8,17.8
2020-12-07,27.5,15.2
2020-12-14,13.7,12.8
2020-12-21,19.3,12.6
2020-12-28,34.3,16.7
2021-01-04,15.9,14.4
2021-01-11,16.3,11.5
2021-01-18,14.6,9.0
2021-01-25,6.4,7.5
2021-02-01,6.6,6.1
2021-02-08,3.6,4.7
2021-02-15,4.2,4.5
2021-02-22,2.1,4.8
2021-03-01,2.3,4.7
