datum,NW,Schweiz
2020-08-31,1.4,3.1
2020-09-07,0.7,3.6
2020-09-14,0.4,3.8
2020-09-21,1.8,3.7
2020-09-28,8.7,5.3
2020-10-05,12.6,10.0
2020-10-12,10.6,15.4
2020-10-19,16.0,22.6
2020-10-26,22.8,26.5
2020-11-02,25.1,26.5
2020-11-09,21.3,24.0
2020-11-16,17.1,20.8
2020-11-23,14.1,17.6
2020-11-30,19.7,17.8
2020-12-07,18.5,15.2
2020-12-14,13.8,12.8
2020-12-21,16.3,12.6
2020-12-28,22.9,16.8
2021-01-04,19.3,14.5
2021-01-11,14.6,11.7
2021-01-18,14.0,9.4
2021-01-25,6.8,8.1
2021-02-01,7.2,7.0
2021-02-08,7.3,5.7
2021-02-15,8.2,5.5
2021-02-22,4.8,6.2
2021-03-01,8.3,6.1
2021-03-08,8.4,6.5
2021-03-15,8.7,6.4
2021-03-22,10.2,6.9
2021-03-29,8.8,6.2
2021-04-05,11.5,8.0
2021-04-12,11.6,8.6
2021-04-19,11.1,8.7
2021-04-26,9.9,7.4
2021-05-03,11.9,6.6
2021-05-10,7.8,4.9
2021-05-17,6.0,4.3
2021-05-24,5.0,3.8
2021-05-31,2.6,2.6
2021-06-07,2.5,2.0
2021-06-14,1.8,1.1
2021-06-21,0.4,0.8
2021-06-28,0.2,0.8
2021-07-05,0.9,1.3
2021-07-12,2.7,2.5
2021-07-19,2.7,3.9
2021-07-26,4.3,4.6
2021-08-02,4.6,6.9
2021-08-09,7.6,11.8
2021-08-16,7.4,13.0
2021-08-23,3.2,11.1
2021-08-30,3.7,9.7
2021-09-06,3.3,9.1
2021-09-13,2.3,5.8
2021-09-20,1.2,4.3
2021-09-27,1.7,3.8
2021-10-04,4.5,3.5
2021-10-11,6.2,4.6
2021-10-18,3.2,6.4
2021-10-25,7.2,7.7
2021-11-01,7.3,9.9
2021-11-08,9.2,11.9
2021-11-15,8.9,14.8
2021-11-22,9.8,16.4
2021-11-29,26.1,17.3
2021-12-06,27.2,17.5
2021-12-13,23.5,16.5
2021-12-20,28.0,19.5
2021-12-27,36.8,31.3
2022-01-03,37.8,36.0
2022-01-10,37.8,36.4
2022-01-17,46.8,40.6
