datum,SG,Schweiz
2020-08-31,1.7,3.1
2020-09-07,2.2,3.6
2020-09-14,3.5,3.8
2020-09-21,2.7,3.7
2020-09-28,5.0,5.3
2020-10-05,11.0,10.0
2020-10-12,16.8,15.4
2020-10-19,23.3,22.6
2020-10-26,26.6,26.5
2020-11-02,27.0,26.5
2020-11-09,26.9,24.0
2020-11-16,25.6,20.8
2020-11-23,23.3,17.6
2020-11-30,24.7,17.8
2020-12-07,23.9,15.2
2020-12-14,20.4,12.8
2020-12-21,19.9,12.6
2020-12-28,25.0,16.7
2021-01-04,20.4,14.4
2021-01-11,15.0,11.5
2021-01-18,13.5,9.0
2021-01-25,9.8,7.5
2021-02-01,9.1,6.1
2021-02-08,6.0,4.7
2021-02-15,5.3,4.5
2021-02-22,5.7,4.9
2021-03-01,5.9,4.8
2021-03-08,5.2,5.1
2021-03-15,5.8,5.1
2021-03-22,7.8,5.5
2021-03-29,6.9,5.1
