datum,SO,Schweiz
2020-08-31,1.3,3.1
2020-09-07,1.2,3.6
2020-09-14,2.8,3.8
2020-09-21,3.0,3.7
2020-09-28,3.8,5.3
2020-10-05,6.7,10.0
2020-10-12,10.7,15.4
2020-10-19,14.9,22.6
2020-10-26,17.8,26.5
2020-11-02,19.9,26.5
2020-11-09,18.0,24.0
2020-11-16,19.3,20.8
2020-11-23,17.6,17.6
2020-11-30,20.1,17.8
2020-12-07,19.8,15.2
2020-12-14,16.7,12.8
2020-12-21,15.0,12.6
2020-12-28,18.2,16.7
2021-01-04,14.7,14.4
2021-01-11,11.2,11.5
2021-01-18,7.9,9.0
2021-01-25,7.8,7.5
2021-02-01,5.4,6.1
2021-02-08,4.7,4.7
2021-02-15,6.2,4.5
2021-02-22,5.8,4.9
2021-03-01,5.6,4.9
2021-03-08,4.9,5.1
2021-03-15,5.4,5.1
2021-03-22,5.3,5.5
2021-03-29,5.3,5.1
2021-04-05,6.4,7.6
2021-04-12,9.4,8.3
2021-04-19,9.8,8.6
2021-04-26,8.0,7.3
2021-05-03,6.9,6.5
2021-05-10,4.6,4.8
2021-05-17,3.5,4.1
2021-05-24,2.9,3.7
2021-05-31,1.8,2.5
2021-06-07,1.3,2.0
2021-06-14,1.5,1.1
2021-06-21,0.9,0.7
2021-06-28,0.6,0.7
2021-07-05,0.4,1.2
2021-07-12,1.1,2.3
2021-07-19,1.6,3.6
2021-07-26,2.9,4.3
2021-08-02,5.0,6.7
2021-08-09,10.2,11.5
2021-08-16,9.5,12.7
2021-08-23,7.9,10.8
2021-08-30,7.4,9.5
2021-09-06,6.7,8.9
2021-09-13,2.6,5.6
2021-09-20,1.5,4.2
2021-09-27,1.0,3.6
2021-10-04,1.0,3.3
2021-10-11,1.3,4.4
2021-10-18,2.9,6.0
2021-10-25,3.1,7.4
2021-11-01,5.3,9.6
2021-11-08,6.8,11.6
2021-11-15,8.4,14.5
2021-11-22,9.2,16.2
2021-11-29,10.1,17.1
2021-12-06,11.1,17.3
2021-12-13,10.9,16.2
2021-12-20,10.4,18.9
2021-12-27,16.7,30.7
2022-01-03,21.7,35.8
2022-01-10,24.6,36.2
2022-01-17,30.4,40.8
2022-01-24,32.8,40.2
2022-01-31,30.5,40.1
2022-02-07,26.9,37.7
2022-02-14,26.4,36.1
2022-02-21,31.2,39.8
2022-02-28,41.5,49.1
2022-03-07,46.2,52.0
2022-03-14,45.2,49.5
2022-03-21,35.4,43.8
2022-03-28,27.1,35.9
2022-04-04,21.3,32.0
2022-04-11,20.6,28.6
2022-04-18,18.1,27.3
2022-04-25,14.4,23.2
2022-05-02,11.7,20.2
2022-05-09,12.9,19.1
2022-05-16,10.9,16.1
2022-05-23,11.0,15.3
2022-05-30,14.4,22.9
2022-06-06,23.7,31.3
2022-06-13,30.6,39.1
2022-06-20,34.5,43.2
2022-06-27,38.0,45.5
2022-07-04,37.3,46.4
2022-07-11,38.7,46.2
2022-07-18,37.2,44.7
2022-07-25,30.7,39.3
2022-08-01,32.7,38.1
2022-08-08,27.7,36.4
2022-08-15,25.9,33.9
2022-08-22,27.4,32.1
2022-08-29,24.6,30.7
2022-09-05,23.7,29.3
2022-09-12,23.8,28.3
2022-09-19,23.9,29.2
2022-09-26,30.4,36.3
2022-10-03,36.1,42.9
2022-10-10,33.2,43.0
2022-10-17,31.5,39.8
