datum,SZ,Schweiz
2020-08-31,1.7,3.1
2020-09-07,2.1,3.6
2020-09-14,1.5,3.8
2020-09-21,2.3,3.7
2020-09-28,7.5,5.3
2020-10-05,17.0,10.0
2020-10-12,21.2,15.4
2020-10-19,25.4,22.6
2020-10-26,25.3,26.5
2020-11-02,20.7,26.5
2020-11-09,18.3,24.0
2020-11-16,18.6,20.8
2020-11-23,17.2,17.6
2020-11-30,18.4,17.8
2020-12-07,20.9,15.2
2020-12-14,17.9,12.8
2020-12-21,17.3,12.6
2020-12-28,21.0,16.8
2021-01-04,20.9,14.5
2021-01-11,13.6,11.7
2021-01-18,10.3,9.4
2021-01-25,9.2,8.1
2021-02-01,7.1,7.0
2021-02-08,5.9,5.7
2021-02-15,5.5,5.5
2021-02-22,5.7,6.2
2021-03-01,6.5,6.1
2021-03-08,5.9,6.5
2021-03-15,7.4,6.4
2021-03-22,7.7,6.9
2021-03-29,6.9,6.2
2021-04-05,7.0,8.0
2021-04-12,10.0,8.6
2021-04-19,11.5,8.7
2021-04-26,7.1,7.4
2021-05-03,8.1,6.6
2021-05-10,6.3,4.9
2021-05-17,7.6,4.3
2021-05-24,7.0,3.8
2021-05-31,4.9,2.6
2021-06-07,5.5,2.0
2021-06-14,3.7,1.1
2021-06-21,2.6,0.8
2021-06-28,2.1,0.8
2021-07-05,3.3,1.3
2021-07-12,3.9,2.5
2021-07-19,4.4,3.9
2021-07-26,5.4,4.6
2021-08-02,7.6,6.9
2021-08-09,13.8,11.8
2021-08-16,14.8,13.0
2021-08-23,12.7,11.1
2021-08-30,11.6,9.7
2021-09-06,12.8,9.1
2021-09-13,11.0,5.8
2021-09-20,8.6,4.3
2021-09-27,7.3,3.8
2021-10-04,8.0,3.5
2021-10-11,10.8,4.6
2021-10-18,12.9,6.4
2021-10-25,19.4,7.7
2021-11-01,21.4,9.9
2021-11-08,20.1,11.9
2021-11-15,22.5,14.8
2021-11-22,23.6,16.4
2021-11-29,23.7,17.3
2021-12-06,26.1,17.5
2021-12-13,24.0,16.5
2021-12-20,23.8,19.5
2021-12-27,37.6,31.3
2022-01-03,41.4,36.0
2022-01-10,40.0,36.4
2022-01-17,44.9,40.6
