datum,TG,Schweiz
2020-06-15,0.1,0.4
2020-06-22,0.6,0.7
2020-06-29,0.6,1.1
2020-07-06,1.1,1.5
2020-07-13,2.3,2.0
2020-07-20,2.2,2.6
2020-07-27,2.1,3.5
2020-08-03,2.3,3.3
2020-08-10,2.6,4.1
2020-08-17,2.0,3.6
2020-08-24,1.1,3.1
2020-08-31,0.9,3.1
2020-09-07,2.3,3.6
2020-09-14,2.4,3.8
2020-09-21,1.4,3.7
2020-09-28,2.9,5.3
2020-10-05,7.3,10.0
2020-10-12,12.4,15.4
2020-10-19,17.9,22.6
2020-10-26,20.5,26.5
2020-11-02,21.2,26.5
2020-11-09,19.5,24.0
2020-11-16,19.7,20.8
2020-11-23,18.6,17.6
2020-11-30,19.1,17.8
2020-12-07,20.4,15.3
2020-12-14,20.2,12.9
2020-12-21,17.4,12.6
2020-12-28,19.6,16.8
2021-01-04,17.8,14.5
2021-01-11,11.4,11.7
2021-01-18,9.3,9.4
