datum,UR,Schweiz
2020-08-31,0.6,3.1
2020-09-07,0.6,3.6
2020-09-14,0.6,3.8
2020-09-21,1.5,3.7
2020-09-28,7.8,5.3
2020-10-05,11.3,10.0
2020-10-12,16.7,15.4
2020-10-19,23.9,22.6
2020-10-26,28.9,26.5
2020-11-02,25.6,26.5
2020-11-09,28.4,24.0
2020-11-16,23.9,20.8
2020-11-23,18.3,17.6
2020-11-30,17.5,17.8
2020-12-07,36.0,15.2
2020-12-14,24.9,12.8
2020-12-21,20.6,12.6
2020-12-28,27.1,16.7
2021-01-04,21.3,14.4
2021-01-11,18.5,11.5
2021-01-18,9.8,9.0
2021-01-25,5.8,7.5
2021-02-01,7.0,6.1
2021-02-08,5.1,4.7
2021-02-15,5.1,4.5
2021-02-22,4.3,4.9
2021-03-01,6.7,4.9
2021-03-08,7.4,5.1
2021-03-15,8.6,5.1
2021-03-22,9.5,5.5
2021-03-29,12.8,5.1
2021-04-05,13.9,7.6
2021-04-12,8.0,8.3
2021-04-19,7.0,8.6
2021-04-26,5.9,7.3
2021-05-03,6.5,6.5
2021-05-10,3.6,4.8
2021-05-17,1.9,4.1
2021-05-24,1.0,3.7
2021-05-31,0.4,2.5
2021-06-07,0.4,2.0
2021-06-14,0.1,1.1
2021-06-21,0.2,0.7
2021-06-28,0.0,0.7
2021-07-05,0.0,1.2
2021-07-12,0.5,2.3
2021-07-19,0.5,3.6
2021-07-26,0.9,4.3
2021-08-02,1.5,6.7
2021-08-09,4.6,11.5
2021-08-16,3.5,12.7
2021-08-23,2.7,10.8
2021-08-30,4.5,9.5
2021-09-06,4.8,8.9
2021-09-13,2.1,5.6
2021-09-20,3.0,4.2
2021-09-27,2.4,3.6
2021-10-04,3.7,3.3
2021-10-11,3.8,4.4
2021-10-18,1.6,6.1
2021-10-25,1.6,7.4
2021-11-01,3.3,9.6
2021-11-08,4.1,11.6
2021-11-15,6.2,14.5
2021-11-22,7.3,16.2
2021-11-29,6.8,17.1
2021-12-06,5.5,17.3
2021-12-13,5.0,16.2
2021-12-20,6.2,18.9
2021-12-27,11.8,30.7
2022-01-03,13.2,35.8
2022-01-10,18.2,36.3
