Kalenderwoche,Datum,LU,Schweiz
25,15.06.2020,0.5,0.4
26,22.06.2020,0.5,0.4
27,29.06.2020,0.8,0.7
28,06.07.2020,1.3,1.1
29,13.07.2020,2.0,1.6
30,20.07.2020,1.7,2.0
31,27.07.2020,3.1,2.6
32,03.08.2020,3.4,3.5
33,10.08.2020,4.2,3.3
34,17.08.2020,1.6,4.2
35,24.08.2020,1.8,3.7
36,31.08.2020,1.0,3.2
37,07.09.2020,1.1,3.1
38,14.09.2020,2.1,3.9
39,21.09.2020,1.5,3.7
40,28.09.2020,2.9,5.4
41,05.10.2020,7.9,10.2
42,12.10.2020,13.6,15.5
43,19.10.2020,18.6,22.5
44,26.10.2020,23.7,26.5
45,02.11.2020,22.9,26.5
46,09.11.2020,21.5,23.9
47,16.11.2020,20.9,20.8
48,23.11.2020,18.7,17.6
49,30.11.2020,18.7,17.8
