datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,71.0,127.0
01.03.2021,77.0,352.0
02.08.2021,81.0,51.0
02.11.2020,4.0,238.0
03.05.2021,107.0,560.0
04.01.2021,62.0,146.0
05.04.2021,154.0,411.0
05.07.2021,153.0,76.0
06.09.2021,134.0,300.0
07.06.2021,123.0,620.0
07.12.2020,84.0,149.0
08.02.2021,76.0,280.0
08.03.2021,79.0,528.0
09.08.2021,117.0,87.0
09.11.2020,30.0,196.0
10.05.2021,91.0,614.0
11.01.2021,67.0,136.0
12.04.2021,92.0,299.0
12.07.2021,113.0,77.0
13.09.2021,256.0,215.0
14.06.2021,63.0,441.0
14.12.2020,50.0,155.0
15.02.2021,74.0,212.0
15.03.2021,134.0,379.0
16.08.2021,132.0,188.0
16.11.2020,51.0,132.0
17.05.2021,164.0,708.0
18.01.2021,94.0,145.0
19.04.2021,75.0,239.0
19.07.2021,106.0,77.0
20.09.2021,239.0,166.0
21.06.2021,52.0,454.0
21.12.2020,92.0,84.0
22.02.2021,70.0,367.0
22.03.2021,153.0,537.0
23.08.2021,176.0,203.0
23.11.2020,49.0,143.0
24.05.2021,128.0,607.0
25.01.2021,157.0,138.0
26.04.2021,73.0,399.0
26.07.2021,108.0,53.0
28.06.2021,98.0,314.0
28.12.2020,67.0,73.0
29.03.2021,169.0,424.0
30.08.2021,168.0,312.0
30.11.2020,81.0,143.0
31.05.2021,109.0,552.0
